"Label","Bronx County, New York / Estimate","Kings County, New York / Estimate","New York County, New York / Estimate","Queens County, New York / Estimate","Richmond County, New York / Estimate"
"Total:","22160","121664","98647","248187","16530"
"Male:","12283","66638","44989","135390","8822"
"Management, business, science, and arts occupations:","3201","15689","28593","41250","4012"
"Management, business, and financial occupations:","1103","5399","12780","19782","1419"
"Management occupations","458","3330","7144","11371","719"
"Business and financial operations occupations","645","2069","5636","8411","700"
"Computer, engineering, and science occupations:","902","3650","5665","8594","820"
"Computer and mathematical occupations","544","2635","3904","6097","472"
"Architecture and engineering occupations","271","872","402","1773","298"
"Life, physical, and social science occupations","87","143","1359","724","50"
"Education, legal, community service, arts, and media occupations:","525","4319","7061","6744","717"
"Community and social service occupations","118","340","306","1405","0"
"Legal occupations","0","395","2117","1199","69"
"Education, training, and library occupations","407","1893","1438","1700","462"
"Arts, design, entertainment, sports, and media occupations","0","1691","3200","2440","186"
"Healthcare practitioners and technical occupations:","671","2321","3087","6130","1056"
"Health diagnosing and treating practitioners and other technical occupations","514","1775","2746","4658","921"
"Health technologists and technicians","157","546","341","1472","135"
"Service occupations:","3083","18449","5275","24910","1681"
"Healthcare support occupations","48","755","142","2581","370"
"Protective service occupations:","798","908","219","3185","119"
"Fire fighting and prevention, and other protective service workers including supervisors","658","536","219","1831","119"
"Law enforcement workers including supervisors","140","372","0","1354","0"
"Food preparation and serving related occupations","1472","14646","3934","13650","952"
"Building and grounds cleaning and maintenance occupations","533","1491","376","2458","50"
"Personal care and service occupations","232","649","604","3036","190"
"Sales and office occupations:","2414","13445","7763","32315","1109"
"Sales and related occupations","1262","6869","5507","20826","573"
"Office and administrative support occupations","1152","6576","2256","11489","536"
"Natural resources, construction, and maintenance occupations:","1711","6884","1140","11516","1118"
"Farming, fishing, and forestry occupations","103","0","0","126","86"
"Construction and extraction occupations","1143","5662","977","7498","713"
"Installation, maintenance, and repair occupations","465","1222","163","3892","319"
"Production, transportation, and material moving occupations:","1874","12171","2218","25399","902"
"Production occupations","403","4353","558","6827","222"
"Transportation occupations","1185","6338","1307","16827","520"
"Material moving occupations","286","1480","353","1745","160"
"Female:","9877","55026","53658","112797","7708"
"Management, business, science, and arts occupations:","4631","16622","32276","39172","3144"
"Management, business, and financial occupations:","1363","4783","14014","14141","1081"
"Management occupations","618","2023","6885","6367","565"
"Business and financial operations occupations","745","2760","7129","7774","516"
"Computer, engineering, and science occupations:","230","1331","3452","3429","74"
"Computer and mathematical occupations","0","566","1100","1101","47"
"Architecture and engineering occupations","51","468","620","485","0"
"Life, physical, and social science occupations","179","297","1732","1843","27"
"Education, legal, community service, arts, and media occupations:","1235","6481","9740","11153","373"
"Community and social service occupations","0","936","672","894","152"
"Legal occupations","112","647","1746","1444","0"
"Education, training, and library occupations","782","2109","2929","4916","189"
"Arts, design, entertainment, sports, and media occupations","341","2789","4393","3899","32"
"Healthcare practitioners and technical occupations:","1803","4027","5070","10449","1616"
"Health diagnosing and treating practitioners and other technical occupations","1512","3209","4636","7683","1531"
"Health technologists and technicians","291","818","434","2766","85"
"Service occupations:","2207","15856","7680","31815","2039"
"Healthcare support occupations","334","4681","2029","6449","406"
"Protective service occupations:","75","0","109","858","33"
"Fire fighting and prevention, and other protective service workers including supervisors","0","0","109","794","33"
"Law enforcement workers including supervisors","75","0","0","64","0"
"Food preparation and serving related occupations","173","4249","1676","5781","396"
"Building and grounds cleaning and maintenance occupations","835","2371","1210","3074","150"
"Personal care and service occupations","790","4555","2656","15653","1054"
"Sales and office occupations:","2652","16489","11113","35951","2311"
"Sales and related occupations","1206","6498","4934","14449","1100"
"Office and administrative support occupations","1446","9991","6179","21502","1211"
"Natural resources, construction, and maintenance occupations:","0","555","0","445","0"
"Farming, fishing, and forestry occupations","0","298","0","0","0"
"Construction and extraction occupations","0","218","0","336","0"
"Installation, maintenance, and repair occupations","0","39","0","109","0"
"Production, transportation, and material moving occupations:","387","5504","2589","5414","214"
"Production occupations","387","4391","1794","4145","214"
"Transportation occupations","0","95","112","493","0"
"Material moving occupations","0","1018","683","776","0"
