Occupations,2014
Office and administrative support occupations,767100.625
Sales and related occupations,652031.5
Management occupations,685725.25
"Education, training, and library occupations",433337.375
Business and financial operations occupations,374852.5
Food preparation and serving related occupations,398292.5
Building and grounds cleaning and maintenance occupations,310608.5
"Arts, design, entertainment, sports, and media occupations",326988.25
Construction and extraction occupations,298331.5
Personal care and service occupations,302526.25
Healthcare support occupations,261548.625
Transportation occupations,280691.0
Health diagnosing and treating practitioners and other technical occupations,222505.25
Production occupations,170006.75
Legal occupations,140116.875
Computer and mathematical occupations,157821.625
Community and social service occupations,120567.625
"Installation, maintenance, and repair occupations",114496.125
"Fire fighting and prevention, and other protective service workers including supervisors",101078.75
Material moving occupations,90894.625
Health technologists and technicians,81922.5
Law enforcement workers including supervisors,57527.875
Architecture and engineering occupations,62845.375
"Life, physical, and social science occupations",53213.125
"Farming, fishing, and forestry occupations",4364.0
