Occupations,2010
Office and administrative support occupations,779811.5
Sales and related occupations,621491.25
Management occupations,555152.0
"Education, training, and library occupations",398378.0
Business and financial operations occupations,341867.25
Food preparation and serving related occupations,336968.75
Building and grounds cleaning and maintenance occupations,299408.0
"Arts, design, entertainment, sports, and media occupations",297418.0
Construction and extraction occupations,276049.5
Personal care and service occupations,274269.25
Healthcare support occupations,253999.0
Transportation occupations,240034.5
Health diagnosing and treating practitioners and other technical occupations,198486.5
Production occupations,193545.5
Legal occupations,139558.25
Computer and mathematical occupations,129836.25
Community and social service occupations,122973.0
"Installation, maintenance, and repair occupations",111808.25
"Fire fighting and prevention, and other protective service workers including supervisors",104832.5
Material moving occupations,102361.25
Health technologists and technicians,66799.0
Law enforcement workers including supervisors,57374.25
Architecture and engineering occupations,54226.25
"Life, physical, and social science occupations",50566.5
"Farming, fishing, and forestry occupations",3604.0
