Occupations,2017
Office and administrative support occupations,797758.125
Sales and related occupations,627175.375
Management occupations,727781.0
"Education, training, and library occupations",428639.25
Business and financial operations occupations,408266.125
Food preparation and serving related occupations,384540.0
Building and grounds cleaning and maintenance occupations,304999.625
"Arts, design, entertainment, sports, and media occupations",368612.0
Construction and extraction occupations,306867.5
Personal care and service occupations,323892.375
Healthcare support occupations,301163.25
Transportation occupations,293206.875
Health diagnosing and treating practitioners and other technical occupations,239778.625
Production occupations,158939.25
Legal occupations,144387.875
Computer and mathematical occupations,184616.25
Community and social service occupations,138300.875
"Installation, maintenance, and repair occupations",115965.625
"Fire fighting and prevention, and other protective service workers including supervisors",107292.125
Material moving occupations,100902.125
Health technologists and technicians,92955.125
Law enforcement workers including supervisors,62573.5
Architecture and engineering occupations,69674.5
"Life, physical, and social science occupations",56667.25
"Farming, fishing, and forestry occupations",5453.125
