Occupations,2015
Office and administrative support occupations,790438.5
Sales and related occupations,639599.0
Management occupations,710697.5
"Education, training, and library occupations",448925.0
Business and financial operations occupations,378538.5
Food preparation and serving related occupations,413959.0
Building and grounds cleaning and maintenance occupations,298689.5
"Arts, design, entertainment, sports, and media occupations",346099.5
Construction and extraction occupations,293826.5
Personal care and service occupations,308635.5
Healthcare support occupations,271790.5
Transportation occupations,288061.0
Health diagnosing and treating practitioners and other technical occupations,226249.5
Production occupations,171431.5
Legal occupations,149847.0
Computer and mathematical occupations,166344.0
Community and social service occupations,125916.5
"Installation, maintenance, and repair occupations",123636.5
"Fire fighting and prevention, and other protective service workers including supervisors",106526.5
Material moving occupations,83841.5
Health technologists and technicians,91912.0
Law enforcement workers including supervisors,58624.5
Architecture and engineering occupations,61046.5
"Life, physical, and social science occupations",61940.0
"Farming, fishing, and forestry occupations",6223.0
