Occupations,2016
Office and administrative support occupations,773342.5
Sales and related occupations,658210.25
Management occupations,738015.0
"Education, training, and library occupations",415227.0
Business and financial operations occupations,381351.25
Food preparation and serving related occupations,398791.75
Building and grounds cleaning and maintenance occupations,297485.0
"Arts, design, entertainment, sports, and media occupations",347484.0
Construction and extraction occupations,288614.5
Personal care and service occupations,331687.25
Healthcare support occupations,283578.0
Transportation occupations,295728.5
Health diagnosing and treating practitioners and other technical occupations,236781.5
Production occupations,157550.5
Legal occupations,150222.25
Computer and mathematical occupations,182507.25
Community and social service occupations,133204.0
"Installation, maintenance, and repair occupations",122622.25
"Fire fighting and prevention, and other protective service workers including supervisors",104377.5
Material moving occupations,82524.25
Health technologists and technicians,79291.0
Law enforcement workers including supervisors,57021.25
Architecture and engineering occupations,68765.25
"Life, physical, and social science occupations",58716.5
"Farming, fishing, and forestry occupations",3749.0
