Occupations,2011
Office and administrative support occupations,776806.5
Sales and related occupations,659189.25
Management occupations,538868.0
"Education, training, and library occupations",386141.0
Business and financial operations occupations,347058.25
Food preparation and serving related occupations,376449.75
Building and grounds cleaning and maintenance occupations,294417.0
"Arts, design, entertainment, sports, and media occupations",314854.0
Construction and extraction occupations,275838.5
Personal care and service occupations,296898.25
Healthcare support occupations,257936.0
Transportation occupations,235066.5
Health diagnosing and treating practitioners and other technical occupations,194109.5
Production occupations,180604.5
Legal occupations,145403.25
Computer and mathematical occupations,129610.25
Community and social service occupations,104616.0
"Installation, maintenance, and repair occupations",114664.25
"Fire fighting and prevention, and other protective service workers including supervisors",109542.5
Material moving occupations,87665.25
Health technologists and technicians,68263.0
Law enforcement workers including supervisors,54686.25
Architecture and engineering occupations,62655.25
"Life, physical, and social science occupations",56399.5
"Farming, fishing, and forestry occupations",8709.0
