Occupations,2013
Office and administrative support occupations,768034.125
Sales and related occupations,652067.75
Management occupations,629771.25
"Education, training, and library occupations",425314.375
Business and financial operations occupations,370954.75
Food preparation and serving related occupations,371458.25
Building and grounds cleaning and maintenance occupations,317784.5
"Arts, design, entertainment, sports, and media occupations",348746.25
Construction and extraction occupations,277003.0
Personal care and service occupations,289360.5
Healthcare support occupations,275692.625
Transportation occupations,251799.5
Health diagnosing and treating practitioners and other technical occupations,218173.75
Production occupations,170748.25
Legal occupations,133874.125
Computer and mathematical occupations,158481.875
Community and social service occupations,124456.625
"Installation, maintenance, and repair occupations",127171.375
"Fire fighting and prevention, and other protective service workers including supervisors",107395.25
Material moving occupations,94607.875
Health technologists and technicians,68170.5
Law enforcement workers including supervisors,55362.125
Architecture and engineering occupations,51836.625
"Life, physical, and social science occupations",50389.625
"Farming, fishing, and forestry occupations",4093.0
