"Label","Bronx County, New York / Estimate","Kings County, New York / Estimate","New York County, New York / Estimate","Queens County, New York / Estimate","Richmond County, New York / Estimate"
"Total:","51845","482826","495105","274192","137001"
"Male:","29171","250713","251438","145273","70777"
"Management, business, science, and arts occupations:","11758","150350","185124","72084","26647"
"Management, business, and financial occupations:","5354","59334","94574","30877","13334"
"Management occupations","3926","40626","58293","19832","8989"
"Business and financial operations occupations","1428","18708","36281","11045","4345"
"Computer, engineering, and science occupations:","1313","25925","27271","15363","4732"
"Computer and mathematical occupations","780","17342","18282","8407","3577"
"Architecture and engineering occupations","274","5467","4297","4906","885"
"Life, physical, and social science occupations","259","3116","4692","2050","270"
"Education, legal, community service, arts, and media occupations:","3375","58028","52466","22000","5864"
"Community and social service occupations","182","2528","1949","1382","696"
"Legal occupations","674","9208","13878","3611","774"
"Educational instruction, and library occupations","1922","17619","15519","7390","3227"
"Arts, design, entertainment, sports, and media occupations","597","28673","21120","9617","1167"
"Healthcare practitioners and technical occupations:","1716","7063","10813","3844","2717"
"Health diagnosing and treating practitioners and other technical occupations","1509","5107","9451","3033","2279"
"Health technologists and technicians","207","1956","1362","811","438"
"Service occupations:","5374","23252","14236","21165","12445"
"Healthcare support occupations","176","1762","608","674","498"
"Protective service occupations:","1016","5405","2381","5609","6742"
"Firefighting and prevention, and other protective service workers including supervisors","779","3163","1517","3103","3760"
"Law enforcement workers including supervisors","237","2242","864","2506","2982"
"Food preparation and serving related occupations","1498","8781","5847","6068","2857"
"Building and grounds cleaning and maintenance occupations","1575","3695","1681","3856","1679"
"Personal care and service occupations","1109","3609","3719","4958","669"
"Sales and office occupations:","4420","40133","44673","21204","9574"
"Sales and related occupations","3024","28157","34632","12970","5918"
"Office and administrative support occupations","1396","11976","10041","8234","3656"
"Natural resources, construction, and maintenance occupations:","4550","16736","3054","17595","12955"
"Farming, fishing, and forestry occupations","0","0","0","0","0"
"Construction and extraction occupations","3163","12298","2267","12290","9068"
"Installation, maintenance, and repair occupations","1387","4438","787","5305","3887"
"Production, transportation, and material moving occupations:","3069","20242","4351","13225","9156"
"Production occupations","1147","5004","1855","4041","1923"
"Transportation occupations","982","12471","1674","6383","4790"
"Material moving occupations","940","2767","822","2801","2443"
"Female:","22674","232113","243667","128919","66224"
"Management, business, science, and arts occupations:","12818","148995","181307","73732","37619"
"Management, business, and financial occupations:","4692","50667","78544","25989","10445"
"Management occupations","3073","33742","46093","16068","5618"
"Business and financial operations occupations","1619","16925","32451","9921","4827"
"Computer, engineering, and science occupations:","801","11472","16118","3653","2123"
"Computer and mathematical occupations","189","5394","7947","2199","1334"
"Architecture and engineering occupations","323","2256","2571","489","327"
"Life, physical, and social science occupations","289","3822","5600","965","462"
"Education, legal, community service, arts, and media occupations:","5266","70592","69996","32083","17593"
"Community and social service occupations","436","7041","4631","2063","1976"
"Legal occupations","233","8109","11902","3947","1910"
"Educational instruction, and library occupations","3243","30605","23870","19735","12005"
"Arts, design, entertainment, sports, and media occupations","1354","24837","29593","6338","1702"
"Healthcare practitioners and technical occupations:","2059","16264","16649","12007","7458"
"Health diagnosing and treating practitioners and other technical occupations","1874","13361","15881","9767","5883"
"Health technologists and technicians","185","2903","768","2240","1575"
"Service occupations:","3954","32104","16845","20776","9313"
"Healthcare support occupations","680","12744","1362","6560","3257"
"Protective service occupations:","214","1136","1879","1436","1771"
"Firefighting and prevention, and other protective service workers including supervisors","59","733","1879","823","903"
"Law enforcement workers including supervisors","155","403","0","613","868"
"Food preparation and serving related occupations","977","7389","3929","5203","2550"
"Building and grounds cleaning and maintenance occupations","1044","1664","1348","3094","512"
"Personal care and service occupations","1039","9171","8327","4483","1223"
"Sales and office occupations:","5182","47467","42811","30843","17541"
"Sales and related occupations","1414","15472","24213","10014","5299"
"Office and administrative support occupations","3768","31995","18598","20829","12242"
"Natural resources, construction, and maintenance occupations:","46","308","514","342","627"
"Farming, fishing, and forestry occupations","46","0","0","61","0"
"Construction and extraction occupations","0","187","497","209","142"
"Installation, maintenance, and repair occupations","0","121","17","72","485"
"Production, transportation, and material moving occupations:","674","3239","2190","3226","1124"
"Production occupations","220","1995","1075","1547","179"
"Transportation occupations","285","587","160","1181","294"
"Material moving occupations","169","657","955","498","651"
