"Label","Bronx County, New York / Estimate","Kings County, New York / Estimate","New York County, New York / Estimate","Queens County, New York / Estimate","Richmond County, New York / Estimate"
"Total:","62493","407497","479706","283989","132299"
"Male:","32359","215595","243425","153004","71620"
"Management, business, science, and arts occupations:","11749","107844","180548","60264","25026"
"Management, business, and financial occupations:","4324","38045","81321","28543","12479"
"Management occupations","3041","26749","47016","19713","8523"
"Business and financial operations occupations","1283","11296","34305","8830","3956"
"Computer, engineering, and science occupations:","1366","19720","21013","8213","4959"
"Computer and mathematical occupations","467","12842","12917","4808","2857"
"Architecture and engineering occupations","444","4978","4228","2627","1779"
"Life, physical, and social science occupations","455","1900","3868","778","323"
"Education, legal, community service, arts, and media occupations:","4973","44266","68552","19359","4606"
"Community and social service occupations","388","4130","2586","1927","487"
"Legal occupations","810","7538","19210","2745","1069"
"Education, training, and library occupations","2123","14461","18515","7680","1999"
"Arts, design, entertainment, sports, and media occupations","1652","18137","28241","7007","1051"
"Healthcare practitioners and technical occupations:","1086","5813","9662","4149","2982"
"Health diagnosing and treating practitioners and other technical occupations","569","4355","9172","2867","2385"
"Health technologists and technicians","517","1458","490","1282","597"
"Service occupations:","6281","22270","14641","24975","11755"
"Healthcare support occupations","106","1371","379","635","221"
"Protective service occupations:","1791","5045","1751","7559","6346"
"Fire fighting and prevention, and other protective service workers including supervisors","1399","2628","908","4578","3437"
"Law enforcement workers including supervisors","392","2417","843","2981","2909"
"Food preparation and serving related occupations","1165","8041","5953","6727","1957"
"Building and grounds cleaning and maintenance occupations","2324","5155","1967","5671","2075"
"Personal care and service occupations","895","2658","4591","4383","1156"
"Sales and office occupations:","6073","42374","41031","29723","11723"
"Sales and related occupations","2826","24553","31138","17938","6136"
"Office and administrative support occupations","3247","17821","9893","11785","5587"
"Natural resources, construction, and maintenance occupations:","4313","21999","3435","21606","12195"
"Farming, fishing, and forestry occupations","0","87","192","393","0"
"Construction and extraction occupations","3455","14767","2274","14580","8247"
"Installation, maintenance, and repair occupations","858","7145","969","6633","3948"
"Production, transportation, and material moving occupations:","3943","21108","3770","16436","10921"
"Production occupations","1337","8382","1792","5332","2906"
"Transportation occupations","2065","9087","1194","8696","5364"
"Material moving occupations","541","3639","784","2408","2651"
"Female:","30134","191902","236281","130985","60679"
"Management, business, science, and arts occupations:","15064","105036","164784","65788","29910"
"Management, business, and financial occupations:","4802","28101","64781","23425","7840"
"Management occupations","2778","16704","38886","14368","4715"
"Business and financial operations occupations","2024","11397","25895","9057","3125"
"Computer, engineering, and science occupations:","817","6531","10301","4560","1480"
"Computer and mathematical occupations","212","3266","3020","2084","934"
"Architecture and engineering occupations","0","1391","1250","503","310"
"Life, physical, and social science occupations","605","1874","6031","1973","236"
"Education, legal, community service, arts, and media occupations:","6966","58202","75761","29001","14012"
"Community and social service occupations","846","5561","5915","2559","1526"
"Legal occupations","1054","6247","12106","2299","1291"
"Education, training, and library occupations","3884","26418","26692","18719","10464"
"Arts, design, entertainment, sports, and media occupations","1182","19976","31048","5424","731"
"Healthcare practitioners and technical occupations:","2479","12202","13941","8802","6578"
"Health diagnosing and treating practitioners and other technical occupations","1692","9815","12901","7403","5023"
"Health technologists and technicians","787","2387","1040","1399","1555"
"Service occupations:","4349","29176","15324","21126","7738"
"Healthcare support occupations","748","9273","1859","3991","3128"
"Protective service occupations:","485","1485","1095","910","1099"
"Fire fighting and prevention, and other protective service workers including supervisors","485","1047","635","319","791"
"Law enforcement workers including supervisors","0","438","460","591","308"
"Food preparation and serving related occupations","680","5854","6525","6227","817"
"Building and grounds cleaning and maintenance occupations","1111","5104","1001","3787","822"
"Personal care and service occupations","1325","7460","4844","6211","1872"
"Sales and office occupations:","9486","54375","53175","40108","22102"
"Sales and related occupations","2361","14827","27603","11914","6323"
"Office and administrative support occupations","7125","39548","25572","28194","15779"
"Natural resources, construction, and maintenance occupations:","154","773","288","421","80"
"Farming, fishing, and forestry occupations","54","0","93","0","0"
"Construction and extraction occupations","100","449","122","380","80"
"Installation, maintenance, and repair occupations","0","324","73","41","0"
"Production, transportation, and material moving occupations:","1081","2542","2710","3542","849"
"Production occupations","803","1906","1917","1454","377"
"Transportation occupations","220","311","551","1551","394"
"Material moving occupations","58","325","242","537","78"
