"Label","Bronx County, New York / Estimate","Kings County, New York / Estimate","New York County, New York / Estimate","Queens County, New York / Estimate","Richmond County, New York / Estimate"
"Total:","58871","459980","494553","294649","134463"
"Male:","32213","244076","249822","158728","69458"
"Management, business, science, and arts occupations:","13611","130100","181895","67808","24720"
"Management, business, and financial occupations:","6442","54287","92434","28513","11502"
"Management occupations","4452","37661","58459","20436","6807"
"Business and financial operations occupations","1990","16626","33975","8077","4695"
"Computer, engineering, and science occupations:","1627","20395","21807","11453","4260"
"Computer and mathematical occupations","880","13885","13471","7597","1859"
"Architecture and engineering occupations","552","4734","4608","3215","1916"
"Life, physical, and social science occupations","195","1776","3728","641","485"
"Education, legal, community service, arts, and media occupations:","4352","48092","57480","23455","5447"
"Community and social service occupations","486","3345","1833","2124","293"
"Legal occupations","646","5461","18128","4272","398"
"Education, training, and library occupations","1887","14230","14141","9311","2332"
"Arts, design, entertainment, sports, and media occupations","1333","25056","23378","7748","2424"
"Healthcare practitioners and technical occupations:","1190","7326","10174","4387","3511"
"Health diagnosing and treating practitioners and other technical occupations","1025","5978","9746","3193","2760"
"Health technologists and technicians","165","1348","428","1194","751"
"Service occupations:","5979","26172","12945","23281","11351"
"Healthcare support occupations","271","1354","274","642","333"
"Protective service occupations:","1996","5119","1923","6736","5477"
"Fire fighting and prevention, and other protective service workers including supervisors","990","3068","1514","3557","2848"
"Law enforcement workers including supervisors","1006","2051","409","3179","2629"
"Food preparation and serving related occupations","1404","10956","5189","6431","2383"
"Building and grounds cleaning and maintenance occupations","1888","3928","1722","5673","2170"
"Personal care and service occupations","420","4815","3837","3799","988"
"Sales and office occupations:","6458","47474","45711","26609","13251"
"Sales and related occupations","4057","29398","34389","14545","7737"
"Office and administrative support occupations","2401","18076","11322","12064","5514"
"Natural resources, construction, and maintenance occupations:","3194","21365","5791","23105","11701"
"Farming, fishing, and forestry occupations","0","352","0","154","63"
"Construction and extraction occupations","2397","15972","2671","16917","8283"
"Installation, maintenance, and repair occupations","797","5041","3120","6034","3355"
"Production, transportation, and material moving occupations:","2971","18965","3480","17925","8435"
"Production occupations","860","5395","661","4706","1883"
"Transportation occupations","1580","9594","1667","9913","4580"
"Material moving occupations","531","3976","1152","3306","1972"
"Female:","26658","215904","244731","135921","65005"
"Management, business, science, and arts occupations:","13452","126914","177904","68127","34289"
"Management, business, and financial occupations:","4721","38455","74551","22784","7610"
"Management occupations","3094","25345","43851","14886","4496"
"Business and financial operations occupations","1627","13110","30700","7898","3114"
"Computer, engineering, and science occupations:","1059","9167","13388","3828","1025"
"Computer and mathematical occupations","810","4235","5557","1812","528"
"Architecture and engineering occupations","92","2459","1684","422","183"
"Life, physical, and social science occupations","157","2473","6147","1594","314"
"Education, legal, community service, arts, and media occupations:","5868","64910","72680","31464","17285"
"Community and social service occupations","437","5216","4683","2510","1916"
"Legal occupations","637","5824","14138","3204","1069"
"Education, training, and library occupations","4158","32012","25061","19679","12851"
"Arts, design, entertainment, sports, and media occupations","636","21858","28798","6071","1449"
"Healthcare practitioners and technical occupations:","1804","14382","17285","10051","8369"
"Health diagnosing and treating practitioners and other technical occupations","1171","11686","16472","7749","6685"
"Health technologists and technicians","633","2696","813","2302","1684"
"Service occupations:","3543","33050","14076","20762","9909"
"Healthcare support occupations","824","12085","1042","3137","3042"
"Protective service occupations:","276","657","876","705","482"
"Fire fighting and prevention, and other protective service workers including supervisors","211","477","207","440","118"
"Law enforcement workers including supervisors","65","180","669","265","364"
"Food preparation and serving related occupations","570","6188","4299","5734","2070"
"Building and grounds cleaning and maintenance occupations","904","3716","1232","4825","1465"
"Personal care and service occupations","969","10404","6627","6361","2850"
"Sales and office occupations:","9076","51270","50387","42595","19162"
"Sales and related occupations","2187","16090","26059","12567","6416"
"Office and administrative support occupations","6889","35180","24328","30028","12746"
"Natural resources, construction, and maintenance occupations:","290","710","583","539","198"
"Farming, fishing, and forestry occupations","133","84","0","0","0"
"Construction and extraction occupations","105","566","270","246","178"
"Installation, maintenance, and repair occupations","52","60","313","293","20"
"Production, transportation, and material moving occupations:","297","3960","1781","3898","1447"
"Production occupations","252","3111","832","2733","726"
"Transportation occupations","0","397","537","1127","558"
"Material moving occupations","45","452","412","38","163"
