"Label","Bronx County, New York / Estimate","Kings County, New York / Estimate","New York County, New York / Estimate","Queens County, New York / Estimate","Richmond County, New York / Estimate"
"Total:","60937","471159","498368","298117","135595"
"Male:","33372","248746","256787","157058","71802"
"Management, business, science, and arts occupations:","12731","137808","188387","69095","27572"
"Management, business, and financial occupations:","6026","56041","91972","31569","12347"
"Management occupations","4272","38852","59384","21585","8467"
"Business and financial operations occupations","1754","17189","32588","9984","3880"
"Computer, engineering, and science occupations:","1563","20372","25491","10305","5847"
"Computer and mathematical occupations","1126","13314","15708","6101","3225"
"Architecture and engineering occupations","215","4667","4675","2939","2234"
"Life, physical, and social science occupations","222","2391","5108","1265","388"
"Education, legal, community service, arts, and media occupations:","3700","54681","60475","22380","6457"
"Community and social service occupations","133","2084","4520","1971","389"
"Legal occupations","409","10257","14413","4294","1705"
"Education, training, and library occupations","1741","15203","13170","8443","2994"
"Arts, design, entertainment, sports, and media occupations","1417","27137","28372","7672","1369"
"Healthcare practitioners and technical occupations:","1442","6714","10449","4841","2921"
"Health diagnosing and treating practitioners and other technical occupations","965","5405","10046","3234","2308"
"Health technologists and technicians","477","1309","403","1607","613"
"Service occupations:","5609","24483","10971","25966","9310"
"Healthcare support occupations","210","1822","954","1312","48"
"Protective service occupations:","1417","3709","1045","6330","4634"
"Fire fighting and prevention, and other protective service workers including supervisors","862","1925","294","3877","2627"
"Law enforcement workers including supervisors","555","1784","751","2453","2007"
"Food preparation and serving related occupations","1570","10546","4949","8173","1583"
"Building and grounds cleaning and maintenance occupations","1304","3953","1630","4469","1654"
"Personal care and service occupations","1108","4453","2393","5682","1391"
"Sales and office occupations:","6251","43121","47285","25283","13025"
"Sales and related occupations","3032","27151","35943","14713","6809"
"Office and administrative support occupations","3219","15970","11342","10570","6216"
"Natural resources, construction, and maintenance occupations:","4622","22769","5392","20899","13893"
"Farming, fishing, and forestry occupations","300","79","113","29","0"
"Construction and extraction occupations","2366","15504","1637","15053","9351"
"Installation, maintenance, and repair occupations","1956","7186","3642","5817","4542"
"Production, transportation, and material moving occupations:","4159","20565","4752","15815","8002"
"Production occupations","1325","6480","1153","5210","1391"
"Transportation occupations","2313","11766","2192","7590","5256"
"Material moving occupations","521","2319","1407","3015","1355"
"Female:","27565","222413","241581","141059","63793"
"Management, business, science, and arts occupations:","13577","132947","172728","73650","33507"
"Management, business, and financial occupations:","4348","40549","73642","24379","9130"
"Management occupations","3093","28183","46385","15225","5411"
"Business and financial operations occupations","1255","12366","27257","9154","3719"
"Computer, engineering, and science occupations:","867","8907","12064","3784","1249"
"Computer and mathematical occupations","128","3489","3987","2023","807"
"Architecture and engineering occupations","121","2606","1746","404","47"
"Life, physical, and social science occupations","618","2812","6331","1357","395"
"Education, legal, community service, arts, and media occupations:","6110","68684","72863","33742","16503"
"Community and social service occupations","835","5923","4427","3967","1027"
"Legal occupations","450","7321","11910","3442","1042"
"Education, training, and library occupations","4171","32984","25956","20038","13158"
"Arts, design, entertainment, sports, and media occupations","654","22456","30570","6295","1276"
"Healthcare practitioners and technical occupations:","2252","14807","14159","11745","6625"
"Health diagnosing and treating practitioners and other technical occupations","1868","11745","12919","9220","4349"
"Health technologists and technicians","384","3062","1240","2525","2276"
"Service occupations:","4866","36816","16749","22627","7638"
"Healthcare support occupations","1492","13329","1075","4543","1766"
"Protective service occupations:","199","1035","787","1731","730"
"Fire fighting and prevention, and other protective service workers including supervisors","199","750","578","851","509"
"Law enforcement workers including supervisors","0","285","209","880","221"
"Food preparation and serving related occupations","1374","8963","5329","6275","2017"
"Building and grounds cleaning and maintenance occupations","950","2920","1354","4124","809"
"Personal care and service occupations","851","10569","8204","5954","2316"
"Sales and office occupations:","8100","48046","48289","40082","20831"
"Sales and related occupations","2801","14595","25952","11789","5944"
"Office and administrative support occupations","5299","33451","22337","28293","14887"
"Natural resources, construction, and maintenance occupations:","116","744","1154","1129","220"
"Farming, fishing, and forestry occupations","0","70","120","88","0"
"Construction and extraction occupations","48","211","990","624","0"
"Installation, maintenance, and repair occupations","68","463","44","417","220"
"Production, transportation, and material moving occupations:","906","3860","2661","3571","1597"
"Production occupations","359","2953","1424","2489","476"
"Transportation occupations","547","760","1126","763","1058"
"Material moving occupations","0","147","111","319","63"
