"Label","Bronx County, New York / Estimate","Kings County, New York / Estimate","New York County, New York / Estimate","Queens County, New York / Estimate"
"Total:","187477","106072","89584","171238"
"Male:","95675","59407","47107","98167"
"Management, business, science, and arts occupations:","9534","10550","11134","13094"
"Management, business, and financial occupations:","4413","4342","5968","7351"
"Management occupations","3959","3274","3719","5913"
"Business and financial operations occupations","454","1068","2249","1438"
"Computer, engineering, and science occupations:","1394","1563","1508","2152"
"Computer and mathematical occupations","418","1097","699","1283"
"Architecture and engineering occupations","885","304","711","805"
"Life, physical, and social science occupations","91","162","98","64"
"Education, legal, community service, arts, and media occupations:","3146","3804","3159","2850"
"Community and social service occupations","746","456","325","134"
"Legal occupations","170","245","278","180"
"Educational instruction, and library occupations","1755","1940","1242","1696"
"Arts, design, entertainment, sports, and media occupations","475","1163","1314","840"
"Healthcare practitioners and technical occupations:","581","841","499","741"
"Health diagnosing and treating practitioners and other technical occupations","117","555","395","369"
"Health technologists and technicians","464","286","104","372"
"Service occupations:","33509","13696","16531","27007"
"Healthcare support occupations","1330","350","428","2154"
"Protective service occupations:","5608","639","1311","2202"
"Firefighting and prevention, and other protective service workers including supervisors","4150","387","827","1705"
"Law enforcement workers including supervisors","1458","252","484","497"
"Food preparation and serving related occupations","14282","7376","8064","13362"
"Building and grounds cleaning and maintenance occupations","9794","3565","5311","7108"
"Personal care and service occupations","2495","1766","1417","2181"
"Sales and office occupations:","13964","7674","4342","14248"
"Sales and related occupations","8284","5650","2182","7573"
"Office and administrative support occupations","5680","2024","2160","6675"
"Natural resources, construction, and maintenance occupations:","13219","16289","6116","22967"
"Farming, fishing, and forestry occupations","300","231","0","169"
"Construction and extraction occupations","9385","13488","3900","18689"
"Installation, maintenance, and repair occupations","3534","2570","2216","4109"
"Production, transportation, and material moving occupations:","25449","11198","8984","20851"
"Production occupations","6074","2917","796","5636"
"Transportation occupations","12778","4320","7591","10889"
"Material moving occupations","6597","3961","597","4326"
"Female:","91802","46665","42477","73071"
"Management, business, science, and arts occupations:","19952","11060","13118","15999"
"Management, business, and financial occupations:","7283","3424","4356","6022"
"Management occupations","5850","2304","2788","3189"
"Business and financial operations occupations","1433","1120","1568","2833"
"Computer, engineering, and science occupations:","222","421","394","418"
"Computer and mathematical occupations","222","289","84","224"
"Architecture and engineering occupations","0","0","142","194"
"Life, physical, and social science occupations","0","132","168","0"
"Education, legal, community service, arts, and media occupations:","10189","5664","6586","7340"
"Community and social service occupations","3553","1001","1912","628"
"Legal occupations","664","392","169","494"
"Educational instruction, and library occupations","5436","3207","4009","5527"
"Arts, design, entertainment, sports, and media occupations","536","1064","496","691"
"Healthcare practitioners and technical occupations:","2258","1551","1782","2219"
"Health diagnosing and treating practitioners and other technical occupations","1046","677","487","1012"
"Health technologists and technicians","1212","874","1295","1207"
"Service occupations:","43891","21279","15635","32893"
"Healthcare support occupations","21312","7326","7406","8666"
"Protective service occupations:","1688","534","688","966"
"Firefighting and prevention, and other protective service workers including supervisors","1118","432","390","686"
"Law enforcement workers including supervisors","570","102","298","280"
"Food preparation and serving related occupations","6356","2612","2859","7216"
"Building and grounds cleaning and maintenance occupations","6306","6657","2247","11052"
"Personal care and service occupations","8229","4150","2435","4993"
"Sales and office occupations:","21539","11598","10521","18372"
"Sales and related occupations","7891","4473","4990","8319"
"Office and administrative support occupations","13648","7125","5531","10053"
"Natural resources, construction, and maintenance occupations:","587","360","604","1357"
"Farming, fishing, and forestry occupations","379","0","181","226"
"Construction and extraction occupations","97","183","200","954"
"Installation, maintenance, and repair occupations","111","177","223","177"
"Production, transportation, and material moving occupations:","5833","2368","2599","4450"
"Production occupations","2759","682","1284","2857"
"Transportation occupations","1443","679","0","542"
"Material moving occupations","1631","1007","1315","1051"
