Occupations,year,YearlyNumEmp,AvgEmp,Normalized
Food preparation and serving related occupations,2016,398791.75,381283.3,1.0459197924482924
Building and grounds cleaning and maintenance occupations,2016,297485.0,298976.025,0.9950128944285749
Personal care and service occupations,2016,331687.25,293855.025,1.1287445229156792
Sales and related occupations,2016,658210.25,636928.175,1.0334136184193767
Office and administrative support occupations,2016,773342.5,757015.25,1.0215679274624916
"Farming, fishing, and forestry occupations",2016,3749.0,4864.525,0.7706816184519558
Construction and extraction occupations,2016,288614.5,290423.6,0.9937708230322881
"Installation, maintenance, and repair occupations",2016,122622.25,114837.85,1.0677860130610246
Production occupations,2016,157550.5,169087.0,0.9317718097783981
Transportation occupations,2016,295728.5,273026.775,1.0831483468974792
Material moving occupations,2016,82524.25,100645.35,0.8199509465663342
Management occupations,2017,727781.0,663135.65,1.0974843533144387
Business and financial operations occupations,2017,408266.125,380920.725,1.071787640328575
Computer and mathematical occupations,2017,184616.25,167944.175,1.0992715287684138
Architecture and engineering occupations,2017,69674.5,63201.175,1.1024241242350319
"Life, physical, and social science occupations",2017,56667.25,56755.475,0.9984455244185694
Community and social service occupations,2017,138300.875,123546.7,1.1194218461521028
Legal occupations,2017,144387.875,143838.45,1.0038197366559496
"Education, training, and library occupations",2017,428639.25,425770.625,1.006737489229089
"Arts, design, entertainment, sports, and media occupations",2017,368612.0,337749.25,1.0913777010607721
Health diagnosing and treating practitioners and other technical occupations,2017,239778.625,222635.775,1.0769995298374666
Health technologists and technicians,2017,92955.125,79355.825,1.1713711627344308
Healthcare support occupations,2017,301163.25,288822.275,1.0427286122581785
"Fire fighting and prevention, and other protective service workers including supervisors",2017,107292.125,108201.775,0.9915930214638347
Law enforcement workers including supervisors,2017,62573.5,58621.375,1.067417814747607
Food preparation and serving related occupations,2017,384540.0,381283.3,1.0085414178905816
Building and grounds cleaning and maintenance occupations,2017,304999.625,298976.025,1.020147434898835
Personal care and service occupations,2017,323892.375,293855.025,1.1022182622196097
Sales and related occupations,2017,627175.375,636928.175,0.9846877554129239
Office and administrative support occupations,2017,797758.125,757015.25,1.053820415110528
"Farming, fishing, and forestry occupations",2017,5453.125,4864.525,1.1209984530863755
Construction and extraction occupations,2017,306867.5,290423.6,1.0566203986177434
"Installation, maintenance, and repair occupations",2017,115965.625,114837.85,1.009820586156916
Production occupations,2017,158939.25,169087.0,0.9399850372884965
Transportation occupations,2017,293206.875,273026.775,1.0739125311061524
Material moving occupations,2017,100902.125,100645.35,1.0025512852804426
Management occupations,2018,693368.5,663135.65,1.0455907475340829
Business and financial operations occupations,2018,419721.5,380920.725,1.101860498664125
Computer and mathematical occupations,2018,212220.0,167944.175,1.2636341808222882
Architecture and engineering occupations,2018,68106.5,63201.175,1.0776144589083985
"Life, physical, and social science occupations",2018,64962.0,56755.475,1.144594420185894
Community and social service occupations,2018,115189.5,123546.7,0.9323559431372914
Legal occupations,2018,141583.0,143838.45,0.984319561285595
"Education, training, and library occupations",2018,452035.0,425770.625,1.0616866769519386
"Arts, design, entertainment, sports, and media occupations",2018,355466.5,337749.25,1.0524568152260887
Health diagnosing and treating practitioners and other technical occupations,2018,235305.5,222635.775,1.0569078576881905
Health technologists and technicians,2018,86006.0,79355.825,1.0838019767294966
Healthcare support occupations,2018,351295.5,288822.275,1.2163033477940715
"Fire fighting and prevention, and other protective service workers including supervisors",2018,109167.5,108201.775,1.0089252232692116
Law enforcement workers including supervisors,2018,60818.5,58621.375,1.0374799294625894
Food preparation and serving related occupations,2018,377419.0,381283.3,0.9898650163802086
Building and grounds cleaning and maintenance occupations,2018,297937.5,298976.025,0.996526393713342
Personal care and service occupations,2018,261423.5,293855.025,0.8896342677822167
Sales and related occupations,2018,592583.0,636928.175,0.9303764902533946
Office and administrative support occupations,2018,703787.5,757015.25,0.9296873477780006
"Farming, fishing, and forestry occupations",2018,3162.0,4864.525,0.6500120772326178
Construction and extraction occupations,2018,310193.5,290423.6,1.0680726359703552
"Installation, maintenance, and repair occupations",2018,95279.5,114837.85,0.8296872503273093
Production occupations,2018,150561.5,169087.0,0.890438058514256
Transportation occupations,2018,305408.0,273026.775,1.1186009137748485
Material moving occupations,2018,134941.5,100645.35,1.3407623899166727
Management occupations,2019,748540.5,663135.65,1.128789411336881
Business and financial operations occupations,2019,437783.5,380920.725,1.1492771888429016
Computer and mathematical occupations,2019,212493.0,167944.175,1.265259720975735
Architecture and engineering occupations,2019,75378.5,63201.175,1.1926756108569183
"Life, physical, and social science occupations",2019,61886.0,56755.475,1.0903970057514276
Community and social service occupations,2019,133721.5,123546.7,1.0823559026667648
Legal occupations,2019,147392.0,143838.45,1.0247051466419443
"Education, training, and library occupations",2019,459713.0,425770.625,1.079719860899281
"Arts, design, entertainment, sports, and media occupations",2019,349345.5,337749.25,1.034333903036054
Health diagnosing and treating practitioners and other technical occupations,2019,241476.5,222635.775,1.0846257749905648
Health technologists and technicians,2019,88458.0,79355.825,1.114700779684415
Healthcare support occupations,2019,370240.5,288822.275,1.28189731903469
"Fire fighting and prevention, and other protective service workers including supervisors",2019,120083.5,108201.775,1.1098108141017096
Law enforcement workers including supervisors,2019,61299.5,58621.375,1.0456851276518164
Food preparation and serving related occupations,2019,387215.0,381283.3,1.015557198545019
Building and grounds cleaning and maintenance occupations,2019,280558.5,298976.025,0.938397986928885
Personal care and service occupations,2019,253862.5,293855.025,0.8639038927443898
Sales and related occupations,2019,605927.0,636928.175,0.9513270471980612
Office and administrative support occupations,2019,634458.5,757015.25,0.8381053089749513
"Farming, fishing, and forestry occupations",2019,5190.0,4864.525,1.0669078687024942
Construction and extraction occupations,2019,303427.5,290423.6,1.0447756311814882
"Installation, maintenance, and repair occupations",2019,110389.5,114837.85,0.9612640780021569
Production occupations,2019,149535.5,169087.0,0.8843701762997747
Transportation occupations,2019,282836.0,273026.775,1.0359277034276215
Material moving occupations,2019,132797.5,100645.35,1.3194598657563414
