,Occupations,year,County,YearlyNumEmpbyCounty
811,"Fire fighting and prevention, and other protective service workers including supervisors",2013,"Kings County, New York",31596.0
812,"Fire fighting and prevention, and other protective service workers including supervisors",2013,"New York County, New York",13711.75
813,"Fire fighting and prevention, and other protective service workers including supervisors",2013,"Queens County, New York",29639.0
814,"Fire fighting and prevention, and other protective service workers including supervisors",2013,"Richmond County, New York",10395.5
815,Law enforcement workers including supervisors,2013,"Bronx County, New York",8479.75
816,Law enforcement workers including supervisors,2013,"Kings County, New York",14038.0
817,Law enforcement workers including supervisors,2013,"New York County, New York",3073.875
818,Law enforcement workers including supervisors,2013,"Queens County, New York",18332.0
819,Law enforcement workers including supervisors,2013,"Richmond County, New York",11438.5
820,Food preparation and serving related occupations,2013,"Bronx County, New York",68378.75
821,Food preparation and serving related occupations,2013,"Kings County, New York",103185.0
822,Food preparation and serving related occupations,2013,"New York County, New York",64602.5
823,Food preparation and serving related occupations,2013,"Queens County, New York",122747.0
824,Food preparation and serving related occupations,2013,"Richmond County, New York",12545.0
825,Building and grounds cleaning and maintenance occupations,2013,"Bronx County, New York",74512.5
826,Building and grounds cleaning and maintenance occupations,2013,"Kings County, New York",81041.0
827,Building and grounds cleaning and maintenance occupations,2013,"New York County, New York",42765.5
828,Building and grounds cleaning and maintenance occupations,2013,"Queens County, New York",104158.0
829,Building and grounds cleaning and maintenance occupations,2013,"Richmond County, New York",15307.5
830,Personal care and service occupations,2013,"Bronx County, New York",59319.75
831,Personal care and service occupations,2013,"Kings County, New York",81308.0
832,Personal care and service occupations,2013,"New York County, New York",55238.25
833,Personal care and service occupations,2013,"Queens County, New York",80969.0
834,Personal care and service occupations,2013,"Richmond County, New York",12525.5
835,Sales and related occupations,2013,"Bronx County, New York",89750.25
836,Sales and related occupations,2013,"Kings County, New York",169839.0
837,Sales and related occupations,2013,"New York County, New York",185816.5
838,Sales and related occupations,2013,"Queens County, New York",171197.0
839,Sales and related occupations,2013,"Richmond County, New York",35465.0
840,Office and administrative support occupations,2013,"Bronx County, New York",132314.0
841,Office and administrative support occupations,2013,"Kings County, New York",224988.0
842,Office and administrative support occupations,2013,"New York County, New York",131463.625
843,Office and administrative support occupations,2013,"Queens County, New York",224238.0
844,Office and administrative support occupations,2013,"Richmond County, New York",55030.5
845,"Farming, fishing, and forestry occupations",2013,"Bronx County, New York",120.0
846,"Farming, fishing, and forestry occupations",2013,"Kings County, New York",736.0
847,"Farming, fishing, and forestry occupations",2013,"New York County, New York",0.0
848,"Farming, fishing, and forestry occupations",2013,"Queens County, New York",3237.0
849,"Farming, fishing, and forestry occupations",2013,"Richmond County, New York",0.0
850,Construction and extraction occupations,2013,"Bronx County, New York",41281.0
851,Construction and extraction occupations,2013,"Kings County, New York",87644.0
852,Construction and extraction occupations,2013,"New York County, New York",20283.5
853,Construction and extraction occupations,2013,"Queens County, New York",105168.0
854,Construction and extraction occupations,2013,"Richmond County, New York",22626.5
855,"Installation, maintenance, and repair occupations",2013,"Bronx County, New York",22166.75
856,"Installation, maintenance, and repair occupations",2013,"Kings County, New York",34191.0
857,"Installation, maintenance, and repair occupations",2013,"New York County, New York",11584.125
858,"Installation, maintenance, and repair occupations",2013,"Queens County, New York",49745.0
859,"Installation, maintenance, and repair occupations",2013,"Richmond County, New York",9484.5
860,Production occupations,2013,"Bronx County, New York",31292.0
861,Production occupations,2013,"Kings County, New York",52680.0
862,Production occupations,2013,"New York County, New York",17020.75
863,Production occupations,2013,"Queens County, New York",61588.0
864,Production occupations,2013,"Richmond County, New York",8167.5
865,Transportation occupations,2013,"Bronx County, New York",48688.5
866,Transportation occupations,2013,"Kings County, New York",73348.0
867,Transportation occupations,2013,"New York County, New York",28267.0
868,Transportation occupations,2013,"Queens County, New York",84520.0
869,Transportation occupations,2013,"Richmond County, New York",16976.0
870,Material moving occupations,2013,"Bronx County, New York",25018.75
871,Material moving occupations,2013,"Kings County, New York",25924.0
872,Material moving occupations,2013,"New York County, New York",10476.625
873,Material moving occupations,2013,"Queens County, New York",28671.0
874,Material moving occupations,2013,"Richmond County, New York",4517.5
1000,Management occupations,2014,"Bronx County, New York",59198.0
1001,Management occupations,2014,"Kings County, New York",186125.0
1002,Management occupations,2014,"New York County, New York",267605.25
1003,Management occupations,2014,"Queens County, New York",144489.0
1004,Management occupations,2014,"Richmond County, New York",28308.0
1005,Business and financial operations occupations,2014,"Bronx County, New York",22498.0
1006,Business and financial operations occupations,2014,"Kings County, New York",90826.0
1007,Business and financial operations occupations,2014,"New York County, New York",168731.5
1008,Business and financial operations occupations,2014,"Queens County, New York",73545.0
1009,Business and financial operations occupations,2014,"Richmond County, New York",19252.0
1010,Computer and mathematical occupations,2014,"Bronx County, New York",10016.0
1011,Computer and mathematical occupations,2014,"Kings County, New York",51071.0
1012,Computer and mathematical occupations,2014,"New York County, New York",51370.625
1013,Computer and mathematical occupations,2014,"Queens County, New York",38898.0
1014,Computer and mathematical occupations,2014,"Richmond County, New York",6466.0
1015,Architecture and engineering occupations,2014,"Bronx County, New York",4279.0
1016,Architecture and engineering occupations,2014,"Kings County, New York",20796.0
1017,Architecture and engineering occupations,2014,"New York County, New York",17234.375
1018,Architecture and engineering occupations,2014,"Queens County, New York",15743.0
1019,Architecture and engineering occupations,2014,"Richmond County, New York",4793.0
1020,"Life, physical, and social science occupations",2014,"Bronx County, New York",3310.0
1021,"Life, physical, and social science occupations",2014,"Kings County, New York",12008.0
1022,"Life, physical, and social science occupations",2014,"New York County, New York",26941.125
1023,"Life, physical, and social science occupations",2014,"Queens County, New York",9274.0
1024,"Life, physical, and social science occupations",2014,"Richmond County, New York",1680.0
1025,Community and social service occupations,2014,"Bronx County, New York",21500.0
1026,Community and social service occupations,2014,"Kings County, New York",41730.0
1027,Community and social service occupations,2014,"New York County, New York",22606.625
1028,Community and social service occupations,2014,"Queens County, New York",27524.0
1029,Community and social service occupations,2014,"Richmond County, New York",7207.0
1030,Legal occupations,2014,"Bronx County, New York",7977.0
1031,Legal occupations,2014,"Kings County, New York",29989.0
1032,Legal occupations,2014,"New York County, New York",73822.875
1033,Legal occupations,2014,"Queens County, New York",24817.0
1034,Legal occupations,2014,"Richmond County, New York",3511.0
1035,"Education, training, and library occupations",2014,"Bronx County, New York",48498.0
1036,"Education, training, and library occupations",2014,"Kings County, New York",139222.0
1037,"Education, training, and library occupations",2014,"New York County, New York",108001.375
1038,"Education, training, and library occupations",2014,"Queens County, New York",100907.0
1039,"Education, training, and library occupations",2014,"Richmond County, New York",36709.0
1040,"Arts, design, entertainment, sports, and media occupations",2014,"Bronx County, New York",12775.0
1041,"Arts, design, entertainment, sports, and media occupations",2014,"Kings County, New York",121439.0
1042,"Arts, design, entertainment, sports, and media occupations",2014,"New York County, New York",134033.25
1043,"Arts, design, entertainment, sports, and media occupations",2014,"Queens County, New York",48533.0
1044,"Arts, design, entertainment, sports, and media occupations",2014,"Richmond County, New York",10208.0
1045,Health diagnosing and treating practitioners and other technical occupations,2014,"Bronx County, New York",17251.0
1046,Health diagnosing and treating practitioners and other technical occupations,2014,"Kings County, New York",61767.0
1047,Health diagnosing and treating practitioners and other technical occupations,2014,"New York County, New York",68717.25
1048,Health diagnosing and treating practitioners and other technical occupations,2014,"Queens County, New York",51094.0
1049,Health diagnosing and treating practitioners and other technical occupations,2014,"Richmond County, New York",23676.0
1050,Health technologists and technicians,2014,"Bronx County, New York",16961.0
1051,Health technologists and technicians,2014,"Kings County, New York",24105.0
1052,Health technologists and technicians,2014,"New York County, New York",8424.5
1053,Health technologists and technicians,2014,"Queens County, New York",24307.0
1054,Health technologists and technicians,2014,"Richmond County, New York",8125.0
1055,Healthcare support occupations,2014,"Bronx County, New York",66530.0
1056,Healthcare support occupations,2014,"Kings County, New York",94985.0
1057,Healthcare support occupations,2014,"New York County, New York",29899.625
1058,Healthcare support occupations,2014,"Queens County, New York",57864.0
1059,Healthcare support occupations,2014,"Richmond County, New York",12270.0
1060,"Fire fighting and prevention, and other protective service workers including supervisors",2014,"Bronx County, New York",22739.0
1061,"Fire fighting and prevention, and other protective service workers including supervisors",2014,"Kings County, New York",32061.0
1062,"Fire fighting and prevention, and other protective service workers including supervisors",2014,"New York County, New York",12559.75
1063,"Fire fighting and prevention, and other protective service workers including supervisors",2014,"Queens County, New York",24550.0
1064,"Fire fighting and prevention, and other protective service workers including supervisors",2014,"Richmond County, New York",9169.0
1065,Law enforcement workers including supervisors,2014,"Bronx County, New York",9376.0
1066,Law enforcement workers including supervisors,2014,"Kings County, New York",13462.0
1067,Law enforcement workers including supervisors,2014,"New York County, New York",4905.875
1068,Law enforcement workers including supervisors,2014,"Queens County, New York",20126.0
1069,Law enforcement workers including supervisors,2014,"Richmond County, New York",9658.0
1070,Food preparation and serving related occupations,2014,"Bronx County, New York",81269.0
1071,Food preparation and serving related occupations,2014,"Kings County, New York",107858.0
1072,Food preparation and serving related occupations,2014,"New York County, New York",63199.5
1073,Food preparation and serving related occupations,2014,"Queens County, New York",132731.0
1074,Food preparation and serving related occupations,2014,"Richmond County, New York",13235.0
1075,Building and grounds cleaning and maintenance occupations,2014,"Bronx County, New York",71426.0
1076,Building and grounds cleaning and maintenance occupations,2014,"Kings County, New York",79872.0
1077,Building and grounds cleaning and maintenance occupations,2014,"New York County, New York",43417.5
1078,Building and grounds cleaning and maintenance occupations,2014,"Queens County, New York",101850.0
1079,Building and grounds cleaning and maintenance occupations,2014,"Richmond County, New York",14043.0
1080,Personal care and service occupations,2014,"Bronx County, New York",62292.0
1081,Personal care and service occupations,2014,"Kings County, New York",85249.0
1082,Personal care and service occupations,2014,"New York County, New York",53784.25
1083,Personal care and service occupations,2014,"Queens County, New York",90302.0
1084,Personal care and service occupations,2014,"Richmond County, New York",10899.0
1085,Sales and related occupations,2014,"Bronx County, New York",89454.0
1086,Sales and related occupations,2014,"Kings County, New York",183287.0
1087,Sales and related occupations,2014,"New York County, New York",175980.5
1088,Sales and related occupations,2014,"Queens County, New York",165369.0
1089,Sales and related occupations,2014,"Richmond County, New York",37941.0
1090,Office and administrative support occupations,2014,"Bronx County, New York",121205.0
1091,Office and administrative support occupations,2014,"Kings County, New York",225179.0
1092,Office and administrative support occupations,2014,"New York County, New York",139030.625
1093,Office and administrative support occupations,2014,"Queens County, New York",233325.0
1094,Office and administrative support occupations,2014,"Richmond County, New York",48361.0
1095,"Farming, fishing, and forestry occupations",2014,"Bronx County, New York",323.0
1096,"Farming, fishing, and forestry occupations",2014,"Kings County, New York",2865.0
1097,"Farming, fishing, and forestry occupations",2014,"New York County, New York",418.0
1098,"Farming, fishing, and forestry occupations",2014,"Queens County, New York",632.0
1099,"Farming, fishing, and forestry occupations",2014,"Richmond County, New York",126.0
1100,Construction and extraction occupations,2014,"Bronx County, New York",52603.0
1101,Construction and extraction occupations,2014,"Kings County, New York",89646.0
1102,Construction and extraction occupations,2014,"New York County, New York",26486.5
1103,Construction and extraction occupations,2014,"Queens County, New York",104819.0
1104,Construction and extraction occupations,2014,"Richmond County, New York",24777.0
1105,"Installation, maintenance, and repair occupations",2014,"Bronx County, New York",22095.0
1106,"Installation, maintenance, and repair occupations",2014,"Kings County, New York",29191.0
1107,"Installation, maintenance, and repair occupations",2014,"New York County, New York",13333.125
1108,"Installation, maintenance, and repair occupations",2014,"Queens County, New York",41271.0
1109,"Installation, maintenance, and repair occupations",2014,"Richmond County, New York",8606.0
1110,Production occupations,2014,"Bronx County, New York",31320.0
1111,Production occupations,2014,"Kings County, New York",52031.0
1112,Production occupations,2014,"New York County, New York",17759.75
1113,Production occupations,2014,"Queens County, New York",60910.0
1114,Production occupations,2014,"Richmond County, New York",7986.0
1115,Transportation occupations,2014,"Bronx County, New York",67503.0
1116,Transportation occupations,2014,"Kings County, New York",71145.0
1117,Transportation occupations,2014,"New York County, New York",23741.0
1118,Transportation occupations,2014,"Queens County, New York",103613.0
1119,Transportation occupations,2014,"Richmond County, New York",14689.0
1120,Material moving occupations,2014,"Bronx County, New York",14317.0
1121,Material moving occupations,2014,"Kings County, New York",29952.0
1122,Material moving occupations,2014,"New York County, New York",12753.625
1123,Material moving occupations,2014,"Queens County, New York",27298.0
1124,Material moving occupations,2014,"Richmond County, New York",6574.0
1250,Management occupations,2015,"Bronx County, New York",58189.0
1251,Management occupations,2015,"Kings County, New York",195008.0
1252,Management occupations,2015,"New York County, New York",276177.0
1253,Management occupations,2015,"Queens County, New York",147802.0
1254,Management occupations,2015,"Richmond County, New York",33521.5
1255,Business and financial operations occupations,2015,"Bronx County, New York",26191.0
1256,Business and financial operations occupations,2015,"Kings County, New York",93876.0
1257,Business and financial operations occupations,2015,"New York County, New York",154420.0
1258,Business and financial operations occupations,2015,"Queens County, New York",84439.0
1259,Business and financial operations occupations,2015,"Richmond County, New York",19612.5
1260,Computer and mathematical occupations,2015,"Bronx County, New York",12832.0
1261,Computer and mathematical occupations,2015,"Kings County, New York",51037.0
1262,Computer and mathematical occupations,2015,"New York County, New York",55794.0
1263,Computer and mathematical occupations,2015,"Queens County, New York",37564.0
1264,Computer and mathematical occupations,2015,"Richmond County, New York",9117.0
1265,Architecture and engineering occupations,2015,"Bronx County, New York",3160.0
1266,Architecture and engineering occupations,2015,"Kings County, New York",19281.0
1267,Architecture and engineering occupations,2015,"New York County, New York",17374.0
1268,Architecture and engineering occupations,2015,"Queens County, New York",16108.0
1269,Architecture and engineering occupations,2015,"Richmond County, New York",5123.5
1270,"Life, physical, and social science occupations",2015,"Bronx County, New York",3795.0
1271,"Life, physical, and social science occupations",2015,"Kings County, New York",15344.0
1272,"Life, physical, and social science occupations",2015,"New York County, New York",30297.0
1273,"Life, physical, and social science occupations",2015,"Queens County, New York",10334.0
1274,"Life, physical, and social science occupations",2015,"Richmond County, New York",2170.0
1275,Community and social service occupations,2015,"Bronx County, New York",23427.0
1276,Community and social service occupations,2015,"Kings County, New York",39910.0
1277,Community and social service occupations,2015,"New York County, New York",28459.0
1278,Community and social service occupations,2015,"Queens County, New York",29089.0
1279,Community and social service occupations,2015,"Richmond County, New York",5031.5
1280,Legal occupations,2015,"Bronx County, New York",6593.0
1281,Legal occupations,2015,"Kings County, New York",46170.0
1282,Legal occupations,2015,"New York County, New York",63847.0
1283,Legal occupations,2015,"Queens County, New York",26791.0
1284,Legal occupations,2015,"Richmond County, New York",6446.0
1285,"Education, training, and library occupations",2015,"Bronx County, New York",55583.0
1286,"Education, training, and library occupations",2015,"Kings County, New York",145693.0
1287,"Education, training, and library occupations",2015,"New York County, New York",109145.0
1288,"Education, training, and library occupations",2015,"Queens County, New York",101367.0
1289,"Education, training, and library occupations",2015,"Richmond County, New York",37137.0
1290,"Arts, design, entertainment, sports, and media occupations",2015,"Bronx County, New York",13899.0
1291,"Arts, design, entertainment, sports, and media occupations",2015,"Kings County, New York",126478.0
1292,"Arts, design, entertainment, sports, and media occupations",2015,"New York County, New York",147324.0
1293,"Arts, design, entertainment, sports, and media occupations",2015,"Queens County, New York",52580.0
1294,"Arts, design, entertainment, sports, and media occupations",2015,"Richmond County, New York",5818.5
1295,Health diagnosing and treating practitioners and other technical occupations,2015,"Bronx County, New York",21617.0
1296,Health diagnosing and treating practitioners and other technical occupations,2015,"Kings County, New York",62122.0
1297,Health diagnosing and treating practitioners and other technical occupations,2015,"New York County, New York",65479.0
1298,Health diagnosing and treating practitioners and other technical occupations,2015,"Queens County, New York",59191.0
1299,Health diagnosing and treating practitioners and other technical occupations,2015,"Richmond County, New York",17840.5
1300,Health technologists and technicians,2015,"Bronx County, New York",16906.0
1301,Health technologists and technicians,2015,"Kings County, New York",28341.0
1302,Health technologists and technicians,2015,"New York County, New York",11607.0
1303,Health technologists and technicians,2015,"Queens County, New York",26403.0
1304,Health technologists and technicians,2015,"Richmond County, New York",8655.0
1305,Healthcare support occupations,2015,"Bronx County, New York",68047.0
1306,Healthcare support occupations,2015,"Kings County, New York",97996.0
1307,Healthcare support occupations,2015,"New York County, New York",30493.0
1308,Healthcare support occupations,2015,"Queens County, New York",65767.0
1309,Healthcare support occupations,2015,"Richmond County, New York",9487.5
1310,"Fire fighting and prevention, and other protective service workers including supervisors",2015,"Bronx County, New York",26080.0
1311,"Fire fighting and prevention, and other protective service workers including supervisors",2015,"Kings County, New York",29158.0
1312,"Fire fighting and prevention, and other protective service workers including supervisors",2015,"New York County, New York",14771.0
1313,"Fire fighting and prevention, and other protective service workers including supervisors",2015,"Queens County, New York",28591.0
1314,"Fire fighting and prevention, and other protective service workers including supervisors",2015,"Richmond County, New York",7926.5
1315,Law enforcement workers including supervisors,2015,"Bronx County, New York",8657.0
1316,Law enforcement workers including supervisors,2015,"Kings County, New York",15040.0
1317,Law enforcement workers including supervisors,2015,"New York County, New York",5514.0
1318,Law enforcement workers including supervisors,2015,"Queens County, New York",21766.0
1319,Law enforcement workers including supervisors,2015,"Richmond County, New York",7647.5
1320,Food preparation and serving related occupations,2015,"Bronx County, New York",79775.0
1321,Food preparation and serving related occupations,2015,"Kings County, New York",113315.0
1322,Food preparation and serving related occupations,2015,"New York County, New York",69890.0
1323,Food preparation and serving related occupations,2015,"Queens County, New York",137447.0
1324,Food preparation and serving related occupations,2015,"Richmond County, New York",13532.0
1325,Building and grounds cleaning and maintenance occupations,2015,"Bronx County, New York",76008.0
1326,Building and grounds cleaning and maintenance occupations,2015,"Kings County, New York",74476.0
1327,Building and grounds cleaning and maintenance occupations,2015,"New York County, New York",39722.0
1328,Building and grounds cleaning and maintenance occupations,2015,"Queens County, New York",97896.0
1329,Building and grounds cleaning and maintenance occupations,2015,"Richmond County, New York",10587.5
1330,Personal care and service occupations,2015,"Bronx County, New York",66339.0
1331,Personal care and service occupations,2015,"Kings County, New York",86445.0
1332,Personal care and service occupations,2015,"New York County, New York",56502.0
1333,Personal care and service occupations,2015,"Queens County, New York",86704.0
1334,Personal care and service occupations,2015,"Richmond County, New York",12645.5
1335,Sales and related occupations,2015,"Bronx County, New York",93560.0
1336,Sales and related occupations,2015,"Kings County, New York",172239.0
1337,Sales and related occupations,2015,"New York County, New York",177868.0
1338,Sales and related occupations,2015,"Queens County, New York",160379.0
1339,Sales and related occupations,2015,"Richmond County, New York",35553.0
1340,Office and administrative support occupations,2015,"Bronx County, New York",138817.0
1341,Office and administrative support occupations,2015,"Kings County, New York",223985.0
1342,Office and administrative support occupations,2015,"New York County, New York",136672.0
1343,Office and administrative support occupations,2015,"Queens County, New York",235379.0
1344,Office and administrative support occupations,2015,"Richmond County, New York",55585.5
1345,"Farming, fishing, and forestry occupations",2015,"Bronx County, New York",2280.0
1346,"Farming, fishing, and forestry occupations",2015,"Kings County, New York",1578.0
1347,"Farming, fishing, and forestry occupations",2015,"New York County, New York",608.0
1348,"Farming, fishing, and forestry occupations",2015,"Queens County, New York",1660.0
1349,"Farming, fishing, and forestry occupations",2015,"Richmond County, New York",97.0
1350,Construction and extraction occupations,2015,"Bronx County, New York",50740.0
1351,Construction and extraction occupations,2015,"Kings County, New York",85229.0
1352,Construction and extraction occupations,2015,"New York County, New York",20888.0
1353,Construction and extraction occupations,2015,"Queens County, New York",112575.0
1354,Construction and extraction occupations,2015,"Richmond County, New York",24394.5
1355,"Installation, maintenance, and repair occupations",2015,"Bronx County, New York",25267.0
1356,"Installation, maintenance, and repair occupations",2015,"Kings County, New York",34059.0
1357,"Installation, maintenance, and repair occupations",2015,"New York County, New York",14524.0
1358,"Installation, maintenance, and repair occupations",2015,"Queens County, New York",37290.0
1359,"Installation, maintenance, and repair occupations",2015,"Richmond County, New York",12496.5
1360,Production occupations,2015,"Bronx County, New York",30754.0
1361,Production occupations,2015,"Kings County, New York",52688.0
1362,Production occupations,2015,"New York County, New York",21107.0
1363,Production occupations,2015,"Queens County, New York",60854.0
1364,Production occupations,2015,"Richmond County, New York",6028.5
1365,Transportation occupations,2015,"Bronx County, New York",57128.0
1366,Transportation occupations,2015,"Kings County, New York",80626.0
1367,Transportation occupations,2015,"New York County, New York",33217.0
1368,Transportation occupations,2015,"Queens County, New York",100075.0
1369,Transportation occupations,2015,"Richmond County, New York",17015.0
1370,Material moving occupations,2015,"Bronx County, New York",16880.0
1371,Material moving occupations,2015,"Kings County, New York",23243.0
1372,Material moving occupations,2015,"New York County, New York",11978.0
1373,Material moving occupations,2015,"Queens County, New York",27160.0
1374,Material moving occupations,2015,"Richmond County, New York",4580.5
1500,Management occupations,2016,"Bronx County, New York",61454.5
1501,Management occupations,2016,"Kings County, New York",205224.0
1502,Management occupations,2016,"New York County, New York",283039.0
1503,Management occupations,2016,"Queens County, New York",154872.0
1504,Management occupations,2016,"Richmond County, New York",33425.5
1505,Business and financial operations occupations,2016,"Bronx County, New York",25819.75
1506,Business and financial operations occupations,2016,"Kings County, New York",93088.0
1507,Business and financial operations occupations,2016,"New York County, New York",162591.0
1508,Business and financial operations occupations,2016,"Queens County, New York",81764.0
1509,Business and financial operations occupations,2016,"Richmond County, New York",18088.5
1510,Computer and mathematical occupations,2016,"Bronx County, New York",11113.25
1511,Computer and mathematical occupations,2016,"Kings County, New York",59630.0
1512,Computer and mathematical occupations,2016,"New York County, New York",59952.0
1513,Computer and mathematical occupations,2016,"Queens County, New York",43564.0
1514,Computer and mathematical occupations,2016,"Richmond County, New York",8248.0
1515,Architecture and engineering occupations,2016,"Bronx County, New York",4825.75
1516,Architecture and engineering occupations,2016,"Kings County, New York",22676.0
1517,Architecture and engineering occupations,2016,"New York County, New York",16444.0
1518,Architecture and engineering occupations,2016,"Queens County, New York",19008.0
1519,Architecture and engineering occupations,2016,"Richmond County, New York",5811.5
1520,"Life, physical, and social science occupations",2016,"Bronx County, New York",3278.5
1521,"Life, physical, and social science occupations",2016,"Kings County, New York",15373.0
1522,"Life, physical, and social science occupations",2016,"New York County, New York",28071.0
1523,"Life, physical, and social science occupations",2016,"Queens County, New York",9790.0
1524,"Life, physical, and social science occupations",2016,"Richmond County, New York",2204.0
1525,Community and social service occupations,2016,"Bronx County, New York",21955.5
1526,Community and social service occupations,2016,"Kings County, New York",42394.0
1527,Community and social service occupations,2016,"New York County, New York",30430.0
1528,Community and social service occupations,2016,"Queens County, New York",31642.0
1529,Community and social service occupations,2016,"Richmond County, New York",6782.5
1530,Legal occupations,2016,"Bronx County, New York",7212.25
1531,Legal occupations,2016,"Kings County, New York",35545.0
1532,Legal occupations,2016,"New York County, New York",78855.0
1533,Legal occupations,2016,"Queens County, New York",23775.0
1534,Legal occupations,2016,"Richmond County, New York",4835.0
1535,"Education, training, and library occupations",2016,"Bronx County, New York",52209.0
1536,"Education, training, and library occupations",2016,"Kings County, New York",136512.0
1537,"Education, training, and library occupations",2016,"New York County, New York",93102.0
1538,"Education, training, and library occupations",2016,"Queens County, New York",102051.0
1539,"Education, training, and library occupations",2016,"Richmond County, New York",31353.0
1540,"Arts, design, entertainment, sports, and media occupations",2016,"Bronx County, New York",15351.5
1541,"Arts, design, entertainment, sports, and media occupations",2016,"Kings County, New York",141893.0
1542,"Arts, design, entertainment, sports, and media occupations",2016,"New York County, New York",133450.0
1543,"Arts, design, entertainment, sports, and media occupations",2016,"Queens County, New York",51028.0
1544,"Arts, design, entertainment, sports, and media occupations",2016,"Richmond County, New York",5761.5
1545,Health diagnosing and treating practitioners and other technical occupations,2016,"Bronx County, New York",21806.0
1546,Health diagnosing and treating practitioners and other technical occupations,2016,"Kings County, New York",57804.0
1547,Health diagnosing and treating practitioners and other technical occupations,2016,"New York County, New York",74917.0
1548,Health diagnosing and treating practitioners and other technical occupations,2016,"Queens County, New York",61087.0
1549,Health diagnosing and treating practitioners and other technical occupations,2016,"Richmond County, New York",21167.5
1550,Health technologists and technicians,2016,"Bronx County, New York",14640.0
1551,Health technologists and technicians,2016,"Kings County, New York",25081.0
1552,Health technologists and technicians,2016,"New York County, New York",8608.0
1553,Health technologists and technicians,2016,"Queens County, New York",23444.0
1554,Health technologists and technicians,2016,"Richmond County, New York",7518.0
1555,Healthcare support occupations,2016,"Bronx County, New York",74926.5
1556,Healthcare support occupations,2016,"Kings County, New York",103249.0
1557,Healthcare support occupations,2016,"New York County, New York",33276.0
1558,Healthcare support occupations,2016,"Queens County, New York",60926.0
1559,Healthcare support occupations,2016,"Richmond County, New York",11200.5
1560,"Fire fighting and prevention, and other protective service workers including supervisors",2016,"Bronx County, New York",24883.0
1561,"Fire fighting and prevention, and other protective service workers including supervisors",2016,"Kings County, New York",31312.0
1562,"Fire fighting and prevention, and other protective service workers including supervisors",2016,"New York County, New York",9485.0
1563,"Fire fighting and prevention, and other protective service workers including supervisors",2016,"Queens County, New York",27912.0
1564,"Fire fighting and prevention, and other protective service workers including supervisors",2016,"Richmond County, New York",10785.5
1565,Law enforcement workers including supervisors,2016,"Bronx County, New York",10487.75
1566,Law enforcement workers including supervisors,2016,"Kings County, New York",15582.0
1567,Law enforcement workers including supervisors,2016,"New York County, New York",3239.0
1568,Law enforcement workers including supervisors,2016,"Queens County, New York",18157.0
1569,Law enforcement workers including supervisors,2016,"Richmond County, New York",9555.5
1570,Food preparation and serving related occupations,2016,"Bronx County, New York",86773.75
1571,Food preparation and serving related occupations,2016,"Kings County, New York",103591.0
1572,Food preparation and serving related occupations,2016,"New York County, New York",71695.0
1573,Food preparation and serving related occupations,2016,"Queens County, New York",125937.0
1574,Food preparation and serving related occupations,2016,"Richmond County, New York",10795.0
1575,Building and grounds cleaning and maintenance occupations,2016,"Bronx County, New York",79031.5
1576,Building and grounds cleaning and maintenance occupations,2016,"Kings County, New York",72103.0
1577,Building and grounds cleaning and maintenance occupations,2016,"New York County, New York",38997.0
1578,Building and grounds cleaning and maintenance occupations,2016,"Queens County, New York",97142.0
1579,Building and grounds cleaning and maintenance occupations,2016,"Richmond County, New York",10211.5
1580,Personal care and service occupations,2016,"Bronx County, New York",78346.75
1581,Personal care and service occupations,2016,"Kings County, New York",82199.0
1582,Personal care and service occupations,2016,"New York County, New York",59530.0
1583,Personal care and service occupations,2016,"Queens County, New York",96767.0
1584,Personal care and service occupations,2016,"Richmond County, New York",14844.5
1585,Sales and related occupations,2016,"Bronx County, New York",90019.25
1586,Sales and related occupations,2016,"Kings County, New York",182653.0
1587,Sales and related occupations,2016,"New York County, New York",175956.0
1588,Sales and related occupations,2016,"Queens County, New York",173338.0
1589,Sales and related occupations,2016,"Richmond County, New York",36244.0
1590,Office and administrative support occupations,2016,"Bronx County, New York",128409.0
1591,Office and administrative support occupations,2016,"Kings County, New York",227758.0
1592,Office and administrative support occupations,2016,"New York County, New York",140970.0
1593,Office and administrative support occupations,2016,"Queens County, New York",225948.0
1594,Office and administrative support occupations,2016,"Richmond County, New York",50257.5
1595,"Farming, fishing, and forestry occupations",2016,"Bronx County, New York",526.0
1596,"Farming, fishing, and forestry occupations",2016,"Kings County, New York",1315.0
1597,"Farming, fishing, and forestry occupations",2016,"New York County, New York",154.0
1598,"Farming, fishing, and forestry occupations",2016,"Queens County, New York",1600.0
1599,"Farming, fishing, and forestry occupations",2016,"Richmond County, New York",154.0
1600,Construction and extraction occupations,2016,"Bronx County, New York",44988.0
1601,Construction and extraction occupations,2016,"Kings County, New York",83739.0
1602,Construction and extraction occupations,2016,"New York County, New York",17976.0
1603,Construction and extraction occupations,2016,"Queens County, New York",115772.0
1604,Construction and extraction occupations,2016,"Richmond County, New York",26139.5
1605,"Installation, maintenance, and repair occupations",2016,"Bronx County, New York",28031.75
1606,"Installation, maintenance, and repair occupations",2016,"Kings County, New York",33801.0
1607,"Installation, maintenance, and repair occupations",2016,"New York County, New York",11964.0
1608,"Installation, maintenance, and repair occupations",2016,"Queens County, New York",39668.0
1609,"Installation, maintenance, and repair occupations",2016,"Richmond County, New York",9157.5
1610,Production occupations,2016,"Bronx County, New York",29798.0
1611,Production occupations,2016,"Kings County, New York",47359.0
