,Occupations,year,County,YearlyNumEmpbyCounty
85,Sales and related occupations,2010,"Bronx County, New York",85078.25
86,Sales and related occupations,2010,"Kings County, New York",160418.0
87,Sales and related occupations,2010,"New York County, New York",172612.0
88,Sales and related occupations,2010,"Queens County, New York",169102.0
89,Sales and related occupations,2010,"Richmond County, New York",34281.0
90,Office and administrative support occupations,2010,"Bronx County, New York",122314.0
91,Office and administrative support occupations,2010,"Kings County, New York",243742.0
92,Office and administrative support occupations,2010,"New York County, New York",134593.0
93,Office and administrative support occupations,2010,"Queens County, New York",224264.0
94,Office and administrative support occupations,2010,"Richmond County, New York",54898.5
95,"Farming, fishing, and forestry occupations",2010,"Bronx County, New York",1173.0
96,"Farming, fishing, and forestry occupations",2010,"Kings County, New York",571.0
97,"Farming, fishing, and forestry occupations",2010,"New York County, New York",752.0
98,"Farming, fishing, and forestry occupations",2010,"Queens County, New York",1022.0
99,"Farming, fishing, and forestry occupations",2010,"Richmond County, New York",86.0
100,Construction and extraction occupations,2010,"Bronx County, New York",47536.0
101,Construction and extraction occupations,2010,"Kings County, New York",79344.0
102,Construction and extraction occupations,2010,"New York County, New York",17704.0
103,Construction and extraction occupations,2010,"Queens County, New York",108649.0
104,Construction and extraction occupations,2010,"Richmond County, New York",22816.5
105,"Installation, maintenance, and repair occupations",2010,"Bronx County, New York",20014.75
106,"Installation, maintenance, and repair occupations",2010,"Kings County, New York",33601.0
107,"Installation, maintenance, and repair occupations",2010,"New York County, New York",7555.0
108,"Installation, maintenance, and repair occupations",2010,"Queens County, New York",40989.0
109,"Installation, maintenance, and repair occupations",2010,"Richmond County, New York",9648.5
110,Production occupations,2010,"Bronx County, New York",36142.0
111,Production occupations,2010,"Kings County, New York",57731.0
112,Production occupations,2010,"New York County, New York",23519.0
113,Production occupations,2010,"Queens County, New York",66484.0
114,Production occupations,2010,"Richmond County, New York",9669.5
115,Transportation occupations,2010,"Bronx County, New York",52322.5
116,Transportation occupations,2010,"Kings County, New York",61214.0
117,Transportation occupations,2010,"New York County, New York",25540.0
118,Transportation occupations,2010,"Queens County, New York",86237.0
119,Transportation occupations,2010,"Richmond County, New York",14721.0
120,Material moving occupations,2010,"Bronx County, New York",17702.75
121,Material moving occupations,2010,"Kings County, New York",32208.0
122,Material moving occupations,2010,"New York County, New York",15055.0
123,Material moving occupations,2010,"Queens County, New York",30484.0
124,Material moving occupations,2010,"Richmond County, New York",6911.5
250,Management occupations,2011,"Bronx County, New York",39984.5
251,Management occupations,2011,"Kings County, New York",135423.0
252,Management occupations,2011,"New York County, New York",215183.0
253,Management occupations,2011,"Queens County, New York",118951.0
254,Management occupations,2011,"Richmond County, New York",29326.5
255,Business and financial operations occupations,2011,"Bronx County, New York",22908.75
256,Business and financial operations occupations,2011,"Kings County, New York",75806.0
257,Business and financial operations occupations,2011,"New York County, New York",159192.0
258,Business and financial operations occupations,2011,"Queens County, New York",73012.0
259,Business and financial operations occupations,2011,"Richmond County, New York",16139.5
260,Computer and mathematical occupations,2011,"Bronx County, New York",7385.25
261,Computer and mathematical occupations,2011,"Kings County, New York",44936.0
262,Computer and mathematical occupations,2011,"New York County, New York",33754.0
263,Computer and mathematical occupations,2011,"Queens County, New York",34941.0
264,Computer and mathematical occupations,2011,"Richmond County, New York",8594.0
265,Architecture and engineering occupations,2011,"Bronx County, New York",3961.75
266,Architecture and engineering occupations,2011,"Kings County, New York",20241.0
267,Architecture and engineering occupations,2011,"New York County, New York",17427.0
268,Architecture and engineering occupations,2011,"Queens County, New York",14643.0
269,Architecture and engineering occupations,2011,"Richmond County, New York",6382.5
270,"Life, physical, and social science occupations",2011,"Bronx County, New York",3662.5
271,"Life, physical, and social science occupations",2011,"Kings County, New York",11328.0
272,"Life, physical, and social science occupations",2011,"New York County, New York",31514.0
273,"Life, physical, and social science occupations",2011,"Queens County, New York",8451.0
274,"Life, physical, and social science occupations",2011,"Richmond County, New York",1444.0
275,Community and social service occupations,2011,"Bronx County, New York",20173.5
276,Community and social service occupations,2011,"Kings County, New York",31750.0
277,Community and social service occupations,2011,"New York County, New York",23403.0
278,Community and social service occupations,2011,"Queens County, New York",23866.0
279,Community and social service occupations,2011,"Richmond County, New York",5423.5
280,Legal occupations,2011,"Bronx County, New York",5844.25
281,Legal occupations,2011,"Kings County, New York",31938.0
282,Legal occupations,2011,"New York County, New York",81578.0
283,Legal occupations,2011,"Queens County, New York",17735.0
284,Legal occupations,2011,"Richmond County, New York",8308.0
285,"Education, training, and library occupations",2011,"Bronx County, New York",45070.0
286,"Education, training, and library occupations",2011,"Kings County, New York",122136.0
287,"Education, training, and library occupations",2011,"New York County, New York",100781.0
288,"Education, training, and library occupations",2011,"Queens County, New York",87006.0
289,"Education, training, and library occupations",2011,"Richmond County, New York",31148.0
290,"Arts, design, entertainment, sports, and media occupations",2011,"Bronx County, New York",12291.5
291,"Arts, design, entertainment, sports, and media occupations",2011,"Kings County, New York",103165.0
292,"Arts, design, entertainment, sports, and media occupations",2011,"New York County, New York",151225.0
293,"Arts, design, entertainment, sports, and media occupations",2011,"Queens County, New York",41465.0
294,"Arts, design, entertainment, sports, and media occupations",2011,"Richmond County, New York",6707.5
295,Health diagnosing and treating practitioners and other technical occupations,2011,"Bronx County, New York",17527.0
296,Health diagnosing and treating practitioners and other technical occupations,2011,"Kings County, New York",52403.0
297,Health diagnosing and treating practitioners and other technical occupations,2011,"New York County, New York",50633.0
298,Health diagnosing and treating practitioners and other technical occupations,2011,"Queens County, New York",55731.0
299,Health diagnosing and treating practitioners and other technical occupations,2011,"Richmond County, New York",17815.5
300,Health technologists and technicians,2011,"Bronx County, New York",11616.0
301,Health technologists and technicians,2011,"Kings County, New York",19495.0
302,Health technologists and technicians,2011,"New York County, New York",8060.0
303,Health technologists and technicians,2011,"Queens County, New York",22988.0
304,Health technologists and technicians,2011,"Richmond County, New York",6104.0
305,Healthcare support occupations,2011,"Bronx County, New York",63879.5
306,Healthcare support occupations,2011,"Kings County, New York",97964.0
307,Healthcare support occupations,2011,"New York County, New York",24859.0
308,Healthcare support occupations,2011,"Queens County, New York",58461.0
309,Healthcare support occupations,2011,"Richmond County, New York",12772.5
310,"Fire fighting and prevention, and other protective service workers including supervisors",2011,"Bronx County, New York",28377.0
311,"Fire fighting and prevention, and other protective service workers including supervisors",2011,"Kings County, New York",29052.0
312,"Fire fighting and prevention, and other protective service workers including supervisors",2011,"New York County, New York",12025.0
313,"Fire fighting and prevention, and other protective service workers including supervisors",2011,"Queens County, New York",29738.0
314,"Fire fighting and prevention, and other protective service workers including supervisors",2011,"Richmond County, New York",10350.5
315,Law enforcement workers including supervisors,2011,"Bronx County, New York",8916.75
316,Law enforcement workers including supervisors,2011,"Kings County, New York",13022.0
317,Law enforcement workers including supervisors,2011,"New York County, New York",3767.0
318,Law enforcement workers including supervisors,2011,"Queens County, New York",15019.0
319,Law enforcement workers including supervisors,2011,"Richmond County, New York",13961.5
320,Food preparation and serving related occupations,2011,"Bronx County, New York",63210.75
321,Food preparation and serving related occupations,2011,"Kings County, New York",102421.0
322,Food preparation and serving related occupations,2011,"New York County, New York",67328.0
323,Food preparation and serving related occupations,2011,"Queens County, New York",132758.0
324,Food preparation and serving related occupations,2011,"Richmond County, New York",10732.0
325,Building and grounds cleaning and maintenance occupations,2011,"Bronx County, New York",68407.5
326,Building and grounds cleaning and maintenance occupations,2011,"Kings County, New York",78837.0
327,Building and grounds cleaning and maintenance occupations,2011,"New York County, New York",38801.0
328,Building and grounds cleaning and maintenance occupations,2011,"Queens County, New York",96709.0
329,Building and grounds cleaning and maintenance occupations,2011,"Richmond County, New York",11662.5
330,Personal care and service occupations,2011,"Bronx County, New York",71668.75
331,Personal care and service occupations,2011,"Kings County, New York",80634.0
332,Personal care and service occupations,2011,"New York County, New York",52881.0
333,Personal care and service occupations,2011,"Queens County, New York",81301.0
334,Personal care and service occupations,2011,"Richmond County, New York",10413.5
335,Sales and related occupations,2011,"Bronx County, New York",98033.25
