,Occupations,NumEmps,year
15,Building and grounds cleaning and maintenance occupations,298084.0,2015
16,Personal care and service occupations,307430.0,2015
17,Sales and related occupations,637868.0,2015
18,Office and administrative support occupations,788184.0,2015
19,"Farming, fishing, and forestry occupations",6223.0,2015
20,Construction and extraction occupations,293301.0,2015
21,"Installation, maintenance, and repair occupations",123231.0,2015
22,Production occupations,170848.0,2015
23,Transportation occupations,287466.0,2015
24,Material moving occupations,83288.0,2015
0,Management occupations,735483.0,2016
1,Business and financial operations occupations,379591.0,2016
2,Computer and mathematical occupations,181979.0,2016
3,Architecture and engineering occupations,68493.0,2016
4,"Life, physical, and social science occupations",58640.0,2016
5,Community and social service occupations,131494.0,2016
6,Legal occupations,149836.0,2016
7,"Education, training, and library occupations",412757.0,2016
8,"Arts, design, entertainment, sports, and media occupations",346736.0,2016
9,Health diagnosing and treating practitioners and other technical occupations,235489.0,2016
10,Health technologists and technicians,78272.0,2016
11,Healthcare support occupations,279910.0,2016
12,"Fire fighting and prevention, and other protective service workers including supervisors",102801.0,2016
13,Law enforcement workers including supervisors,55986.0,2016
14,Food preparation and serving related occupations,396343.0,2016
15,Building and grounds cleaning and maintenance occupations,295599.0,2016
16,Personal care and service occupations,329308.0,2016
17,Sales and related occupations,654202.0,2016
18,Office and administrative support occupations,767999.0,2016
19,"Farming, fishing, and forestry occupations",3749.0,2016
20,Construction and extraction occupations,287345.0,2016
21,"Installation, maintenance, and repair occupations",121472.0,2016
22,Production occupations,156099.0,2016
23,Transportation occupations,294110.0,2016
24,Material moving occupations,81450.0,2016
0,Management occupations,723701.0,2017
1,Business and financial operations occupations,404956.0,2017
2,Computer and mathematical occupations,183257.0,2017
3,Architecture and engineering occupations,69063.0,2017
4,"Life, physical, and social science occupations",56426.0,2017
5,Community and social service occupations,136254.0,2017
6,Legal occupations,143865.0,2017
7,"Education, training, and library occupations",425445.0,2017
8,"Arts, design, entertainment, sports, and media occupations",367547.0,2017
9,Health diagnosing and treating practitioners and other technical occupations,236108.0,2017
10,Health technologists and technicians,91367.0,2017
11,Healthcare support occupations,296319.0,2017
12,"Fire fighting and prevention, and other protective service workers including supervisors",105524.0,2017
13,Law enforcement workers including supervisors,61373.0,2017
14,Food preparation and serving related occupations,381011.0,2017
15,Building and grounds cleaning and maintenance occupations,302548.0,2017
16,Personal care and service occupations,320749.0,2017
17,Sales and related occupations,620942.0,2017
18,Office and administrative support occupations,790157.0,2017
19,"Farming, fishing, and forestry occupations",5405.0,2017
20,Construction and extraction occupations,305149.0,2017
21,"Installation, maintenance, and repair occupations",114490.0,2017
22,Production occupations,156823.0,2017
23,Transportation occupations,290631.0,2017
24,Material moving occupations,99671.0,2017
0,Management occupations,692187.0,2018
1,Business and financial operations occupations,418681.0,2018
2,Computer and mathematical occupations,212220.0,2018
3,Architecture and engineering occupations,68018.0,2018
4,"Life, physical, and social science occupations",64938.0,2018
5,Community and social service occupations,114109.0,2018
6,Legal occupations,141317.0,2018
7,"Education, training, and library occupations",450923.0,2018
8,"Arts, design, entertainment, sports, and media occupations",355088.0,2018
9,Health diagnosing and treating practitioners and other technical occupations,234472.0,2018
10,Health technologists and technicians,85411.0,2018
11,Healthcare support occupations,349112.0,2018
12,"Fire fighting and prevention, and other protective service workers including supervisors",108311.0,2018
13,Law enforcement workers including supervisors,59985.0,2018
14,Food preparation and serving related occupations,376438.0,2018
15,Building and grounds cleaning and maintenance occupations,297332.0,2018
16,Personal care and service occupations,260218.0,2018
17,Sales and related occupations,590852.0,2018
18,Office and administrative support occupations,701533.0,2018
19,"Farming, fishing, and forestry occupations",3162.0,2018
20,Construction and extraction occupations,309668.0,2018
21,"Installation, maintenance, and repair occupations",94874.0,2018
22,Production occupations,149978.0,2018
23,Transportation occupations,304813.0,2018
24,Material moving occupations,134388.0,2018
0,Management occupations,747359.0,2019
1,Business and financial operations occupations,436743.0,2019
2,Computer and mathematical occupations,212493.0,2019
3,Architecture and engineering occupations,75290.0,2019
4,"Life, physical, and social science occupations",61862.0,2019
5,Community and social service occupations,132641.0,2019
6,Legal occupations,147126.0,2019
7,"Education, training, and library occupations",458601.0,2019
8,"Arts, design, entertainment, sports, and media occupations",348967.0,2019
9,Health diagnosing and treating practitioners and other technical occupations,240643.0,2019
10,Health technologists and technicians,87863.0,2019
11,Healthcare support occupations,368057.0,2019
12,"Fire fighting and prevention, and other protective service workers including supervisors",119227.0,2019
