,Occupations,year,YearlyNumEmp
1105,"Installation, maintenance, and repair occupations",2014,114496.125
1110,Production occupations,2014,170006.75
1115,Transportation occupations,2014,280691.0
1120,Material moving occupations,2014,90894.625
1250,Management occupations,2015,710697.5
1255,Business and financial operations occupations,2015,378538.5
1260,Computer and mathematical occupations,2015,166344.0
1265,Architecture and engineering occupations,2015,61046.5
1270,"Life, physical, and social science occupations",2015,61940.0
1275,Community and social service occupations,2015,125916.5
1280,Legal occupations,2015,149847.0
1285,"Education, training, and library occupations",2015,448925.0
1290,"Arts, design, entertainment, sports, and media occupations",2015,346099.5
1295,Health diagnosing and treating practitioners and other technical occupations,2015,226249.5
1300,Health technologists and technicians,2015,91912.0
1305,Healthcare support occupations,2015,271790.5
1310,"Fire fighting and prevention, and other protective service workers including supervisors",2015,106526.5
1315,Law enforcement workers including supervisors,2015,58624.5
1320,Food preparation and serving related occupations,2015,413959.0
1325,Building and grounds cleaning and maintenance occupations,2015,298689.5
1330,Personal care and service occupations,2015,308635.5
1335,Sales and related occupations,2015,639599.0
1340,Office and administrative support occupations,2015,790438.5
1345,"Farming, fishing, and forestry occupations",2015,6223.0
1350,Construction and extraction occupations,2015,293826.5
1355,"Installation, maintenance, and repair occupations",2015,123636.5
1360,Production occupations,2015,171431.5
1365,Transportation occupations,2015,288061.0
1370,Material moving occupations,2015,83841.5
1500,Management occupations,2016,738015.0
1505,Business and financial operations occupations,2016,381351.25
1510,Computer and mathematical occupations,2016,182507.25
1515,Architecture and engineering occupations,2016,68765.25
1520,"Life, physical, and social science occupations",2016,58716.5
1525,Community and social service occupations,2016,133204.0
1530,Legal occupations,2016,150222.25
1535,"Education, training, and library occupations",2016,415227.0
1540,"Arts, design, entertainment, sports, and media occupations",2016,347484.0
1545,Health diagnosing and treating practitioners and other technical occupations,2016,236781.5
1550,Health technologists and technicians,2016,79291.0
1555,Healthcare support occupations,2016,283578.0
1560,"Fire fighting and prevention, and other protective service workers including supervisors",2016,104377.5
1565,Law enforcement workers including supervisors,2016,57021.25
1570,Food preparation and serving related occupations,2016,398791.75
1575,Building and grounds cleaning and maintenance occupations,2016,297485.0
1580,Personal care and service occupations,2016,331687.25
1585,Sales and related occupations,2016,658210.25
1590,Office and administrative support occupations,2016,773342.5
1595,"Farming, fishing, and forestry occupations",2016,3749.0
1600,Construction and extraction occupations,2016,288614.5
1605,"Installation, maintenance, and repair occupations",2016,122622.25
1610,Production occupations,2016,157550.5
1615,Transportation occupations,2016,295728.5
1620,Material moving occupations,2016,82524.25
1750,Management occupations,2017,727781.0
1755,Business and financial operations occupations,2017,408266.125
1760,Computer and mathematical occupations,2017,184616.25
1765,Architecture and engineering occupations,2017,69674.5
1770,"Life, physical, and social science occupations",2017,56667.25
1775,Community and social service occupations,2017,138300.875
1780,Legal occupations,2017,144387.875
1785,"Education, training, and library occupations",2017,428639.25
1790,"Arts, design, entertainment, sports, and media occupations",2017,368612.0
1795,Health diagnosing and treating practitioners and other technical occupations,2017,239778.625
1800,Health technologists and technicians,2017,92955.125
1805,Healthcare support occupations,2017,301163.25
1810,"Fire fighting and prevention, and other protective service workers including supervisors",2017,107292.125
1815,Law enforcement workers including supervisors,2017,62573.5
1820,Food preparation and serving related occupations,2017,384540.0
1825,Building and grounds cleaning and maintenance occupations,2017,304999.625
1830,Personal care and service occupations,2017,323892.375
1835,Sales and related occupations,2017,627175.375
1840,Office and administrative support occupations,2017,797758.125
1845,"Farming, fishing, and forestry occupations",2017,5453.125
1850,Construction and extraction occupations,2017,306867.5
1855,"Installation, maintenance, and repair occupations",2017,115965.625
1860,Production occupations,2017,158939.25
1865,Transportation occupations,2017,293206.875
1870,Material moving occupations,2017,100902.125
2000,Management occupations,2018,693368.5
2005,Business and financial operations occupations,2018,419721.5
2010,Computer and mathematical occupations,2018,212220.0
2015,Architecture and engineering occupations,2018,68106.5
2020,"Life, physical, and social science occupations",2018,64962.0
2025,Community and social service occupations,2018,115189.5
2030,Legal occupations,2018,141583.0
2035,"Education, training, and library occupations",2018,452035.0
2040,"Arts, design, entertainment, sports, and media occupations",2018,355466.5
2045,Health diagnosing and treating practitioners and other technical occupations,2018,235305.5
2050,Health technologists and technicians,2018,86006.0
2055,Healthcare support occupations,2018,351295.5
2060,"Fire fighting and prevention, and other protective service workers including supervisors",2018,109167.5
2065,Law enforcement workers including supervisors,2018,60818.5
2070,Food preparation and serving related occupations,2018,377419.0
2075,Building and grounds cleaning and maintenance occupations,2018,297937.5
2080,Personal care and service occupations,2018,261423.5
2085,Sales and related occupations,2018,592583.0
2090,Office and administrative support occupations,2018,703787.5
2095,"Farming, fishing, and forestry occupations",2018,3162.0
2100,Construction and extraction occupations,2018,310193.5
2105,"Installation, maintenance, and repair occupations",2018,95279.5
2110,Production occupations,2018,150561.5
2115,Transportation occupations,2018,305408.0
2120,Material moving occupations,2018,134941.5
2250,Management occupations,2019,748540.5
2255,Business and financial operations occupations,2019,437783.5
2260,Computer and mathematical occupations,2019,212493.0
2265,Architecture and engineering occupations,2019,75378.5
2270,"Life, physical, and social science occupations",2019,61886.0
2275,Community and social service occupations,2019,133721.5
2280,Legal occupations,2019,147392.0
2285,"Education, training, and library occupations",2019,459713.0
2290,"Arts, design, entertainment, sports, and media occupations",2019,349345.5
2295,Health diagnosing and treating practitioners and other technical occupations,2019,241476.5
2300,Health technologists and technicians,2019,88458.0
2305,Healthcare support occupations,2019,370240.5
2310,"Fire fighting and prevention, and other protective service workers including supervisors",2019,120083.5
2315,Law enforcement workers including supervisors,2019,61299.5
2320,Food preparation and serving related occupations,2019,387215.0
2325,Building and grounds cleaning and maintenance occupations,2019,280558.5
2330,Personal care and service occupations,2019,253862.5
2335,Sales and related occupations,2019,605927.0
2340,Office and administrative support occupations,2019,634458.5
2345,"Farming, fishing, and forestry occupations",2019,5190.0
2350,Construction and extraction occupations,2019,303427.5
2355,"Installation, maintenance, and repair occupations",2019,110389.5
2360,Production occupations,2019,149535.5
2365,Transportation occupations,2019,282836.0
2370,Material moving occupations,2019,132797.5
