,Occupations,"Bronx County, New York","Kings County, New York","New York County, New York","Queens County, New York","Richmond County, New York",year,Gender
59,Food preparation and serving related occupations,17831,21136,21326,18718,17051,2017,Female
60,Building and grounds cleaning and maintenance occupations,16308,20294,19357,20524,35837,2017,Female
61,Personal care and service occupations,14984,20387,17104,19584,18526,2017,Female
63,Sales and related occupations,15631,24180,52972,23044,17352,2017,Female
64,Office and administrative support occupations,32159,35236,39227,36523,37466,2017,Female
66,"Farming, fishing, and forestry occupations",21164,5867,2500-,16329,,2017,Female
67,Construction and extraction occupations,56389,52739,61785,46858,55314,2017,Female
68,"Installation, maintenance, and repair occupations",50662,55379,47288,57352,,2017,Female
70,Production occupations,20896,21410,27158,26205,32147,2017,Female
71,Transportation occupations,24163,40401,41145,33183,48143,2017,Female
72,Material moving occupations,18945,21836,11989,23357,17122,2017,Female
4,Management occupations,61859,80773,122623,75730,101050,2018,Male
5,Business and financial operations occupations,62383,85417,120648,78153,61748,2018,Male
7,Computer and mathematical occupations,65272,97624,115745,79676,85330,2018,Male
8,Architecture and engineering occupations,79875,82472,80557,75645,65551,2018,Male
9,"Life, physical, and social science occupations",72363,69538,67124,72330,150060,2018,Male
11,Community and social service occupations,38109,40761,43899,38845,50416,2018,Male
12,Legal occupations,60543,126993,213455,79038,110373,2018,Male
13,"Education, training, and library occupations",44607,42179,57234,60089,56766,2018,Male
14,"Arts, design, entertainment, sports, and media occupations",40793,60407,80882,54935,83838,2018,Male
16,Health diagnosing and treating practitioners and other technical occupations,71750,80572,126304,86250,113272,2018,Male
17,Health technologists and technicians,46242,48045,86322,50872,71798,2018,Male
19,Healthcare support occupations,25939,32971,22317,33930,30785,2018,Male
21,"Fire fighting and prevention, and other protective service workers including supervisors",34061,32889,29642,42549,57775,2018,Male
22,Law enforcement workers including supervisors,62744,84896,56930,76792,90054,2018,Male
23,Food preparation and serving related occupations,24204,26005,31883,27511,26219,2018,Male
24,Building and grounds cleaning and maintenance occupations,26755,30131,29903,31536,48544,2018,Male
25,Personal care and service occupations,29521,29294,34578,29371,51047,2018,Male
27,Sales and related occupations,30264,43537,91349,39229,50328,2018,Male
28,Office and administrative support occupations,33006,37297,46202,45272,60824,2018,Male
30,"Farming, fishing, and forestry occupations",30112,40869,35529,26154,,2018,Male
31,Construction and extraction occupations,32101,35803,28193,37408,60117,2018,Male
32,"Installation, maintenance, and repair occupations",41806,50738,31945,47382,71429,2018,Male
34,Production occupations,35150,35740,34794,36272,50942,2018,Male
35,Transportation occupations,28042,35588,31062,35408,50292,2018,Male
36,Material moving occupations,27101,25585,21385,26891,51711,2018,Male
40,Management occupations,52721,75007,95844,66026,69558,2018,Female
41,Business and financial operations occupations,56932,70648,81568,64881,59224,2018,Female
43,Computer and mathematical occupations,75732,82369,82790,75327,61473,2018,Female
44,Architecture and engineering occupations,75982,86036,56126,76495,94345,2018,Female
45,"Life, physical, and social science occupations",44227,60057,71631,71219,68099,2018,Female
47,Community and social service occupations,43548,54773,50744,51193,55379,2018,Female
48,Legal occupations,61208,85196,142464,71094,92457,2018,Female
49,"Education, training, and library occupations",38687,43625,52305,50456,48485,2018,Female
50,"Arts, design, entertainment, sports, and media occupations",23232,62364,64766,51133,31566,2018,Female
52,Health diagnosing and treating practitioners and other technical occupations,79379,80401,94194,75028,85004,2018,Female
53,Health technologists and technicians,34606,41158,60870,41049,42824,2018,Female
55,Healthcare support occupations,20120,24180,21261,24042,30307,2018,Female
57,"Fire fighting and prevention, and other protective service workers including supervisors",26986,31128,31819,31498,31301,2018,Female
58,Law enforcement workers including supervisors,56301,55125,46140,60454,100054,2018,Female
59,Food preparation and serving related occupations,16820,21799,22397,21580,23052,2018,Female
60,Building and grounds cleaning and maintenance occupations,22461,20365,20653,23177,23082,2018,Female
61,Personal care and service occupations,16002,21218,20002,19037,24457,2018,Female
63,Sales and related occupations,16485,26505,55084,22396,25831,2018,Female
64,Office and administrative support occupations,35577,36274,46525,39432,40767,2018,Female
66,"Farming, fishing, and forestry occupations",,,,11517,,2018,Female
67,Construction and extraction occupations,27004,45318,201238,39475,55102,2018,Female
68,"Installation, maintenance, and repair occupations",30128,41703,12239,65260,58703,2018,Female
70,Production occupations,22887,21197,36768,24676,45909,2018,Female
71,Transportation occupations,23831,35805,45173,32341,50559,2018,Female
72,Material moving occupations,19808,23344,22980,22750,21120,2018,Female
4,Management occupations,70328,90528,142301,75102,82633,2019,Male
5,Business and financial operations occupations,70533,80451,111620,80613,74886,2019,Male
7,Computer and mathematical occupations,66715,92429,115707,88613,83949,2019,Male
8,Architecture and engineering occupations,55123,80943,82241,82880,87156,2019,Male
9,"Life, physical, and social science occupations",62138,62355,69548,73099,90545,2019,Male
11,Community and social service occupations,52080,51109,60234,43428,62688,2019,Male
12,Legal occupations,98243,126067,201282,103973,102087,2019,Male
13,"Education, training, and library occupations",45211,56355,61033,51260,65906,2019,Male
14,"Arts, design, entertainment, sports, and media occupations",61171,62154,70672,53024,41894,2019,Male
16,Health diagnosing and treating practitioners and other technical occupations,66418,90477,171964,81829,102222,2019,Male
17,Health technologists and technicians,52220,58161,70398,45319,41541,2019,Male
19,Healthcare support occupations,26052,33431,25149,28873,27417,2019,Male
21,"Fire fighting and prevention, and other protective service workers including supervisors",30703,35151,35739,37421,71188,2019,Male
22,Law enforcement workers including supervisors,75328,61285,86559,65051,91329,2019,Male
23,Food preparation and serving related occupations,24744,26124,25671,28800,27786,2019,Male
24,Building and grounds cleaning and maintenance occupations,32312,34206,30311,36064,37781,2019,Male
25,Personal care and service occupations,35087,30314,17461,31232,41236,2019,Male
27,Sales and related occupations,30271,45451,101120,36696,49479,2019,Male
28,Office and administrative support occupations,37011,41152,59995,40453,43531,2019,Male
30,"Farming, fishing, and forestry occupations",24372,31742,,,,2019,Male
31,Construction and extraction occupations,32241,42698,42710,41618,47069,2019,Male
32,"Installation, maintenance, and repair occupations",43249,58089,35364,54710,62920,2019,Male
34,Production occupations,31743,35384,46723,45130,41714,2019,Male
35,Transportation occupations,35146,31914,32128,35192,46890,2019,Male
36,Material moving occupations,28148,26797,29345,27666,51576,2019,Male
40,Management occupations,62488,80933,103439,70488,81989,2019,Female
41,Business and financial operations occupations,61917,76348,97153,71149,60268,2019,Female
43,Computer and mathematical occupations,61564,81109,84254,73702,79306,2019,Female
44,Architecture and engineering occupations,71129,78994,73675,70319,67010,2019,Female
45,"Life, physical, and social science occupations",85163,64801,77905,61816,71398,2019,Female
47,Community and social service occupations,51752,50062,59966,48971,50453,2019,Female
48,Legal occupations,53900,100100,166940,80318,67989,2019,Female
49,"Education, training, and library occupations",37685,42753,52339,42445,54189,2019,Female
50,"Arts, design, entertainment, sports, and media occupations",40908,63902,66616,53596,52389,2019,Female
52,Health diagnosing and treating practitioners and other technical occupations,81359,81941,85975,86059,82069,2019,Female
53,Health technologists and technicians,49196,49597,51198,52233,61326,2019,Female
55,Healthcare support occupations,21581,25923,24253,26407,30270,2019,Female
57,"Fire fighting and prevention, and other protective service workers including supervisors",25392,28933,13186,36331,25621,2019,Female
58,Law enforcement workers including supervisors,50359,56597,100218,65716,98337,2019,Female
59,Food preparation and serving related occupations,20642,21381,25305,24320,24043,2019,Female
60,Building and grounds cleaning and maintenance occupations,24151,25769,31662,25934,22169,2019,Female
61,Personal care and service occupations,18361,21655,20345,25264,23945,2019,Female
63,Sales and related occupations,20209,24880,51830,23378,21872,2019,Female
64,Office and administrative support occupations,35554,37450,45350,40942,41001,2019,Female
66,"Farming, fishing, and forestry occupations",22278,,,22313,,2019,Female
67,Construction and extraction occupations,51078,61294,41884,26504,,2019,Female
68,"Installation, maintenance, and repair occupations",17872,43455,50428,50731,35462,2019,Female
70,Production occupations,20998,26984,27432,26098,28468,2019,Female
71,Transportation occupations,32327,40410,52193,36424,21689,2019,Female
72,Material moving occupations,28052,21786,12307,18524,23152,2019,Female
