,Occupations,Bronx County,Kings County,New York County,Queens County,Richmond County,year
21,"Installation, maintenance, and repair occupations",19476.0,31486,9686.0,38448,12179.0,2012
22,Production occupations,31921.0,56010,27537.0,63440,7506.0,2012
23,Transportation occupations,53222.0,68510,28280.0,92389,13054.0,2012
24,Material moving occupations,23710.0,24285,9276.0,30741,7228.0,2012
0,Management occupations,41326.0,159350,253616.0,131475,37578.0,2013
1,Business and financial operations occupations,22737.0,84821,155215.0,83445,20546.0,2013
2,Computer and mathematical occupations,8333.0,49203,54349.0,36144,8768.0,2013
3,Architecture and engineering occupations,2872.0,20041,11722.0,13156,3402.0,2013
4,"Life, physical, and social science occupations",4083.0,12636,22339.0,10038,766.0,2013
5,Community and social service occupations,21801.0,39604,26952.0,28504,5343.0,2013
6,Legal occupations,6637.0,35158,62279.0,21882,6604.0,2013
7,"Education, training, and library occupations",46327.0,134821,114801.0,94927,29679.0,2013
8,"Arts, design, entertainment, sports, and media occupations",14993.0,119215,148255.0,55338,8326.0,2013
9,Health diagnosing and treating practitioners and other technical occupations,20982.0,58887,64912.0,53475,17643.0,2013
10,Health technologists and technicians,11214.0,23054,8356.0,20242,4057.0,2013
11,Healthcare support occupations,66664.0,100510,27651.0,65247,10580.0,2013
12,"Fire fighting and prevention, and other protective service workers including supervisors",21333.0,31596,13316.0,29639,9539.0,2013
13,Law enforcement workers including supervisors,8278.0,14038,2955.0,18332,10605.0,2013
14,Food preparation and serving related occupations,66911.0,103185,62393.0,122747,11564.0,2013
15,Building and grounds cleaning and maintenance occupations,73232.0,81041,41164.0,104158,14702.0,2013
16,Personal care and service occupations,58146.0,81308,53580.0,80969,11320.0,2013
17,Sales and related occupations,87473.0,169839,183110.0,171197,33734.0,2013
18,Office and administrative support occupations,129225.0,224988,127740.0,224238,52776.0,2013
19,"Farming, fishing, and forestry occupations",120.0,736,0.0,3237,0.0,2013
20,Construction and extraction occupations,40537.0,87644,19342.0,105168,22101.0,2013
21,"Installation, maintenance, and repair occupations",21422.0,34191,11033.0,49745,9079.0,2013
22,Production occupations,30424.0,52680,16422.0,61588,7584.0,2013
23,Transportation occupations,47665.0,73348,27173.0,84520,16381.0,2013
24,Material moving occupations,24498.0,25924,10021.0,28671,3964.0,2013
0,Management occupations,59198.0,186125,263711.0,144489,28308.0,2014
1,Business and financial operations occupations,22498.0,90826,166301.0,73545,19252.0,2014
2,Computer and mathematical occupations,10016.0,51071,50214.0,38898,6466.0,2014
3,Architecture and engineering occupations,4279.0,20796,16863.0,15743,4793.0,2014
4,"Life, physical, and social science occupations",3310.0,12008,26490.0,9274,1680.0,2014
5,Community and social service occupations,21500.0,41730,22064.0,27524,7207.0,2014
6,Legal occupations,7977.0,29989,72895.0,24817,3511.0,2014
7,"Education, training, and library occupations",48498.0,139222,105712.0,100907,36709.0,2014
8,"Arts, design, entertainment, sports, and media occupations",12775.0,121439,132162.0,48533,10208.0,2014
9,Health diagnosing and treating practitioners and other technical occupations,17251.0,61767,67735.0,51094,23676.0,2014
10,Health technologists and technicians,16961.0,24105,8196.0,24307,8125.0,2014
11,Healthcare support occupations,66530.0,94985,28527.0,57864,12270.0,2014
12,"Fire fighting and prevention, and other protective service workers including supervisors",22739.0,32061,12164.0,24550,9169.0,2014
13,Law enforcement workers including supervisors,9376.0,13462,4787.0,20126,9658.0,2014
14,Food preparation and serving related occupations,81269.0,107858,60990.0,132731,13235.0,2014
15,Building and grounds cleaning and maintenance occupations,71426.0,79872,41816.0,101850,14043.0,2014
16,Personal care and service occupations,62292.0,85249,52126.0,90302,10899.0,2014
17,Sales and related occupations,89454.0,183287,173274.0,165369,37941.0,2014
18,Office and administrative support occupations,121205.0,225179,135307.0,233325,48361.0,2014
19,"Farming, fishing, and forestry occupations",323.0,2865,418.0,632,126.0,2014
20,Construction and extraction occupations,52603.0,89646,25545.0,104819,24777.0,2014
21,"Installation, maintenance, and repair occupations",22095.0,29191,12782.0,41271,8606.0,2014
22,Production occupations,31320.0,52031,17161.0,60910,7986.0,2014
23,Transportation occupations,67503.0,71145,22647.0,103613,14689.0,2014
24,Material moving occupations,14317.0,29952,12298.0,27298,6574.0,2014
0,Management occupations,58189.0,195008,276177.0,147802,32340.0,2015
1,Business and financial operations occupations,26191.0,93876,154420.0,84439,18572.0,2015
2,Computer and mathematical occupations,12832.0,51037,55794.0,37564,9117.0,2015
3,Architecture and engineering occupations,3160.0,19281,17374.0,16108,5035.0,2015
4,"Life, physical, and social science occupations",3795.0,15344,30297.0,10334,2146.0,2015
5,Community and social service occupations,23427.0,39910,28459.0,29089,3951.0,2015
6,Legal occupations,6593.0,46170,63847.0,26791,6180.0,2015
7,"Education, training, and library occupations",55583.0,145693,109145.0,101367,36025.0,2015
8,"Arts, design, entertainment, sports, and media occupations",13899.0,126478,147324.0,52580,5440.0,2015
9,Health diagnosing and treating practitioners and other technical occupations,21617.0,62122,65479.0,59191,17007.0,2015
10,Health technologists and technicians,16906.0,28341,11607.0,26403,8060.0,2015
11,Healthcare support occupations,68047.0,97996,30493.0,65767,7304.0,2015
12,"Fire fighting and prevention, and other protective service workers including supervisors",26080.0,29158,14771.0,28591,7070.0,2015
13,Law enforcement workers including supervisors,8657.0,15040,5514.0,21766,6814.0,2015
14,Food preparation and serving related occupations,79775.0,113315,69890.0,137447,12551.0,2015
15,Building and grounds cleaning and maintenance occupations,76008.0,74476,39722.0,97896,9982.0,2015
16,Personal care and service occupations,66339.0,86445,56502.0,86704,11440.0,2015
17,Sales and related occupations,93560.0,172239,177868.0,160379,33822.0,2015
18,Office and administrative support occupations,138817.0,223985,136672.0,235379,53331.0,2015
19,"Farming, fishing, and forestry occupations",2280.0,1578,608.0,1660,97.0,2015
20,Construction and extraction occupations,50740.0,85229,20888.0,112575,23869.0,2015
21,"Installation, maintenance, and repair occupations",25267.0,34059,14524.0,37290,12091.0,2015
22,Production occupations,30754.0,52688,21107.0,60854,5445.0,2015
23,Transportation occupations,57128.0,80626,33217.0,100075,16420.0,2015
24,Material moving occupations,16880.0,23243,11978.0,27160,4027.0,2015
0,Management occupations,60104.0,205224,283039.0,154872,32244.0,2016
1,Business and financial operations occupations,25100.0,93088,162591.0,81764,17048.0,2016
2,Computer and mathematical occupations,10585.0,59630,59952.0,43564,8248.0,2016
3,Architecture and engineering occupations,4642.0,22676,16444.0,19008,5723.0,2016
4,"Life, physical, and social science occupations",3226.0,15373,28071.0,9790,2180.0,2016
5,Community and social service occupations,21326.0,42394,30430.0,31642,5702.0,2016
6,Legal occupations,7092.0,35545,78855.0,23775,4569.0,2016
7,"Education, training, and library occupations",50851.0,136512,93102.0,102051,30241.0,2016
8,"Arts, design, entertainment, sports, and media occupations",14982.0,141893,133450.0,51028,5383.0,2016
9,Health diagnosing and treating practitioners and other technical occupations,21347.0,57804,74917.0,61087,20334.0,2016
10,Health technologists and technicians,14216.0,25081,8608.0,23444,6923.0,2016
11,Healthcare support occupations,73442.0,103249,33276.0,60926,9017.0,2016
12,"Fire fighting and prevention, and other protective service workers including supervisors",24163.0,31312,9485.0,27912,9929.0,2016
13,Law enforcement workers including supervisors,10286.0,15582,3239.0,18157,8722.0,2016
14,Food preparation and serving related occupations,85306.0,103591,71695.0,125937,9814.0,2016
15,Building and grounds cleaning and maintenance occupations,77751.0,72103,38997.0,97142,9606.0,2016
16,Personal care and service occupations,77173.0,82199,59530.0,96767,13639.0,2016
17,Sales and related occupations,87742.0,182653,175956.0,173338,34513.0,2016
18,Office and administrative support occupations,125320.0,227758,140970.0,225948,48003.0,2016
19,"Farming, fishing, and forestry occupations",526.0,1315,154.0,1600,154.0,2016
20,Construction and extraction occupations,44244.0,83739,17976.0,115772,25614.0,2016
21,"Installation, maintenance, and repair occupations",27287.0,33801,11964.0,39668,8752.0,2016
22,Production occupations,28930.0,47359,20782.0,52587,6441.0,2016
23,Transportation occupations,66449.0,80195,28969.0,102989,15508.0,2016
24,Material moving occupations,17599.0,26321,6514.0,25595,5421.0,2016
0,Management occupations,56062.0,212226,273138.0,147787,34488.0,2017
1,Business and financial operations occupations,28252.0,99246,166441.0,92851,18166.0,2017
2,Computer and mathematical occupations,8794.0,60726,58181.0,46805,8751.0,2017
3,Architecture and engineering occupations,5697.0,22596,19622.0,16103,5045.0,2017
4,"Life, physical, and social science occupations",3318.0,14815,29205.0,7630,1458.0,2017
5,Community and social service occupations,26780.0,40048,30167.0,32516,6743.0,2017
6,Legal occupations,5333.0,40681,72901.0,19503,5447.0,2017
7,"Education, training, and library occupations",52452.0,144175,95088.0,100515,33215.0,2017
8,"Arts, design, entertainment, sports, and media occupations",13177.0,155346,144929.0,47411,6684.0,2017
9,Health diagnosing and treating practitioners and other technical occupations,18914.0,64910,74734.0,62442,15108.0,2017
10,Health technologists and technicians,15891.0,25368,10209.0,32842,7057.0,2017
11,Healthcare support occupations,84701.0,97884,36034.0,68355,9345.0,2017
12,"Fire fighting and prevention, and other protective service workers including supervisors",28265.0,30574,11683.0,27284,7718.0,2017
13,Law enforcement workers including supervisors,8664.0,16392,6192.0,18601,11524.0,2017
14,Food preparation and serving related occupations,72558.0,96801,75106.0,125265,11281.0,2017
15,Building and grounds cleaning and maintenance occupations,78614.0,69772,35481.0,108791,9890.0,2017
16,Personal care and service occupations,69021.0,83978,60528.0,97959,9263.0,2017
17,Sales and related occupations,85395.0,172564,170938.0,161703,30342.0,2017
18,Office and administrative support occupations,147865.0,228816,140491.0,225543,47442.0,2017
19,"Farming, fishing, and forestry occupations",1447.0,1636,712.0,1592,18.0,2017
20,Construction and extraction occupations,46531.0,88823,26364.0,120166,23265.0,2017
21,"Installation, maintenance, and repair occupations",19286.0,27591,16369.0,43523,7721.0,2017
22,Production occupations,26257.0,43355,28422.0,51811,6978.0,2017
23,Transportation occupations,60047.0,84964,26787.0,104536,14297.0,2017
24,Material moving occupations,22067.0,25936,10800.0,33554,7314.0,2017
0,Management occupations,56230.0,192068,267181.0,145403,31305.0,2018
1,Business and financial operations occupations,24494.0,118134,166251.0,88904,20898.0,2018
2,Computer and mathematical occupations,14165.0,70974,74313.0,42626,10142.0,2018
3,Architecture and engineering occupations,2182.0,20275,19353.0,22526,3682.0,2018
4,"Life, physical, and social science occupations",3813.0,16687,30922.0,11535,1981.0,2018
5,Community and social service occupations,24046.0,37078,20701.0,25239,7045.0,2018
6,Legal occupations,8601.0,41122,64111.0,23531,3952.0,2018
7,"Education, training, and library occupations",49400.0,151506,121447.0,95922,32648.0,2018
8,"Arts, design, entertainment, sports, and media occupations",17539.0,153866,125962.0,51233,6488.0,2018
9,Health diagnosing and treating practitioners and other technical occupations,22714.0,65352,65181.0,64789,16436.0,2018
10,Health technologists and technicians,16270.0,25569,9269.0,27310,6993.0,2018
11,Healthcare support occupations,104365.0,114123,42412.0,75661,12551.0,2018
12,"Fire fighting and prevention, and other protective service workers including supervisors",26483.0,31092,12434.0,26609,11693.0,2018
13,Law enforcement workers including supervisors,10011.0,16759,5337.0,19838,8040.0,2018
14,Food preparation and serving related occupations,70854.0,101100,65803.0,125107,13574.0,2018
15,Building and grounds cleaning and maintenance occupations,74937.0,72363,42927.0,96231,10874.0,2018
16,Personal care and service occupations,52816.0,69732,48348.0,76578,12744.0,2018
17,Sales and related occupations,91363.0,163116,154792.0,149044,32537.0,2018
18,Office and administrative support occupations,117951.0,204999,136643.0,196579,45361.0,2018
19,"Farming, fishing, and forestry occupations",1072.0,930,662.0,446,52.0,2018
20,Construction and extraction occupations,45411.0,89155,25482.0,125011,24609.0,2018
21,"Installation, maintenance, and repair occupations",20148.0,20248,8224.0,38747,7507.0,2018
22,Production occupations,29078.0,40629,22017.0,49489,8765.0,2018
23,Transportation occupations,66079.0,80049,26315.0,115624,16746.0,2018
24,Material moving occupations,32926.0,36198,19379.0,37456,8429.0,2018
0,Management occupations,62136.0,214014,282479.0,152700,36030.0,2019
1,Business and financial operations occupations,25440.0,113865,184096.0,90034,23308.0,2019
2,Computer and mathematical occupations,10267.0,70455,72262.0,47075,12434.0,2019
3,Architecture and engineering occupations,6264.0,24379,20382.0,20745,3520.0,2019
4,"Life, physical, and social science occupations",2093.0,17696,30367.0,9404,2302.0,2019
5,Community and social service occupations,28279.0,43201,26024.0,27778,7359.0,2019
6,Legal occupations,6080.0,46285,66038.0,22719,6004.0,2019
7,"Education, training, and library occupations",46340.0,149268,116607.0,110225,36161.0,2019
8,"Arts, design, entertainment, sports, and media occupations",11896.0,143244,131049.0,55646,7132.0,2019
9,Health diagnosing and treating practitioners and other technical occupations,23905.0,65543,70043.0,60834,20318.0,2019
10,Health technologists and technicians,13735.0,29783,12168.0,25852,6325.0,2019
11,Healthcare support occupations,103772.0,117654,44474.0,89578,12579.0,2019
12,"Fire fighting and prevention, and other protective service workers including supervisors",31639.0,29137,17824.0,29417,11210.0,2019
13,Law enforcement workers including supervisors,10594.0,15785,5985.0,17344,10758.0,2019
14,Food preparation and serving related occupations,81056.0,97779,69148.0,122730,15521.0,2019
15,Building and grounds cleaning and maintenance occupations,76247.0,65016,36854.0,89892,11944.0,2019
16,Personal care and service occupations,47340.0,67149,53292.0,77234,7642.0,2019
17,Sales and related occupations,84164.0,169608,170144.0,149560,30720.0,2019
18,Office and administrative support occupations,109083.0,186756,111342.0,184671,40352.0,2019
19,"Farming, fishing, and forestry occupations",2408.0,514,728.0,1004,536.0,2019
20,Construction and extraction occupations,50280.0,89476,22124.0,115634,25388.0,2019
21,"Installation, maintenance, and repair occupations",19724.0,29940,10594.0,38296,11430.0,2019
22,Production occupations,35632.0,39615,14833.0,53373,5499.0,2019
23,Transportation occupations,62086.0,77396,32714.0,94493,15552.0,2019
24,Material moving occupations,35463.0,36549,14094.0,37500,8638.0,2019
