Occupations,NumEmps,year
Health technologists and technicians,91317.0,2015
Healthcare support occupations,269607.0,2015
"Fire fighting and prevention, and other protective service workers including supervisors",105670.0,2015
Law enforcement workers including supervisors,57791.0,2015
Food preparation and serving related occupations,412978.0,2015
Building and grounds cleaning and maintenance occupations,298084.0,2015
Personal care and service occupations,307430.0,2015
Sales and related occupations,637868.0,2015
Office and administrative support occupations,788184.0,2015
"Farming, fishing, and forestry occupations",6223.0,2015
Construction and extraction occupations,293301.0,2015
"Installation, maintenance, and repair occupations",123231.0,2015
Production occupations,170848.0,2015
Transportation occupations,287466.0,2015
Material moving occupations,83288.0,2015
Management occupations,735483.0,2016
Business and financial operations occupations,379591.0,2016
Computer and mathematical occupations,181979.0,2016
Architecture and engineering occupations,68493.0,2016
"Life, physical, and social science occupations",58640.0,2016
Community and social service occupations,131494.0,2016
Legal occupations,149836.0,2016
"Education, training, and library occupations",412757.0,2016
"Arts, design, entertainment, sports, and media occupations",346736.0,2016
Health diagnosing and treating practitioners and other technical occupations,235489.0,2016
Health technologists and technicians,78272.0,2016
Healthcare support occupations,279910.0,2016
"Fire fighting and prevention, and other protective service workers including supervisors",102801.0,2016
Law enforcement workers including supervisors,55986.0,2016
Food preparation and serving related occupations,396343.0,2016
Building and grounds cleaning and maintenance occupations,295599.0,2016
Personal care and service occupations,329308.0,2016
Sales and related occupations,654202.0,2016
Office and administrative support occupations,767999.0,2016
"Farming, fishing, and forestry occupations",3749.0,2016
Construction and extraction occupations,287345.0,2016
"Installation, maintenance, and repair occupations",121472.0,2016
Production occupations,156099.0,2016
Transportation occupations,294110.0,2016
Material moving occupations,81450.0,2016
Management occupations,723701.0,2017
Business and financial operations occupations,404956.0,2017
Computer and mathematical occupations,183257.0,2017
Architecture and engineering occupations,69063.0,2017
"Life, physical, and social science occupations",56426.0,2017
Community and social service occupations,136254.0,2017
Legal occupations,143865.0,2017
"Education, training, and library occupations",425445.0,2017
"Arts, design, entertainment, sports, and media occupations",367547.0,2017
Health diagnosing and treating practitioners and other technical occupations,236108.0,2017
Health technologists and technicians,91367.0,2017
Healthcare support occupations,296319.0,2017
"Fire fighting and prevention, and other protective service workers including supervisors",105524.0,2017
Law enforcement workers including supervisors,61373.0,2017
Food preparation and serving related occupations,381011.0,2017
Building and grounds cleaning and maintenance occupations,302548.0,2017
Personal care and service occupations,320749.0,2017
Sales and related occupations,620942.0,2017
Office and administrative support occupations,790157.0,2017
"Farming, fishing, and forestry occupations",5405.0,2017
Construction and extraction occupations,305149.0,2017
"Installation, maintenance, and repair occupations",114490.0,2017
Production occupations,156823.0,2017
Transportation occupations,290631.0,2017
Material moving occupations,99671.0,2017
Management occupations,692187.0,2018
Business and financial operations occupations,418681.0,2018
Computer and mathematical occupations,212220.0,2018
Architecture and engineering occupations,68018.0,2018
"Life, physical, and social science occupations",64938.0,2018
Community and social service occupations,114109.0,2018
Legal occupations,141317.0,2018
"Education, training, and library occupations",0.0,2018
"Arts, design, entertainment, sports, and media occupations",355088.0,2018
Health diagnosing and treating practitioners and other technical occupations,234472.0,2018
Health technologists and technicians,85411.0,2018
Healthcare support occupations,349112.0,2018
"Fire fighting and prevention, and other protective service workers including supervisors",0.0,2018
Law enforcement workers including supervisors,59985.0,2018
Food preparation and serving related occupations,376438.0,2018
Building and grounds cleaning and maintenance occupations,297332.0,2018
Personal care and service occupations,260218.0,2018
Sales and related occupations,590852.0,2018
Office and administrative support occupations,701533.0,2018
"Farming, fishing, and forestry occupations",3162.0,2018
Construction and extraction occupations,309668.0,2018
"Installation, maintenance, and repair occupations",94874.0,2018
Production occupations,149978.0,2018
Transportation occupations,304813.0,2018
Material moving occupations,134388.0,2018
Management occupations,747359.0,2019
Business and financial operations occupations,436743.0,2019
Computer and mathematical occupations,212493.0,2019
Architecture and engineering occupations,75290.0,2019
"Life, physical, and social science occupations",61862.0,2019
Community and social service occupations,132641.0,2019
Legal occupations,147126.0,2019
"Education, training, and library occupations",0.0,2019
"Arts, design, entertainment, sports, and media occupations",348967.0,2019
Health diagnosing and treating practitioners and other technical occupations,240643.0,2019
Health technologists and technicians,87863.0,2019
Healthcare support occupations,368057.0,2019
"Fire fighting and prevention, and other protective service workers including supervisors",0.0,2019
Law enforcement workers including supervisors,60466.0,2019
Food preparation and serving related occupations,386234.0,2019
Building and grounds cleaning and maintenance occupations,279953.0,2019
Personal care and service occupations,252657.0,2019
Sales and related occupations,604196.0,2019
Office and administrative support occupations,632204.0,2019
"Farming, fishing, and forestry occupations",5190.0,2019
Construction and extraction occupations,302902.0,2019
"Installation, maintenance, and repair occupations",109984.0,2019
Production occupations,148952.0,2019
Transportation occupations,282241.0,2019
Material moving occupations,132244.0,2019
