"Label","Bronx County, New York / White alone / Estimate","Bronx County, New York / White alone / Margin of Error","Bronx County, New York / Black or African American alone / Estimate","Bronx County, New York / Black or African American alone / Margin of Error","Bronx County, New York / Some other race alone / Estimate","Bronx County, New York / Some other race alone / Margin of Error","Bronx County, New York / Hispanic or Latino (of any race) (200-299) / Estimate","Bronx County, New York / Hispanic or Latino (of any race) (200-299) / Margin of Error","Bronx County, New York / Not Hispanic or Latino / Estimate","Bronx County, New York / Not Hispanic or Latino / Margin of Error","Kings County, New York / White alone / Estimate","Kings County, New York / White alone / Margin of Error","Kings County, New York / Black or African American alone / Estimate","Kings County, New York / Black or African American alone / Margin of Error","Kings County, New York / Asian alone (400-499) / Estimate","Kings County, New York / Asian alone (400-499) / Margin of Error","Kings County, New York / Some other race alone / Estimate","Kings County, New York / Some other race alone / Margin of Error","Kings County, New York / Hispanic or Latino (of any race) (200-299) / Estimate","Kings County, New York / Hispanic or Latino (of any race) (200-299) / Margin of Error","Kings County, New York / Not Hispanic or Latino / Estimate","Kings County, New York / Not Hispanic or Latino / Margin of Error","New York County, New York / White alone / Estimate","New York County, New York / White alone / Margin of Error","New York County, New York / Black or African American alone / Estimate","New York County, New York / Black or African American alone / Margin of Error","New York County, New York / Asian alone (400-499) / Estimate","New York County, New York / Asian alone (400-499) / Margin of Error","New York County, New York / Some other race alone / Estimate","New York County, New York / Some other race alone / Margin of Error","New York County, New York / Two or more races / Estimate","New York County, New York / Two or more races / Margin of Error","New York County, New York / Hispanic or Latino (of any race) (200-299) / Estimate","New York County, New York / Hispanic or Latino (of any race) (200-299) / Margin of Error","New York County, New York / Not Hispanic or Latino / Estimate","New York County, New York / Not Hispanic or Latino / Margin of Error","Queens County, New York / White alone / Estimate","Queens County, New York / White alone / Margin of Error","Queens County, New York / Black or African American alone / Estimate","Queens County, New York / Black or African American alone / Margin of Error","Queens County, New York / Asian alone (400-499) / Estimate","Queens County, New York / Asian alone (400-499) / Margin of Error","Queens County, New York / Some other race alone / Estimate","Queens County, New York / Some other race alone / Margin of Error","Queens County, New York / Two or more races / Estimate","Queens County, New York / Two or more races / Margin of Error","Queens County, New York / Hispanic or Latino (of any race) (200-299) / Estimate","Queens County, New York / Hispanic or Latino (of any race) (200-299) / Margin of Error","Queens County, New York / Not Hispanic or Latino / Estimate","Queens County, New York / Not Hispanic or Latino / Margin of Error"
"TOTAL NUMBER OF RACES REPORTED","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Total population","292594","10468","469633","6583","542324","12254","774778","*****","643955","*****","1115644","11427","884730","8043","294566","2924","227602","11392","507880","*****","2084269","*****","920010","13250","245533","7673","186628","4490","204240","14941","61931","8707","419398","*****","1206761","*****","973874","14447","421205","6339","562285","4988","256749","14261","74740","7387","642259","*****","1653916","*****"
"One race","100.0","0.1","100.0","0.1","100.0","0.1","95.1","0.8","97.6","0.4","100.0","0.1","100.0","0.1","100.0","0.1","100.0","0.1","95.2","0.9","98.3","0.2","100.0","0.1","100.0","0.1","100.0","0.1","100.0","0.1","(X)","(X)","92.9","1.4","97.3","0.5","100.0","0.1","100.0","0.1","100.0","0.1","100.0","0.1","(X)","(X)","95.7","0.9","97.2","0.3"
"Two races","(X)","(X)","(X)","(X)","(X)","(X)","4.5","0.7","2.2","0.4","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","4.1","0.7","1.6","0.2","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","92.2","2.8","6.7","1.4","2.4","0.5","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","92.9","1.9","3.9","0.8","2.7","0.3"
"Three races","(X)","(X)","(X)","(X)","(X)","(X)","0.4","0.3","0.1","0.1","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","0.7","0.5","0.1","0.1","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","7.7","2.8","0.4","0.2","0.3","0.1","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","6.0","1.4","0.3","0.1","0.2","0.1"
"Four or more races","(X)","(X)","(X)","(X)","(X)","(X)","0.0","0.1","0.0","0.1","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","0.0","0.1","0.0","0.1","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","0.1","0.2","0.0","0.1","0.0","0.1","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","1.1","1.3","0.1","0.1","0.0","0.1"
"SEX AND AGE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Total population","292594","10468","469633","6583","542324","12254","774778","*****","643955","*****","1115644","11427","884730","8043","294566","2924","227602","11392","507880","*****","2084269","*****","920010","13250","245533","7673","186628","4490","204240","14941","61931","8707","419398","*****","1206761","*****","973874","14447","421205","6339","562285","4988","256749","14261","74740","7387","642259","*****","1653916","*****"
"Male","47.3","1.1","45.9","0.4","48.2","0.7","47.3","*****","47.1","0.1","49.2","0.2","43.8","0.2","49.2","0.3","50.3","1.2","49.1","*****","47.0","0.1","48.1","0.3","46.1","1.0","43.9","0.8","47.9","1.4","47.6","5.2","47.7","*****","47.1","0.1","49.5","0.3","45.4","0.4","48.6","0.2","50.2","1.1","49.0","2.8","50.3","*****","47.9","0.1"
"Female","52.7","1.1","54.1","0.4","51.8","0.7","52.7","*****","52.9","0.1","50.8","0.2","56.2","0.2","50.8","0.3","49.7","1.2","50.9","*****","53.0","0.1","51.9","0.3","53.9","1.0","56.1","0.8","52.1","1.4","52.4","5.2","52.3","*****","52.9","0.1","50.5","0.3","54.6","0.4","51.4","0.2","49.8","1.1","51.0","2.8","49.7","*****","52.1","0.1"
