"Label","Bronx County, New York!!Estimate","Kings County, New York!!Estimate","New York County, New York!!Estimate","Queens County, New York!!Estimate","Richmond County, New York!!Estimate"
"Total:","26,660","32,294","51,381","33,190","46,988"
"    Male:","28,037","34,432","60,006","35,380","52,987"
"        Management, business, science, and arts occupations:","51,559","60,412","87,265","61,006","69,919"
"            Management, business, and financial occupations:","55,176","69,387","102,459","62,289","75,853"
"                Management occupations","55,677","66,216","104,539","61,957","91,875"
"                Business and financial operations occupations","51,465","71,657","100,068","63,396","62,317"
"            Computer, engineering, and science occupations:","57,478","63,227","74,276","70,939","70,581"
"                Computer and mathematical occupations","55,646","66,235","79,552","71,316","71,772"
"                Architecture and engineering occupations","67,138","61,578","88,605","69,806","67,828"
"                Life, physical, and social science occupations","52,237","50,824","52,382","64,556","71,345"
"            Education, legal, community service, arts, and media occupations:","41,756","48,297","71,126","44,670","57,317"
"                Community and social service occupations","37,344","34,798","42,874","42,358","47,188"
"                Legal occupations","100,509","102,691","168,198","82,482","61,071"
"                Education, training, and library occupations","51,832","36,438","56,169","44,706","60,188"
"                Arts, design, entertainment, sports, and media occupations","32,840","49,141","61,588","40,044","61,852"
"            Healthcare practitioners and technical occupations:","55,340","61,281","69,102","60,936","71,515"
"                Health diagnosing and treating practitioners and other technical occupations","64,250","75,696","75,595","75,779","90,473"
"                Health technologists and technicians","45,636","37,247","50,275","46,235","60,283"
"        Service occupations:","23,800","25,615","21,990","26,716","40,664"
"            Healthcare support occupations","26,759","30,233","21,748","33,189","30,847"
"            Protective service occupations:","37,559","38,056","25,342","42,101","71,929"
"                Fire fighting and prevention, and other protective service workers including supervisors","30,254","27,207","20,122","34,181","42,252"
"                Law enforcement workers including supervisors","72,654","67,052","73,586","80,598","86,219"
"            Food preparation and serving related occupations","20,006","21,023","19,223","22,113","12,257"
"            Building and grounds cleaning and maintenance occupations","25,074","28,009","21,219","33,286","34,002"
"            Personal care and service occupations","27,188","25,427","35,932","25,155","29,686"
"        Sales and office occupations:","24,092","30,394","57,214","30,103","33,342"
"            Sales and related occupations","21,561","30,052","95,365","26,766","31,325"
"            Office and administrative support occupations","28,801","30,698","36,482","33,028","36,471"
"        Natural resources, construction, and maintenance occupations:","27,514","31,990","26,717","30,966","55,584"
"            Farming, fishing, and forestry occupations","25,825","26,890","35,364","14,692","-"
"            Construction and extraction occupations","27,890","27,589","22,414","27,893","52,211"
"            Installation, maintenance, and repair occupations","31,537","37,316","30,004","39,159","58,569"
"        Production, transportation, and material moving occupations:","25,670","25,868","23,416","27,330","51,962"
"            Production occupations","26,881","23,281","26,594","26,761","44,216"
"            Transportation occupations","25,316","27,263","22,135","29,070","60,034"
"            Material moving occupations","25,506","24,235","18,605","24,628","71,250"
"    Female:","25,056","31,343","46,255","31,565","40,409"
"        Management, business, science, and arts occupations:","46,342","51,301","63,366","55,104","56,822"
"            Management, business, and financial occupations:","50,627","55,229","78,051","57,334","63,177"
"                Management occupations","51,271","57,321","81,609","57,330","63,364"
"                Business and financial operations occupations","48,341","51,479","75,495","57,340","62,815"
"            Computer, engineering, and science occupations:","51,933","62,489","56,344","57,151","59,580"
"                Computer and mathematical occupations","64,071","72,108","75,969","56,492","70,775"
"                Architecture and engineering occupations","7,990","63,008","76,303","49,212","40,869"
"                Life, physical, and social science occupations","52,132","52,500","43,674","63,581","70,635"
"            Education, legal, community service, arts, and media occupations:","38,438","43,343","52,266","43,475","45,646"
"                Community and social service occupations","37,496","41,532","42,799","40,821","50,597"
"                Legal occupations","42,318","67,106","114,509","55,264","68,274"
"                Education, training, and library occupations","37,265","36,236","44,464","42,183","34,851"
"                Arts, design, entertainment, sports, and media occupations","34,090","50,326","50,601","37,386","41,283"
"            Healthcare practitioners and technical occupations:","60,074","60,258","70,523","67,162","66,163"
"                Health diagnosing and treating practitioners and other technical occupations","65,566","67,518","72,187","76,216","75,551"
"                Health technologists and technicians","36,468","41,266","45,895","44,256","40,552"
"        Service occupations:","17,159","20,550","18,489","20,469","26,127"
"            Healthcare support occupations","20,742","24,001","19,482","25,662","30,680"
"            Protective service occupations:","22,733","36,217","31,334","51,960","68,658"
"                Fire fighting and prevention, and other protective service workers including supervisors","18,065","25,750","30,621","31,186","31,443"
"                Law enforcement workers including supervisors","32,464","53,066","66,269","79,327","89,852"
"            Food preparation and serving related occupations","15,532","18,841","23,286","17,409","16,152"
"            Building and grounds cleaning and maintenance occupations","14,850","16,561","16,025","19,311","23,196"
"            Personal care and service occupations","14,557","16,185","15,232","15,985","16,898"
"        Sales and office occupations:","25,528","29,278","36,414","26,900","31,088"
"            Sales and related occupations","12,999","18,885","37,358","16,611","18,992"
"            Office and administrative support occupations","33,050","31,813","35,614","32,772","36,950"
"        Natural resources, construction, and maintenance occupations:","27,155","39,801","31,917","49,006","50,576"
"            Farming, fishing, and forestry occupations","-","57,955","-","11,471","-"
"            Construction and extraction occupations","41,058","41,196","45,460","50,810","50,576"
"            Installation, maintenance, and repair occupations","10,362","38,180","30,916","59,681","-"
"        Production, transportation, and material moving occupations:","17,806","16,960","19,326","18,372","27,596"
"            Production occupations","16,554","15,943","18,326","16,956","24,643"
"            Transportation occupations","28,477","41,026","42,153","28,031","28,003"
"            Material moving occupations","13,516","14,835","19,168","16,958","-"
