"Label","Bronx County, New York!!Estimate","Kings County, New York!!Estimate","New York County, New York!!Estimate","Queens County, New York!!Estimate","Richmond County, New York!!Estimate"
"Total:","26,996","35,608","60,121","35,098","43,066"
"    Male:","29,344","38,097","66,815","36,651","51,554"
"        Management, business, science, and arts occupations:","50,554","61,717","97,371","60,578","72,362"
"            Management, business, and financial occupations:","50,760","69,096","109,921","61,026","80,697"
"                Management occupations","50,170","67,142","117,126","61,541","86,549"
"                Business and financial operations occupations","59,167","70,139","100,134","60,294","71,604"
"            Computer, engineering, and science occupations:","53,680","72,638","82,414","73,710","77,388"
"                Computer and mathematical occupations","57,705","78,026","101,113","80,177","91,948"
"                Architecture and engineering occupations","50,407","70,813","71,143","67,650","76,470"
"                Life, physical, and social science occupations","44,863","49,813","60,871","52,431","67,923"
"            Education, legal, community service, arts, and media occupations:","41,244","48,162","74,754","51,051","52,431"
"                Community and social service occupations","40,801","41,469","51,808","41,833","48,601"
"                Legal occupations","63,534","102,360","166,353","75,845","64,175"
"                Education, training, and library occupations","38,790","38,062","60,789","54,195","49,123"
"                Arts, design, entertainment, sports, and media occupations","36,098","51,510","60,151","45,034","56,961"
"            Healthcare practitioners and technical occupations:","55,564","62,973","87,835","62,478","80,587"
"                Health diagnosing and treating practitioners and other technical occupations","66,363","70,162","102,440","74,190","90,665"
"                Health technologists and technicians","50,592","50,137","55,625","42,498","52,105"
"        Service occupations:","23,357","24,890","24,590","27,774","40,280"
"            Healthcare support occupations","27,053","30,271","16,584","35,383","25,057"
"            Protective service occupations:","35,796","36,047","29,690","46,605","87,053"
"                Fire fighting and prevention, and other protective service workers including supervisors","25,973","28,926","26,428","31,672","51,418"
"                Law enforcement workers including supervisors","90,816","57,479","59,650","71,779","101,239"
"            Food preparation and serving related occupations","20,702","20,656","20,655","21,809","19,837"
"            Building and grounds cleaning and maintenance occupations","22,303","28,360","27,015","33,178","33,639"
"            Personal care and service occupations","21,945","21,782","24,464","27,488","16,548"
"        Sales and office occupations:","25,489","31,552","55,992","31,091","37,863"
"            Sales and related occupations","25,578","30,637","81,550","30,788","40,402"
"            Office and administrative support occupations","25,421","33,396","34,970","31,514","33,336"
"        Natural resources, construction, and maintenance occupations:","31,407","35,686","32,042","36,041","51,442"
"            Farming, fishing, and forestry occupations","-","22,746","-","3,226","-"
"            Construction and extraction occupations","30,436","32,204","31,934","32,304","50,747"
"            Installation, maintenance, and repair occupations","39,562","42,488","35,906","45,622","51,960"
"        Production, transportation, and material moving occupations:","25,959","26,568","27,195","30,220","37,846"
"            Production occupations","26,894","26,896","22,359","31,281","51,840"
"            Transportation occupations","26,533","28,116","28,462","30,725","32,122"
"            Material moving occupations","22,169","23,095","30,341","24,470","40,300"
"    Female:","25,577","32,334","51,838","31,923","37,141"
"        Management, business, science, and arts occupations:","47,899","51,823","70,978","54,410","55,377"
"            Management, business, and financial occupations:","55,810","62,266","81,119","61,461","60,445"
"                Management occupations","56,559","65,826","85,818","61,479","60,985"
"                Business and financial operations occupations","53,421","56,938","76,469","61,439","60,120"
"            Computer, engineering, and science occupations:","67,224","56,532","65,641","62,673","80,880"
"                Computer and mathematical occupations","71,258","66,214","73,027","68,420","86,284"
"                Architecture and engineering occupations","76,688","56,973","101,156","65,374","67,867"
"                Life, physical, and social science occupations","42,198","40,413","56,663","59,968","52,167"
"            Education, legal, community service, arts, and media occupations:","38,092","42,150","59,013","41,322","41,483"
"                Community and social service occupations","41,386","41,371","44,757","41,555","47,214"
"                Legal occupations","50,856","71,054","112,230","60,884","65,074"
"                Education, training, and library occupations","35,858","35,589","50,418","39,393","37,314"
"                Arts, design, entertainment, sports, and media occupations","32,427","51,321","60,789","41,230","40,601"
"            Healthcare practitioners and technical occupations:","54,722","60,934","80,604","65,234","66,240"
"                Health diagnosing and treating practitioners and other technical occupations","75,396","71,728","86,072","75,573","73,055"
"                Health technologists and technicians","40,760","39,990","47,402","45,701","37,017"
"        Service occupations:","16,999","20,482","18,277","19,320","18,410"
"            Healthcare support occupations","20,263","23,491","18,845","25,465","22,584"
"            Protective service occupations:","27,458","37,279","38,698","37,340","41,393"
"                Fire fighting and prevention, and other protective service workers including supervisors","20,938","30,819","27,772","24,303","29,726"
"                Law enforcement workers including supervisors","51,788","45,063","82,315","65,499","66,406"
"            Food preparation and serving related occupations","15,457","15,048","16,709","16,587","8,185"
"            Building and grounds cleaning and maintenance occupations","16,578","15,027","19,865","17,617","14,912"
"            Personal care and service occupations","14,119","18,458","17,158","15,100","17,694"
"        Sales and office occupations:","25,011","28,963","41,050","30,639","31,913"
"            Sales and related occupations","15,245","20,309","50,879","19,878","27,864"
"            Office and administrative support occupations","33,695","32,181","38,024","35,048","33,633"
"        Natural resources, construction, and maintenance occupations:","32,319","31,229","41,760","36,114","80,039"
"            Farming, fishing, and forestry occupations","4,288","4,044","-","-","-"
"            Construction and extraction occupations","35,273","30,128","37,234","37,378","80,236"
"            Installation, maintenance, and repair occupations","52,281","53,114","42,260","34,746","-"
"        Production, transportation, and material moving occupations:","18,287","19,699","18,008","21,554","21,719"
"            Production occupations","17,171","17,427","12,380","20,966","17,639"
"            Transportation occupations","23,258","32,243","48,203","24,874","25,727"
"            Material moving occupations","14,539","19,380","17,940","18,853","12,051"
