"Label","Bronx County, New York!!Estimate","Kings County, New York!!Estimate","New York County, New York!!Estimate","Queens County, New York!!Estimate","Richmond County, New York!!Estimate"
"Total:","27,279","35,296","56,351","35,450","46,348"
"    Male:","29,062","36,741","63,920","36,359","52,295"
"        Management, business, science, and arts occupations:","47,266","60,619","96,295","62,218","75,247"
"            Management, business, and financial occupations:","47,450","63,328","110,917","67,648","100,127"
"                Management occupations","47,319","65,116","120,134","66,544","100,018"
"                Business and financial operations occupations","47,921","61,935","101,372","70,069","100,257"
"            Computer, engineering, and science occupations:","66,311","69,664","98,035","72,342","72,235"
"                Computer and mathematical occupations","65,955","75,399","101,365","80,217","75,290"
"                Architecture and engineering occupations","62,100","61,319","68,656","70,595","71,146"
"                Life, physical, and social science occupations","76,315","58,750","75,380","61,276","102,526"
"            Education, legal, community service, arts, and media occupations:","40,559","48,469","70,783","51,471","50,307"
"                Community and social service occupations","32,456","37,446","40,385","40,378","45,712"
"                Legal occupations","73,750","102,116","160,852","73,269","100,523"
"                Education, training, and library occupations","39,688","41,469","52,304","48,535","51,356"
"                Arts, design, entertainment, sports, and media occupations","46,815","48,798","63,063","53,475","49,665"
"            Healthcare practitioners and technical occupations:","57,711","68,388","101,449","62,154","81,652"
"                Health diagnosing and treating practitioners and other technical occupations","67,006","80,570","101,795","81,210","91,707"
"                Health technologists and technicians","44,063","41,020","75,669","51,193","42,255"
"        Service occupations:","24,622","24,817","24,994","26,781","41,083"
"            Healthcare support occupations","30,263","27,521","26,441","28,376","32,341"
"            Protective service occupations:","32,313","31,506","28,827","39,928","81,606"
"                Fire fighting and prevention, and other protective service workers including supervisors","26,877","28,224","23,898","31,822","75,605"
"                Law enforcement workers including supervisors","54,977","53,519","95,245","70,909","87,701"
"            Food preparation and serving related occupations","18,055","20,133","20,612","22,527","19,787"
"            Building and grounds cleaning and maintenance occupations","26,307","27,365","26,513","30,066","36,428"
"            Personal care and service occupations","28,399","22,234","30,694","25,754","18,627"
"        Sales and office occupations:","23,570","31,239","50,403","30,340","50,773"
"            Sales and related occupations","19,969","30,518","76,301","28,402","51,330"
"            Office and administrative support occupations","29,414","31,884","31,366","31,608","47,457"
"        Natural resources, construction, and maintenance occupations:","35,500","34,936","31,558","35,122","41,165"
"            Farming, fishing, and forestry occupations","-","11,114","-","30,517","-"
"            Construction and extraction occupations","35,941","31,415","35,103","29,570","40,174"
"            Installation, maintenance, and repair occupations","34,281","42,053","30,343","41,161","50,465"
"        Production, transportation, and material moving occupations:","25,786","27,412","25,741","30,216","42,210"
"            Production occupations","30,581","31,318","34,277","30,997","36,107"
"            Transportation occupations","26,681","28,661","21,404","30,630","42,355"
"            Material moving occupations","21,192","22,862","34,588","26,075","41,900"
"    Female:","26,253","32,278","50,843","33,090","38,437"
"        Management, business, science, and arts occupations:","50,539","52,698","70,250","54,546","57,371"
"            Management, business, and financial occupations:","57,557","61,973","82,830","57,286","67,047"
"                Management occupations","56,057","62,768","88,455","59,596","68,519"
"                Business and financial operations occupations","58,272","61,439","77,308","56,255","65,333"
"            Computer, engineering, and science occupations:","60,604","62,139","75,284","58,795","78,285"
"                Computer and mathematical occupations","73,016","74,612","81,374","71,133","93,162"
"                Architecture and engineering occupations","44,890","60,616","70,236","46,457","-"
"                Life, physical, and social science occupations","56,810","46,900","61,028","44,820","76,708"
"            Education, legal, community service, arts, and media occupations:","39,397","42,461","51,879","44,065","47,658"
"                Community and social service occupations","43,469","45,623","43,673","41,205","48,703"
"                Legal occupations","49,178","69,284","121,002","70,782","66,998"
"                Education, training, and library occupations","35,745","32,291","39,042","41,159","41,925"
"                Arts, design, entertainment, sports, and media occupations","29,737","50,621","55,574","47,000","50,758"
"            Healthcare practitioners and technical occupations:","58,432","60,864","82,330","67,948","67,133"
"                Health diagnosing and treating practitioners and other technical occupations","71,201","67,354","90,359","74,330","74,390"
"                Health technologists and technicians","41,413","42,366","40,459","48,485","36,710"
"        Service occupations:","17,209","20,704","18,772","19,812","21,884"
"            Healthcare support occupations","20,193","23,442","18,607","25,600","30,094"
"            Protective service occupations:","31,925","40,819","21,178","38,768","80,492"
"                Fire fighting and prevention, and other protective service workers including supervisors","26,987","31,176","16,052","25,514","42,244"
"                Law enforcement workers including supervisors","52,250","61,113","55,500","52,930","90,080"
"            Food preparation and serving related occupations","15,947","18,346","20,657","16,716","15,540"
"            Building and grounds cleaning and maintenance occupations","17,713","16,046","21,723","16,129","11,984"
"            Personal care and service occupations","13,051","16,817","15,687","18,181","20,071"
"        Sales and office occupations:","26,247","30,123","40,441","31,169","30,151"
"            Sales and related occupations","13,470","20,559","50,930","20,339","18,656"
"            Office and administrative support occupations","33,388","32,025","36,827","36,086","32,452"
"        Natural resources, construction, and maintenance occupations:","36,772","28,601","29,031","39,184","116,012"
"            Farming, fishing, and forestry occupations","-","-","-","21,120","-"
"            Construction and extraction occupations","52,606","26,304","22,149","51,601","136,367"
"            Installation, maintenance, and repair occupations","32,034","70,192","55,055","38,791","53,262"
"        Production, transportation, and material moving occupations:","18,564","20,160","21,393","22,590","31,152"
"            Production occupations","16,579","17,585","22,881","19,161","35,481"
"            Transportation occupations","26,497","36,123","19,141","35,484","26,019"
"            Material moving occupations","22,787","15,335","16,995","22,315","7,121"
