"Occupations","Gender","Boroughs","year","Salary","year_range"
"Education, training, and library occupations","Male","Kings County","year2018",42179,"year2017_2019"
"Education, training, and library occupations","Male","Kings County","year2019",56355,"year2017_2019"
"Arts, design, entertainment, sports, and media occupations","Male","Kings County","year2010",41647,"year2010_2013"
"Arts, design, entertainment, sports, and media occupations","Male","Kings County","year2011",49141,"year2010_2013"
"Arts, design, entertainment, sports, and media occupations","Male","Kings County","year2012",51666,"year2010_2013"
"Arts, design, entertainment, sports, and media occupations","Male","Kings County","year2013",48798,"year2010_2013"
"Arts, design, entertainment, sports, and media occupations","Male","Kings County","year2014",51510,"year2014_2016"
"Arts, design, entertainment, sports, and media occupations","Male","Kings County","year2015",60201,"year2014_2016"
"Arts, design, entertainment, sports, and media occupations","Male","Kings County","year2016",51448,"year2014_2016"
"Arts, design, entertainment, sports, and media occupations","Male","Kings County","year2017",56232,"year2017_2019"
"Arts, design, entertainment, sports, and media occupations","Male","Kings County","year2018",60407,"year2017_2019"
"Arts, design, entertainment, sports, and media occupations","Male","Kings County","year2019",62154,"year2017_2019"
"Health diagnosing and treating practitioners and other technical occupations","Male","Kings County","year2010",66068,"year2010_2013"
"Health diagnosing and treating practitioners and other technical occupations","Male","Kings County","year2011",75696,"year2010_2013"
"Health diagnosing and treating practitioners and other technical occupations","Male","Kings County","year2012",72897,"year2010_2013"
"Health diagnosing and treating practitioners and other technical occupations","Male","Kings County","year2013",80570,"year2010_2013"
"Health diagnosing and treating practitioners and other technical occupations","Male","Kings County","year2014",70162,"year2014_2016"
"Health diagnosing and treating practitioners and other technical occupations","Male","Kings County","year2015",87927,"year2014_2016"
"Health diagnosing and treating practitioners and other technical occupations","Male","Kings County","year2016",73755,"year2014_2016"
"Health diagnosing and treating practitioners and other technical occupations","Male","Kings County","year2017",80767,"year2017_2019"
"Health diagnosing and treating practitioners and other technical occupations","Male","Kings County","year2018",80572,"year2017_2019"
"Health diagnosing and treating practitioners and other technical occupations","Male","Kings County","year2019",90477,"year2017_2019"
"Health technologists and technicians","Male","Kings County","year2010",50671,"year2010_2013"
"Health technologists and technicians","Male","Kings County","year2011",37247,"year2010_2013"
"Health technologists and technicians","Male","Kings County","year2012",38150,"year2010_2013"
"Health technologists and technicians","Male","Kings County","year2013",41020,"year2010_2013"
"Health technologists and technicians","Male","Kings County","year2014",50137,"year2014_2016"
"Health technologists and technicians","Male","Kings County","year2015",47595,"year2014_2016"
"Health technologists and technicians","Male","Kings County","year2016",52152,"year2014_2016"
"Health technologists and technicians","Male","Kings County","year2017",40748,"year2017_2019"
"Health technologists and technicians","Male","Kings County","year2018",48045,"year2017_2019"
"Health technologists and technicians","Male","Kings County","year2019",58161,"year2017_2019"
"Healthcare support occupations","Male","Kings County","year2010",22232,"year2010_2013"
"Healthcare support occupations","Male","Kings County","year2011",30233,"year2010_2013"
"Healthcare support occupations","Male","Kings County","year2012",25006,"year2010_2013"
"Healthcare support occupations","Male","Kings County","year2013",27521,"year2010_2013"
"Healthcare support occupations","Male","Kings County","year2014",30271,"year2014_2016"
"Healthcare support occupations","Male","Kings County","year2015",26150,"year2014_2016"
"Healthcare support occupations","Male","Kings County","year2016",27086,"year2014_2016"
"Healthcare support occupations","Male","Kings County","year2017",26768,"year2017_2019"
"Healthcare support occupations","Male","Kings County","year2018",32971,"year2017_2019"
"Healthcare support occupations","Male","Kings County","year2019",33431,"year2017_2019"
"Fire fighting and prevention, and other protective service workers including supervisors","Male","Kings County","year2010",30586,"year2010_2013"
"Fire fighting and prevention, and other protective service workers including supervisors","Male","Kings County","year2011",27207,"year2010_2013"
"Fire fighting and prevention, and other protective service workers including supervisors","Male","Kings County","year2012",26948,"year2010_2013"
"Fire fighting and prevention, and other protective service workers including supervisors","Male","Kings County","year2013",28224,"year2010_2013"
"Fire fighting and prevention, and other protective service workers including supervisors","Male","Kings County","year2014",28926,"year2014_2016"
"Fire fighting and prevention, and other protective service workers including supervisors","Male","Kings County","year2015",26946,"year2014_2016"
"Fire fighting and prevention, and other protective service workers including supervisors","Male","Kings County","year2016",32854,"year2014_2016"
"Fire fighting and prevention, and other protective service workers including supervisors","Male","Kings County","year2017",33815,"year2017_2019"
"Fire fighting and prevention, and other protective service workers including supervisors","Male","Kings County","year2018",32889,"year2017_2019"
"Fire fighting and prevention, and other protective service workers including supervisors","Male","Kings County","year2019",35151,"year2017_2019"
"Law enforcement workers including supervisors","Male","Kings County","year2010",67034,"year2010_2013"
"Law enforcement workers including supervisors","Male","Kings County","year2011",67052,"year2010_2013"
"Law enforcement workers including supervisors","Male","Kings County","year2012",66170,"year2010_2013"
"Law enforcement workers including supervisors","Male","Kings County","year2013",53519,"year2010_2013"
"Law enforcement workers including supervisors","Male","Kings County","year2014",57479,"year2014_2016"
"Law enforcement workers including supervisors","Male","Kings County","year2015",61807,"year2014_2016"
"Law enforcement workers including supervisors","Male","Kings County","year2016",61815,"year2014_2016"
"Law enforcement workers including supervisors","Male","Kings County","year2017",66705,"year2017_2019"
"Law enforcement workers including supervisors","Male","Kings County","year2018",84896,"year2017_2019"
"Law enforcement workers including supervisors","Male","Kings County","year2019",61285,"year2017_2019"
"Food preparation and serving related occupations","Male","Kings County","year2010",21457,"year2010_2013"
"Food preparation and serving related occupations","Male","Kings County","year2011",21023,"year2010_2013"
"Food preparation and serving related occupations","Male","Kings County","year2012",20351,"year2010_2013"
"Food preparation and serving related occupations","Male","Kings County","year2013",20133,"year2010_2013"
"Food preparation and serving related occupations","Male","Kings County","year2014",20656,"year2014_2016"
"Food preparation and serving related occupations","Male","Kings County","year2015",21691,"year2014_2016"
"Food preparation and serving related occupations","Male","Kings County","year2016",21537,"year2014_2016"
"Food preparation and serving related occupations","Male","Kings County","year2017",22440,"year2017_2019"
"Food preparation and serving related occupations","Male","Kings County","year2018",26005,"year2017_2019"
