"Label","Bronx County, New York / Estimate","Kings County, New York / Estimate","New York County, New York / Estimate","Queens County, New York / Estimate","Richmond County, New York / Estimate"
"Total:","117377","500651","537296","441358","159007"
"Male:","60752","263905","276121","250106","85622"
"Management, business, science, and arts occupations:","13989","119931","187404","74027","26093"
"Management, business, and financial occupations:","5964","43701","88313","34026","11361"
"Management occupations","4350","29492","50907","21963","7216"
"Business and financial operations occupations","1614","14209","37406","12063","4145"
"Computer, engineering, and science occupations:","2806","21681","19570","11380","5376"
"Computer and mathematical occupations","1587","13163","9621","7070","3167"
"Architecture and engineering occupations","756","6645","5596","3334","2111"
"Life, physical, and social science occupations","463","1873","4353","976","98"
"Education, legal, community service, arts, and media occupations:","3733","48858","70397","23616","6753"
"Community and social service occupations","288","2354","2666","1916","687"
"Legal occupations","533","7566","19641","3431","1445"
"Education, training, and library occupations","1848","15475","15760","9955","2380"
"Arts, design, entertainment, sports, and media occupations","1064","23463","32330","8314","2241"
"Healthcare practitioners and technical occupations:","1486","5691","9124","5005","2603"
"Health diagnosing and treating practitioners and other technical occupations","993","5048","7996","3751","2135"
"Health technologists and technicians","493","643","1128","1254","468"
"Service occupations:","15067","35954","19839","54524","17152"
"Healthcare support occupations","425","2460","755","1563","873"
"Protective service occupations:","3904","6285","1835","9616","9255"
"Fire fighting and prevention, and other protective service workers including supervisors","2621","3637","1269","6251","3815"
"Law enforcement workers including supervisors","1283","2648","566","3365","5440"
"Food preparation and serving related occupations","5004","14562","8172","25006","2669"
"Building and grounds cleaning and maintenance occupations","3825","7716","3925","11699","3098"
"Personal care and service occupations","1909","4931","5152","6640","1257"
"Sales and office occupations:","14776","51176","53980","47164","14171"
"Sales and related occupations","8229","29797","38130","27991","8319"
"Office and administrative support occupations","6547","21379","15850","19173","5852"
"Natural resources, construction, and maintenance occupations:","9260","29023","6075","45036","16754"
"Farming, fishing, and forestry occupations","307","289","234","480","0"
"Construction and extraction occupations","5791","20142","3551","35643","11570"
"Installation, maintenance, and repair occupations","3162","8592","2290","8913","5184"
"Production, transportation, and material moving occupations:","7660","27821","8823","29355","11452"
"Production occupations","3321","10096","2708","10183","3055"
"Transportation occupations","2949","13352","4089","13725","6083"
"Material moving occupations","1390","4373","2026","5447","2314"
"Female:","56625","236746","261175","191252","73385"
"Management, business, science, and arts occupations:","19536","116275","175950","79064","34716"
"Management, business, and financial occupations:","5344","33174","69428","25408","8732"
"Management occupations","3415","21681","39989","16909","6051"
"Business and financial operations occupations","1929","11493","29439","8499","2681"
"Computer, engineering, and science occupations:","1134","8434","14371","5411","2291"
"Computer and mathematical occupations","159","4436","3533","2535","941"
"Architecture and engineering occupations","105","1302","2292","1027","841"
"Life, physical, and social science occupations","870","2696","8546","1849","509"
"Education, legal, community service, arts, and media occupations:","9962","61203","78764","33811","16701"
"Community and social service occupations","1508","4511","5803","3895","1209"
"Legal occupations","694","4953","15681","3317","2565"
"Education, training, and library occupations","5863","30506","22695","20169","12076"
"Arts, design, entertainment, sports, and media occupations","1897","21233","34585","6430","851"
"Healthcare practitioners and technical occupations:","3096","13464","13387","14434","6992"
"Health diagnosing and treating practitioners and other technical occupations","2355","10978","11886","10997","5187"
"Health technologists and technicians","741","2486","1501","3437","1805"
"Service occupations:","17512","48156","22305","44417","11197"
"Healthcare support occupations","4444","16421","2367","9556","3394"
"Protective service occupations:","706","2355","901","2240","1735"
"Fire fighting and prevention, and other protective service workers including supervisors","542","1716","575","1366","804"
"Law enforcement workers including supervisors","164","639","326","874","931"
"Food preparation and serving related occupations","3209","9912","6944","9431","1489"
"Building and grounds cleaning and maintenance occupations","3291","6895","3183","11970","1650"
"Personal care and service occupations","5862","12573","8910","11220","2929"
"Sales and office occupations:","17825","64697","58224","58570","25579"
"Sales and related occupations","4152","21515","29123","20251","7920"
"Office and administrative support occupations","13673","43182","29101","38319","17659"
"Natural resources, construction, and maintenance occupations:","367","708","494","893","249"
"Farming, fishing, and forestry occupations","38","0","0","50","0"
"Construction and extraction occupations","0","368","449","730","249"
"Installation, maintenance, and repair occupations","329","340","45","113","0"
"Production, transportation, and material moving occupations:","1385","6910","4202","8308","1644"
"Production occupations","1009","4970","2609","5657","591"
"Transportation occupations","285","941","1256","1555","1005"
"Material moving occupations","91","999","337","1096","48"
