"Label","Bronx County, New York / Estimate","Kings County, New York / Estimate","New York County, New York / Estimate","Queens County, New York / Estimate","Richmond County, New York / Estimate"
"Total:","110845","527943","563059","473059","164646"
"Male:","56549","279105","288983","259336","88358"
"Management, business, science, and arts occupations:","14795","134970","200634","81371","30717"
"Management, business, and financial occupations:","5288","49242","97190","34167","17345"
"Management occupations","4063","33921","65189","23032","11558"
"Business and financial operations occupations","1225","15321","32001","11135","5787"
"Computer, engineering, and science occupations:","1918","21560","23533","11119","4511"
"Computer and mathematical occupations","1390","13833","15952","6803","2959"
"Architecture and engineering occupations","141","5478","3727","2843","1433"
"Life, physical, and social science occupations","387","2249","3854","1473","119"
"Education, legal, community service, arts, and media occupations:","5782","56981","69165","30963","6967"
"Community and social service occupations","765","4029","1594","2720","549"
"Legal occupations","785","7480","15728","4872","1123"
"Education, training, and library occupations","1754","18316","17700","10270","3135"
"Arts, design, entertainment, sports, and media occupations","2478","27156","34143","13101","2160"
"Healthcare practitioners and technical occupations:","1807","7187","10746","5122","1894"
"Health diagnosing and treating practitioners and other technical occupations","1120","5164","10160","4331","1458"
"Health technologists and technicians","687","2023","586","791","436"
"Service occupations:","14741","36757","23184","55934","17025"
"Healthcare support occupations","369","2089","1200","1472","413"
"Protective service occupations:","3807","5928","1956","10879","8499"
"Fire fighting and prevention, and other protective service workers including supervisors","2382","3864","1672","6459","4435"
"Law enforcement workers including supervisors","1425","2064","284","4420","4064"
"Food preparation and serving related occupations","3474","14031","9537","22697","2584"
"Building and grounds cleaning and maintenance occupations","4803","8638","4783","12719","3868"
"Personal care and service occupations","2288","6071","5708","8167","1661"
"Sales and office occupations:","11886","50716","49419","41762","15567"
"Sales and related occupations","4952","31279","37088","23212","8242"
"Office and administrative support occupations","6934","19437","12331","18550","7325"
"Natural resources, construction, and maintenance occupations:","7344","29512","6729","43955","14162"
"Farming, fishing, and forestry occupations","60","283","0","907","0"
"Construction and extraction occupations","5180","21336","4168","30774","10293"
"Installation, maintenance, and repair occupations","2104","7893","2561","12274","3869"
"Production, transportation, and material moving occupations:","7783","27150","9017","36314","10887"
"Production occupations","2228","8371","2581","10853","2549"
"Transportation occupations","3782","15071","4100","18533","6526"
"Material moving occupations","1773","3708","2336","6928","1812"
"Female:","54296","248838","274076","213723","76288"
"Management, business, science, and arts occupations:","21974","133714","187841","89246","35147"
"Management, business, and financial occupations:","5798","38181","75831","32578","9687"
"Management occupations","4039","24879","44942","18797","6062"
"Business and financial operations occupations","1759","13302","30889","13781","3625"
"Computer, engineering, and science occupations:","1275","8886","12589","3862","1355"
"Computer and mathematical occupations","544","4396","5746","1571","1057"
"Architecture and engineering occupations","122","1676","1074","620","92"
"Life, physical, and social science occupations","609","2814","5769","1671","206"
"Education, legal, community service, arts, and media occupations:","10322","71167","82090","39287","16802"
"Community and social service occupations","1761","7013","7779","5002","1837"
"Legal occupations","895","6910","12789","3222","2152"
"Education, training, and library occupations","6498","33780","29204","23132","11145"
"Arts, design, entertainment, sports, and media occupations","1168","23464","32318","7931","1668"
"Healthcare practitioners and technical occupations:","4579","15480","17331","13519","7303"
"Health diagnosing and treating practitioners and other technical occupations","3840","11972","16264","10187","6024"
"Health technologists and technicians","739","3508","1067","3332","1279"
"Service occupations:","11497","43900","24988","52241","13777"
"Healthcare support occupations","3499","16025","3403","11113","4029"
"Protective service occupations:","444","2417","1294","2557","1369"
"Fire fighting and prevention, and other protective service workers including supervisors","353","1520","883","1514","314"
"Law enforcement workers including supervisors","91","897","411","1043","1055"
"Food preparation and serving related occupations","2107","8196","5876","9589","2048"
"Building and grounds cleaning and maintenance occupations","3016","6049","3616","17141","2561"
"Personal care and service occupations","2431","11213","10799","11841","3770"
"Sales and office occupations:","17884","64218","58774","63283","25016"
"Sales and related occupations","5274","20013","32215","19171","7442"
"Office and administrative support occupations","12610","44205","26559","44112","17574"
"Natural resources, construction, and maintenance occupations:","376","1342","361","2247","491"
"Farming, fishing, and forestry occupations","0","85","0","594","0"
"Construction and extraction occupations","179","873","272","834","276"
"Installation, maintenance, and repair occupations","197","384","89","819","215"
"Production, transportation, and material moving occupations:","2565","5664","2112","6706","1857"
"Production occupations","1297","3838","1124","4490","660"
"Transportation occupations","502","682","622","1499","1078"
"Material moving occupations","766","1144","366","717","119"
