"Label","Bronx County, New York / Estimate","Kings County, New York / Estimate","New York County, New York / Estimate","Queens County, New York / Estimate","Richmond County, New York / Estimate"
"Total:","120031","558444","570395","459408","160938"
"Male:","64291","296788","291884","251445","85525"
"Management, business, science, and arts occupations:","18854","148245","204860","86087","29527"
"Management, business, and financial occupations:","8399","59214","100089","40231","13337"
"Management occupations","5874","41236","65043","28107","9235"
"Business and financial operations occupations","2525","17978","35046","12124","4102"
"Computer, engineering, and science occupations:","2499","22320","27643","12306","6198"
"Computer and mathematical occupations","1637","14527","16754","7323","3523"
"Architecture and engineering occupations","520","5061","5364","3630","2287"
"Life, physical, and social science occupations","342","2732","5525","1353","388"
"Education, legal, community service, arts, and media occupations:","6175","59327","66019","27293","6853"
"Community and social service occupations","964","2356","4646","3031","439"
"Legal occupations","409","10761","15668","4887","1766"
"Education, training, and library occupations","2603","16923","14364","9794","3279"
"Arts, design, entertainment, sports, and media occupations","2199","29287","31341","9581","1369"
"Healthcare practitioners and technical occupations:","1781","7384","11109","6257","3139"
"Health diagnosing and treating practitioners and other technical occupations","1163","5740","10432","4248","2389"
"Health technologists and technicians","618","1644","677","2009","750"
"Service occupations:","15017","37564","19097","55181","12811"
"Healthcare support occupations","633","2302","1183","2480","196"
"Protective service occupations:","3826","5547","2765","9282","5230"
"Fire fighting and prevention, and other protective service workers including supervisors","2520","3079","1649","5597","2769"
"Law enforcement workers including supervisors","1306","2468","1116","3685","2461"
"Food preparation and serving related occupations","4629","16697","7668","25207","2608"
"Building and grounds cleaning and maintenance occupations","4096","7758","3644","10825","2950"
"Personal care and service occupations","1833","5260","3837","7387","1827"
"Sales and office occupations:","11204","51217","53220","37080","16233"
"Sales and related occupations","5750","30349","39058","19610","8361"
"Office and administrative support occupations","5454","20868","14162","17470","7872"
"Natural resources, construction, and maintenance occupations:","9618","30413","6575","38562","17009"
"Farming, fishing, and forestry occupations","300","216","113","596","0"
"Construction and extraction occupations","5638","21410","2713","28903","11407"
"Installation, maintenance, and repair occupations","3680","8787","3749","9063","5602"
"Production, transportation, and material moving occupations:","9598","29349","8132","34535","9945"
"Production occupations","2554","9604","2003","10976","1732"
"Transportation occupations","5478","16258","4207","17858","6350"
"Material moving occupations","1566","3487","1922","5701","1863"
"Female:","55740","261656","278511","207963","75413"
"Management, business, science, and arts occupations:","22866","146605","189835","91427","37756"
"Management, business, and financial occupations:","6952","44322","79262","31545","10598"
"Management occupations","4884","30588","50130","19596","6461"
"Business and financial operations occupations","2068","13734","29132","11949","4137"
"Computer, engineering, and science occupations:","1393","9610","13318","4447","1419"
"Computer and mathematical occupations","617","3613","4539","2154","830"
"Architecture and engineering occupations","121","2653","1863","624","47"
"Life, physical, and social science occupations","655","3344","6916","1669","542"
"Education, legal, community service, arts, and media occupations:","10761","75258","80735","40618","18109"
"Community and social service occupations","1572","6823","4982","4738","1261"
"Legal occupations","1087","7854","13512","4266","1274"
"Education, training, and library occupations","7034","36294","29248","23973","14248"
"Arts, design, entertainment, sports, and media occupations","1068","24287","32993","7641","1326"
"Healthcare practitioners and technical occupations:","3760","17415","16520","14817","7630"
"Health diagnosing and treating practitioners and other technical occupations","2586","13017","14460","10813","4758"
"Health technologists and technicians","1174","4398","2060","4004","2872"
"Service occupations:","12983","48065","24811","46106","11597"
"Healthcare support occupations","3569","15693","2617","8971","2577"
"Protective service occupations:","567","1563","787","3014","1220"
"Fire fighting and prevention, and other protective service workers including supervisors","521","1278","578","1357","579"
"Law enforcement workers including supervisors","46","285","209","1657","641"
"Food preparation and serving related occupations","2901","10528","6580","11073","2889"
"Building and grounds cleaning and maintenance occupations","2658","6419","2913","12192","1543"
"Personal care and service occupations","3288","13862","11914","10856","3368"
"Sales and office occupations:","17080","59788","58913","61544","24023"
"Sales and related occupations","5758","19691","30277","18437","6988"
"Office and administrative support occupations","11322","40097","28636","43107","17035"
"Natural resources, construction, and maintenance occupations:","116","1080","1154","1270","323"
"Farming, fishing, and forestry occupations","0","70","120","88","0"
"Construction and extraction occupations","48","399","990","624","103"
"Installation, maintenance, and repair occupations","68","611","44","558","220"
"Production, transportation, and material moving occupations:","2695","6118","3798","7616","1714"
"Production occupations","1153","4221","1873","5297","557"
"Transportation occupations","1481","1251","1318","1807","1094"
"Material moving occupations","61","646","607","512","63"
