"Label","Bronx County, New York / Estimate","Kings County, New York / Estimate","New York County, New York / Estimate","Queens County, New York / Estimate"
"Total:","181957","350082","96394","191957"
"Male:","79980","147293","45411","86023"
"Management, business, science, and arts occupations:","14886","32602","14850","20005"
"Management, business, and financial occupations:","5953","13493","6383","7728"
"Management occupations","3780","8139","4610","4915"
"Business and financial operations occupations","2173","5354","1773","2813"
"Computer, engineering, and science occupations:","1761","4443","1797","2897"
"Computer and mathematical occupations","1182","2833","1175","1739"
"Architecture and engineering occupations","579","1217","98","1130"
"Life, physical, and social science occupations","0","393","524","28"
"Education, legal, community service, arts, and media occupations:","5089","10752","6026","6383"
"Community and social service occupations","1968","3425","710","1946"
"Legal occupations","244","876","1219","677"
"Education, training, and library occupations","2122","3829","1475","2330"
"Arts, design, entertainment, sports, and media occupations","755","2622","2622","1430"
"Healthcare practitioners and technical occupations:","2083","3914","644","2997"
"Health diagnosing and treating practitioners and other technical occupations","910","1512","644","1109"
"Health technologists and technicians","1173","2402","0","1888"
"Service occupations:","24976","37039","12066","21159"
"Healthcare support occupations","1793","4532","634","1667"
"Protective service occupations:","7739","11020","3395","6826"
"Fire fighting and prevention, and other protective service workers including supervisors","6048","8302","2968","5432"
"Law enforcement workers including supervisors","1691","2718","427","1394"
"Food preparation and serving related occupations","4494","5093","2891","4760"
"Building and grounds cleaning and maintenance occupations","7991","12030","3802","5142"
"Personal care and service occupations","2959","4364","1344","2764"
"Sales and office occupations:","16935","28631","9230","18465"
"Sales and related occupations","8235","11159","3698","6182"
"Office and administrative support occupations","8700","17472","5532","12283"
"Natural resources, construction, and maintenance occupations:","9109","20604","3271","11505"
"Farming, fishing, and forestry occupations","0","41","51","0"
"Construction and extraction occupations","6088","12380","1831","6234"
"Installation, maintenance, and repair occupations","3021","8183","1389","5271"
"Production, transportation, and material moving occupations:","14074","28417","5994","14889"
"Production occupations","2761","5522","916","3016"
"Transportation occupations","9363","18693","3879","9545"
"Material moving occupations","1950","4202","1199","2328"
"Female:","101977","202789","50983","105934"
"Management, business, science, and arts occupations:","30483","64843","19108","34120"
"Management, business, and financial occupations:","6580","17666","6131","11658"
"Management occupations","3126","9922","3732","7231"
"Business and financial operations occupations","3454","7744","2399","4427"
"Computer, engineering, and science occupations:","716","2536","770","1443"
"Computer and mathematical occupations","371","1324","283","756"
"Architecture and engineering occupations","43","214","128","44"
"Life, physical, and social science occupations","302","998","359","643"
"Education, legal, community service, arts, and media occupations:","15912","27779","10150","11796"
"Community and social service occupations","6255","9174","2076","3613"
"Legal occupations","960","2994","1340","1440"
"Education, training, and library occupations","8314","13678","5254","5854"
"Arts, design, entertainment, sports, and media occupations","383","1933","1480","889"
"Healthcare practitioners and technical occupations:","7275","16862","2057","9223"
"Health diagnosing and treating practitioners and other technical occupations","5442","9947","1396","5689"
"Health technologists and technicians","1833","6915","661","3534"
"Service occupations:","40163","79616","12978","35740"
"Healthcare support occupations","21130","38045","4235","15259"
"Protective service occupations:","2278","5946","1416","4756"
"Fire fighting and prevention, and other protective service workers including supervisors","1805","3565","793","2729"
"Law enforcement workers including supervisors","473","2381","623","2027"
"Food preparation and serving related occupations","2553","5132","1532","3139"
"Building and grounds cleaning and maintenance occupations","4166","9705","2137","3676"
"Personal care and service occupations","10036","20788","3658","8910"
"Sales and office occupations:","29236","52367","17260","32219"
"Sales and related occupations","11555","15418","4771","9602"
"Office and administrative support occupations","17681","36949","12489","22617"
"Natural resources, construction, and maintenance occupations:","254","1115","187","663"
"Farming, fishing, and forestry occupations","0","162","0","40"
"Construction and extraction occupations","254","508","187","357"
"Installation, maintenance, and repair occupations","0","445","0","266"
"Production, transportation, and material moving occupations:","1841","4848","1450","3192"
"Production occupations","890","2083","922","869"
"Transportation occupations","650","2412","419","1929"
"Material moving occupations","301","353","109","394"
