"Label","Bronx County, New York / Estimate","Kings County, New York / Estimate","New York County, New York / Estimate","Queens County, New York / Estimate"
"Total:","183071","362635","93376","183443"
"Male:","77153","149278","44349","81639"
"Management, business, science, and arts occupations:","15701","33765","14457","16550"
"Management, business, and financial occupations:","5947","12398","5690","6039"
"Management occupations","3512","8521","3004","3973"
"Business and financial operations occupations","2435","3877","2686","2066"
"Computer, engineering, and science occupations:","2587","4195","1552","2665"
"Computer and mathematical occupations","1493","1861","988","1789"
"Architecture and engineering occupations","818","2069","73","637"
"Life, physical, and social science occupations","276","265","491","239"
"Education, legal, community service, arts, and media occupations:","5858","12735","6533","6381"
"Community and social service occupations","2212","4280","1033","2890"
"Legal occupations","541","1679","787","571"
"Education, training, and library occupations","2445","3760","1481","1388"
"Arts, design, entertainment, sports, and media occupations","660","3016","3232","1532"
"Healthcare practitioners and technical occupations:","1309","4437","682","1465"
"Health diagnosing and treating practitioners and other technical occupations","728","2074","470","928"
"Health technologists and technicians","581","2363","212","537"
"Service occupations:","20893","37388","9326","20706"
"Healthcare support occupations","2338","2849","431","1839"
"Protective service occupations:","7409","13125","2558","7873"
"Fire fighting and prevention, and other protective service workers including supervisors","6510","10282","1788","5552"
"Law enforcement workers including supervisors","899","2843","770","2321"
"Food preparation and serving related occupations","2521","6490","2056","3742"
"Building and grounds cleaning and maintenance occupations","6778","11007","2979","4326"
"Personal care and service occupations","1847","3917","1302","2926"
"Sales and office occupations:","14387","30824","9452","17305"
"Sales and related occupations","6168","14931","3462","7233"
"Office and administrative support occupations","8219","15893","5990","10072"
"Natural resources, construction, and maintenance occupations:","11430","20782","3258","10669"
"Farming, fishing, and forestry occupations","196","0","91","0"
"Construction and extraction occupations","6974","13573","1574","5673"
"Installation, maintenance, and repair occupations","4260","7209","1593","4996"
"Production, transportation, and material moving occupations:","14742","26519","7856","16409"
"Production occupations","3188","5774","684","3640"
"Transportation occupations","8271","16071","5079","9997"
"Material moving occupations","3283","4674","2093","2772"
"Female:","105918","213357","49027","101804"
"Management, business, science, and arts occupations:","32269","68121","19222","32947"
"Management, business, and financial occupations:","8789","19272","5190","9995"
"Management occupations","5111","11244","3617","6164"
"Business and financial operations occupations","3678","8028","1573","3831"
"Computer, engineering, and science occupations:","520","1990","393","1367"
"Computer and mathematical occupations","368","1478","238","1027"
"Architecture and engineering occupations","0","0","96","50"
"Life, physical, and social science occupations","152","512","59","290"
"Education, legal, community service, arts, and media occupations:","14759","28466","10657","12767"
"Community and social service occupations","5734","10802","3257","4892"
"Legal occupations","900","2021","976","593"
"Education, training, and library occupations","7348","13581","5067","6686"
"Arts, design, entertainment, sports, and media occupations","777","2062","1357","596"
"Healthcare practitioners and technical occupations:","8201","18393","2982","8818"
"Health diagnosing and treating practitioners and other technical occupations","5138","12120","1717","5597"
"Health technologists and technicians","3063","6273","1265","3221"
"Service occupations:","43082","78979","13322","33466"
"Healthcare support occupations","20218","38480","4032","17342"
"Protective service occupations:","3272","6571","1499","3409"
"Fire fighting and prevention, and other protective service workers including supervisors","1935","4044","841","1394"
"Law enforcement workers including supervisors","1337","2527","658","2015"
"Food preparation and serving related occupations","4503","4575","2373","2169"
"Building and grounds cleaning and maintenance occupations","4718","8454","2128","3055"
"Personal care and service occupations","10371","20899","3290","7491"
"Sales and office occupations:","27790","58660","14557","31769"
"Sales and related occupations","10117","18211","4796","10035"
"Office and administrative support occupations","17673","40449","9761","21734"
"Natural resources, construction, and maintenance occupations:","568","1109","68","485"
"Farming, fishing, and forestry occupations","0","99","0","0"
"Construction and extraction occupations","250","735","0","294"
"Installation, maintenance, and repair occupations","318","275","68","191"
"Production, transportation, and material moving occupations:","2209","6488","1858","3137"
"Production occupations","1017","2500","827","905"
"Transportation occupations","936","2554","619","2023"
"Material moving occupations","256","1434","412","209"
