"Label","Bronx County, New York / Estimate","Kings County, New York / Estimate","New York County, New York / Estimate","Queens County, New York / Estimate"
"Total:","199838","382493","98502","201352"
"Male:","89393","162442","48047","89725"
"Management, business, science, and arts occupations:","20049","40817","17279","21230"
"Management, business, and financial occupations:","8414","16367","7603","9742"
"Management occupations","5273","11019","4257","5765"
"Business and financial operations occupations","3141","5348","3346","3977"
"Computer, engineering, and science occupations:","2024","4799","1758","3506"
"Computer and mathematical occupations","1739","3104","1451","1485"
"Architecture and engineering occupations","285","1343","0","1365"
"Life, physical, and social science occupations","0","352","307","656"
"Education, legal, community service, arts, and media occupations:","6711","15069","6670","5211"
"Community and social service occupations","2977","5214","1103","1513"
"Legal occupations","315","1549","432","331"
"Education, training, and library occupations","2296","5014","3421","2591"
"Arts, design, entertainment, sports, and media occupations","1123","3292","1714","776"
"Healthcare practitioners and technical occupations:","2900","4582","1248","2771"
"Health diagnosing and treating practitioners and other technical occupations","882","2413","958","1558"
"Health technologists and technicians","2018","2169","290","1213"
"Service occupations:","25908","39420","11276","21974"
"Healthcare support occupations","2511","2263","914","1459"
"Protective service occupations:","7989","12234","3822","7119"
"Fire fighting and prevention, and other protective service workers including supervisors","6526","9338","3114","4741"
"Law enforcement workers including supervisors","1463","2896","708","2378"
"Food preparation and serving related occupations","5118","8211","2164","3960"
"Building and grounds cleaning and maintenance occupations","7466","12060","2787","7057"
"Personal care and service occupations","2824","4652","1589","2379"
"Sales and office occupations:","17820","30043","9123","18434"
"Sales and related occupations","5537","11798","3363","7556"
"Office and administrative support occupations","12283","18245","5760","10878"
"Natural resources, construction, and maintenance occupations:","10967","21247","2752","12450"
"Farming, fishing, and forestry occupations","0","235","80","0"
"Construction and extraction occupations","8890","12967","2203","8121"
"Installation, maintenance, and repair occupations","2077","8045","469","4329"
"Production, transportation, and material moving occupations:","14649","30915","7617","15637"
"Production occupations","3121","6110","1384","2354"
"Transportation occupations","8766","19814","5450","10199"
"Material moving occupations","2762","4991","783","3084"
"Female:","110445","220051","50455","111627"
"Management, business, science, and arts occupations:","34803","75013","22372","38227"
"Management, business, and financial occupations:","9496","18574","7753","11223"
"Management occupations","5985","10805","5306","6536"
"Business and financial operations occupations","3511","7769","2447","4687"
"Computer, engineering, and science occupations:","839","2160","1846","1151"
"Computer and mathematical occupations","465","1373","1580","747"
"Architecture and engineering occupations","117","32","41","215"
"Life, physical, and social science occupations","257","755","225","189"
"Education, legal, community service, arts, and media occupations:","14859","32980","9537","16145"
"Community and social service occupations","5572","11168","3016","5522"
"Legal occupations","723","1626","1043","1399"
"Education, training, and library occupations","7661","17385","3871","8465"
"Arts, design, entertainment, sports, and media occupations","903","2801","1607","759"
"Healthcare practitioners and technical occupations:","9609","21299","3236","9708"
"Health diagnosing and treating practitioners and other technical occupations","5998","12745","2411","5528"
"Health technologists and technicians","3611","8554","825","4180"
"Service occupations:","43356","81444","13300","34747"
"Healthcare support occupations","19031","36730","4319","16334"
"Protective service occupations:","3841","8594","1514","4648"
"Fire fighting and prevention, and other protective service workers including supervisors","2494","4828","1284","2322"
"Law enforcement workers including supervisors","1347","3766","230","2326"
"Food preparation and serving related occupations","5163","6027","1262","2840"
"Building and grounds cleaning and maintenance occupations","3851","9667","2702","2606"
"Personal care and service occupations","11470","20426","3503","8319"
"Sales and office occupations:","29698","57102","13031","33507"
"Sales and related occupations","10014","18502","3696","10110"
"Office and administrative support occupations","19684","38600","9335","23397"
"Natural resources, construction, and maintenance occupations:","337","955","254","567"
"Farming, fishing, and forestry occupations","0","0","0","0"
"Construction and extraction occupations","168","499","185","220"
"Installation, maintenance, and repair occupations","169","456","69","347"
"Production, transportation, and material moving occupations:","2251","5537","1498","4579"
"Production occupations","704","1518","909","1169"
"Transportation occupations","1185","3323","498","2681"
"Material moving occupations","362","696","91","729"
