"year","Gender","Education_Level","NumEducated","NumEmp","Salary_CountyGender"
2018,"Male","Some College, No Degree",383154,3377656,55420.1756446759
2018,"Male","Some College or Associate's Degree",308674,3377656,55420.1756446759
2018,"Male","Bechelor's Degree or Higher",1108186,3377656,55420.1756446759
2019,"Female","Less Than High School",573846,3238872,49206.7061713255
2019,"Female","High School Graduate",819549,3238872,49206.7061713255
2019,"Female","Some College, No Degree",409080,3238872,49206.7061713255
2019,"Female","Some College or Associate's Degree",370136,3238872,49206.7061713255
2019,"Female","Bechelor's Degree or Higher",1346981,3238872,49206.7061713255
2019,"Male","Less Than High School",501786,3395223,57281.9005836278
2019,"Male","High School Graduate",809115,3395223,57281.9005836278
2019,"Male","Some College, No Degree",378701,3395223,57281.9005836278
2019,"Male","Some College or Associate's Degree",288877,3395223,57281.9005836278
2019,"Male","Bechelor's Degree or Higher",1123669,3395223,57281.9005836278
