Year,Male,Female
2010,0.2940788584972795,0.30875007254010484
2011,0.29681623016334013,0.3115639224314277
2012,0.30046369009598645,0.31719525683630473
2013,0.30527012811743426,0.32505788274854847
2014,0.30917076712989344,0.3295171189720706
2015,0.3135514899215626,0.33812483122644477
2016,0.31964635943595665,0.3451572882385104
2017,0.32261871078939397,0.3514440243691221
2018,0.33336409710882575,0.3629229944205753
2019,0.3397202706342364,0.3706191613840539
