Year,PropBachelor
2010,0.2
2011,0.2
2012,0.19999999999999998
2013,0.19999999999999998
2014,0.2
2015,0.19999999999999998
2016,0.2
2017,0.2
2018,0.19999999999999998
2019,0.2
