"Label","Kings County, New York / Estimate","New York County, New York / Estimate","Queens County, New York / Estimate"
"Total:","15798","27255","30488"
"Male:","8756","11771","16093"
"Management, business, science, and arts occupations:","3303","5298","4512"
"Management, business, and financial occupations:","1515","2348","2505"
"Management occupations","1126","1589","1569"
"Business and financial operations occupations","389","759","936"
"Computer, engineering, and science occupations:","274","432","1418"
"Computer and mathematical occupations","190","282","806"
"Architecture and engineering occupations","84","71","281"
"Life, physical, and social science occupations","0","79","331"
"Education, legal, community service, arts, and media occupations:","1437","2084","368"
"Community and social service occupations","0","0","57"
"Legal occupations","41","568","0"
"Education, training, and library occupations","243","443","210"
"Arts, design, entertainment, sports, and media occupations","1153","1073","101"
"Healthcare practitioners and technical occupations:","77","434","221"
"Health diagnosing and treating practitioners and other technical occupations","77","282","108"
"Health technologists and technicians","0","152","113"
"Service occupations:","1711","2574","3756"
"Healthcare support occupations","55","0","48"
"Protective service occupations:","516","329","513"
"Fire fighting and prevention, and other protective service workers including supervisors","364","287","265"
"Law enforcement workers including supervisors","152","42","248"
"Food preparation and serving related occupations","340","994","2229"
"Building and grounds cleaning and maintenance occupations","618","857","754"
"Personal care and service occupations","182","394","212"
"Sales and office occupations:","1915","2010","3672"
"Sales and related occupations","1055","851","2036"
"Office and administrative support occupations","860","1159","1636"
"Natural resources, construction, and maintenance occupations:","554","948","1665"
"Farming, fishing, and forestry occupations","0","0","0"
"Construction and extraction occupations","416","489","959"
"Installation, maintenance, and repair occupations","138","459","706"
"Production, transportation, and material moving occupations:","1273","941","2488"
"Production occupations","737","93","693"
"Transportation occupations","431","848","1427"
"Material moving occupations","105","0","368"
"Female:","7042","15484","14395"
"Management, business, science, and arts occupations:","2820","8259","4917"
"Management, business, and financial occupations:","776","2910","1754"
"Management occupations","686","1655","946"
"Business and financial operations occupations","90","1255","808"
"Computer, engineering, and science occupations:","0","841","103"
"Computer and mathematical occupations","0","202","59"
"Architecture and engineering occupations","0","142","0"
"Life, physical, and social science occupations","0","497","44"
"Education, legal, community service, arts, and media occupations:","1422","3529","2084"
"Community and social service occupations","280","286","512"
"Legal occupations","540","572","296"
"Education, training, and library occupations","144","1880","859"
"Arts, design, entertainment, sports, and media occupations","458","791","417"
"Healthcare practitioners and technical occupations:","622","979","976"
"Health diagnosing and treating practitioners and other technical occupations","509","869","745"
"Health technologists and technicians","113","110","231"
"Service occupations:","2158","3628","4202"
"Healthcare support occupations","441","648","1244"
"Protective service occupations:","90","323","189"
"Fire fighting and prevention, and other protective service workers including supervisors","90","223","145"
"Law enforcement workers including supervisors","0","100","44"
"Food preparation and serving related occupations","658","803","527"
"Building and grounds cleaning and maintenance occupations","625","636","911"
"Personal care and service occupations","344","1218","1331"
"Sales and office occupations:","1806","3262","4410"
"Sales and related occupations","727","1882","1842"
"Office and administrative support occupations","1079","1380","2568"
"Natural resources, construction, and maintenance occupations:","0","0","287"
"Farming, fishing, and forestry occupations","0","0","55"
"Construction and extraction occupations","0","0","232"
"Installation, maintenance, and repair occupations","0","0","0"
"Production, transportation, and material moving occupations:","258","335","579"
"Production occupations","52","72","346"
"Transportation occupations","130","151","69"
"Material moving occupations","76","112","164"
