"Label","Bronx County, New York / Estimate","Kings County, New York / Estimate","New York County, New York / Estimate","Queens County, New York / Estimate"
"Total:","230849","101531","89747","157200"
"Male:","117175","56701","50738","89587"
"Management, business, science, and arts occupations:","15900","9962","9510","12305"
"Management, business, and financial occupations:","7197","5266","5781","6419"
"Management occupations","5546","3897","4944","4935"
"Business and financial operations occupations","1651","1369","837","1484"
"Computer, engineering, and science occupations:","2094","1024","1402","1827"
"Computer and mathematical occupations","1713","803","792","1057"
"Architecture and engineering occupations","381","120","514","559"
"Life, physical, and social science occupations","0","101","96","211"
"Education, legal, community service, arts, and media occupations:","5614","2905","1884","3153"
"Community and social service occupations","1687","733","580","418"
"Legal occupations","205","669","0","210"
"Education, training, and library occupations","2238","917","483","1047"
"Arts, design, entertainment, sports, and media occupations","1484","586","821","1478"
"Healthcare practitioners and technical occupations:","995","767","443","906"
"Health diagnosing and treating practitioners and other technical occupations","178","441","443","479"
"Health technologists and technicians","817","326","0","427"
"Service occupations:","40139","16763","17567","24341"
"Healthcare support occupations","225","518","0","783"
"Protective service occupations:","4582","1804","2238","2713"
"Fire fighting and prevention, and other protective service workers including supervisors","3430","1307","1569","1448"
"Law enforcement workers including supervisors","1152","497","669","1265"
"Food preparation and serving related occupations","18135","9132","9397","11417"
"Building and grounds cleaning and maintenance occupations","13535","4025","4492","7883"
"Personal care and service occupations","3662","1284","1440","1545"
"Sales and office occupations:","19549","8229","7302","13194"
"Sales and related occupations","10048","3726","4449","6472"
"Office and administrative support occupations","9501","4503","2853","6722"
"Natural resources, construction, and maintenance occupations:","19726","11912","5966","21902"
"Farming, fishing, and forestry occupations","597","214","0","0"
"Construction and extraction occupations","13662","9887","3913","17603"
"Installation, maintenance, and repair occupations","5467","1811","2053","4299"
"Production, transportation, and material moving occupations:","21861","9835","10393","17845"
"Production occupations","4593","2905","2512","5395"
"Transportation occupations","13969","4497","5830","9237"
"Material moving occupations","3299","2433","2051","3213"
"Female:","113674","44830","39009","67613"
"Management, business, science, and arts occupations:","23815","10898","8227","16471"
"Management, business, and financial occupations:","6973","2946","2835","4714"
"Management occupations","4890","1681","2246","2214"
"Business and financial operations occupations","2083","1265","589","2500"
"Computer, engineering, and science occupations:","782","628","264","1119"
"Computer and mathematical occupations","336","582","124","528"
"Architecture and engineering occupations","90","46","0","209"
"Life, physical, and social science occupations","356","0","140","382"
"Education, legal, community service, arts, and media occupations:","12391","6103","3274","7917"
"Community and social service occupations","2365","806","1088","803"
"Legal occupations","764","564","248","1348"
"Education, training, and library occupations","8502","2996","1421","3765"
"Arts, design, entertainment, sports, and media occupations","760","1737","517","2001"
"Healthcare practitioners and technical occupations:","3669","1221","1854","2721"
"Health diagnosing and treating practitioners and other technical occupations","1743","488","712","1238"
"Health technologists and technicians","1926","733","1142","1483"
"Service occupations:","48579","18517","19470","28706"
"Healthcare support occupations","15865","5626","6350","6869"
"Protective service occupations:","1308","1026","193","1311"
"Fire fighting and prevention, and other protective service workers including supervisors","1087","722","0","656"
"Law enforcement workers including supervisors","221","304","193","655"
"Food preparation and serving related occupations","6490","2448","4290","4460"
"Building and grounds cleaning and maintenance occupations","9852","4756","3883","8218"
"Personal care and service occupations","15064","4661","4754","7848"
"Sales and office occupations:","34421","11468","9184","18880"
"Sales and related occupations","13795","5454","3575","6447"
"Office and administrative support occupations","20626","6014","5609","12433"
"Natural resources, construction, and maintenance occupations:","1022","358","31","149"
"Farming, fishing, and forestry occupations","243","0","31","0"
"Construction and extraction occupations","489","358","0","149"
"Installation, maintenance, and repair occupations","290","0","0","0"
"Production, transportation, and material moving occupations:","5837","3589","2097","3407"
"Production occupations","3516","1727","1664","1438"
"Transportation occupations","1269","707","236","1430"
"Material moving occupations","1052","1155","197","539"
