"Label","Bronx County, New York / Estimate","Kings County, New York / Estimate","New York County, New York / Estimate","Queens County, New York / Estimate","Richmond County, New York / Estimate"
"Total:","23418","155487","110609","288735","18219"
"Male:","13451","80736","52905","158537","10225"
"Management, business, science, and arts occupations:","4923","26090","34133","50590","3763"
"Management, business, and financial occupations:","1626","9744","16879","22426","1331"
"Management occupations","1270","6704","8888","13589","297"
"Business and financial operations occupations","356","3040","7991","8837","1034"
"Computer, engineering, and science occupations:","1091","7512","7977","13604","965"
"Computer and mathematical occupations","454","5352","4897","9338","370"
"Architecture and engineering occupations","388","1447","1380","3381","367"
"Life, physical, and social science occupations","249","713","1700","885","228"
"Education, legal, community service, arts, and media occupations:","1137","5743","6330","8486","715"
"Community and social service occupations","170","318","258","2021","239"
"Legal occupations","203","1068","657","654","100"
"Education, training, and library occupations","611","1440","1392","3017","326"
"Arts, design, entertainment, sports, and media occupations","153","2917","4023","2794","50"
"Healthcare practitioners and technical occupations:","1069","3091","2947","6074","752"
"Health diagnosing and treating practitioners and other technical occupations","736","2064","2917","4816","540"
"Health technologists and technicians","333","1027","30","1258","212"
"Service occupations:","3745","18308","6300","29001","1356"
"Healthcare support occupations","87","421","265","1733","311"
"Protective service occupations:","470","1477","652","3703","414"
"Fire fighting and prevention, and other protective service workers including supervisors","437","825","652","1669","208"
"Law enforcement workers including supervisors","33","652","0","2034","206"
"Food preparation and serving related occupations","2299","12584","4535","17262","211"
"Building and grounds cleaning and maintenance occupations","471","2026","307","3207","168"
"Personal care and service occupations","418","1800","541","3096","252"
"Sales and office occupations:","1848","14871","8365","33073","2613"
"Sales and related occupations","1098","7571","5461","19996","1619"
"Office and administrative support occupations","750","7300","2904","13077","994"
"Natural resources, construction, and maintenance occupations:","1016","8402","854","13480","699"
"Farming, fishing, and forestry occupations","0","301","0","292","97"
"Construction and extraction occupations","550","5746","491","8390","400"
"Installation, maintenance, and repair occupations","466","2355","363","4798","202"
"Production, transportation, and material moving occupations:","1919","13065","3253","32393","1794"
"Production occupations","642","2832","470","6790","341"
"Transportation occupations","922","9253","2247","23510","1331"
"Material moving occupations","355","980","536","2093","122"
"Female:","9967","74751","57704","130198","7994"
"Management, business, science, and arts occupations:","4298","29716","36221","54021","3613"
"Management, business, and financial occupations:","754","12333","14326","18049","1225"
"Management occupations","309","5916","7608","8459","419"
"Business and financial operations occupations","445","6417","6718","9590","806"
"Computer, engineering, and science occupations:","910","2616","4127","4896","58"
"Computer and mathematical occupations","550","1468","1888","3002","0"
"Architecture and engineering occupations","0","365","769","679","0"
"Life, physical, and social science occupations","360","783","1470","1215","58"
"Education, legal, community service, arts, and media occupations:","929","9982","11591","15281","324"
"Community and social service occupations","58","640","532","1072","179"
"Legal occupations","172","1452","1738","1236","0"
"Education, training, and library occupations","526","4105","4633","7903","145"
"Arts, design, entertainment, sports, and media occupations","173","3785","4688","5070","0"
"Healthcare practitioners and technical occupations:","1705","4785","6177","15795","2006"
"Health diagnosing and treating practitioners and other technical occupations","1342","3763","5237","12510","1571"
"Health technologists and technicians","363","1022","940","3285","435"
"Service occupations:","2174","22150","7694","32768","1961"
"Healthcare support occupations","686","7992","2078","7033","685"
"Protective service occupations:","0","147","679","844","366"
"Fire fighting and prevention, and other protective service workers including supervisors","0","147","549","690","0"
"Law enforcement workers including supervisors","0","0","130","154","366"
"Food preparation and serving related occupations","302","5985","1649","4696","227"
"Building and grounds cleaning and maintenance occupations","362","1532","555","4648","237"
"Personal care and service occupations","824","6494","2733","15547","446"
"Sales and office occupations:","3008","18075","12827","38494","2159"
"Sales and related occupations","1014","8237","5550","16193","930"
"Office and administrative support occupations","1994","9838","7277","22301","1229"
"Natural resources, construction, and maintenance occupations:","47","291","37","517","0"
"Farming, fishing, and forestry occupations","0","0","0","0","0"
"Construction and extraction occupations","0","169","0","355","0"
"Installation, maintenance, and repair occupations","47","122","37","162","0"
"Production, transportation, and material moving occupations:","440","4519","925","4398","261"
"Production occupations","381","3645","925","3034","208"
"Transportation occupations","59","298","0","886","0"
"Material moving occupations","0","576","0","478","53"
