"Label","Bronx County, New York / Estimate","Kings County, New York / Estimate","New York County, New York / Estimate","Queens County, New York / Estimate"
"Total:","26453","40912","34199","39684"
"Male:","13427","22729","15176","20665"
"Management, business, science, and arts occupations:","2696","12069","7503","6784"
"Management, business, and financial occupations:","835","4978","2957","3241"
"Management occupations","393","3087","1704","2283"
"Business and financial operations occupations","442","1891","1253","958"
"Computer, engineering, and science occupations:","952","1574","1835","1185"
"Computer and mathematical occupations","432","1141","1367","940"
"Architecture and engineering occupations","520","387","260","198"
"Life, physical, and social science occupations","0","46","208","47"
"Education, legal, community service, arts, and media occupations:","769","5033","2531","1548"
"Community and social service occupations","138","373","288","211"
"Legal occupations","0","765","0","126"
"Educational instruction, and library occupations","517","905","611","1017"
"Arts, design, entertainment, sports, and media occupations","114","2990","1632","194"
"Healthcare practitioners and technical occupations:","140","484","180","810"
"Health diagnosing and treating practitioners and other technical occupations","140","484","180","428"
"Health technologists and technicians","0","0","0","382"
"Service occupations:","4315","3555","2770","3853"
"Healthcare support occupations","271","346","117","266"
"Protective service occupations:","882","152","151","748"
"Firefighting and prevention, and other protective service workers including supervisors","736","51","151","542"
"Law enforcement workers including supervisors","146","101","0","206"
"Food preparation and serving related occupations","1911","1379","1362","1244"
"Building and grounds cleaning and maintenance occupations","680","883","926","1162"
"Personal care and service occupations","571","795","214","433"
"Sales and office occupations:","2220","2526","1593","3298"
"Sales and related occupations","1168","1319","1298","1793"
"Office and administrative support occupations","1052","1207","295","1505"
"Natural resources, construction, and maintenance occupations:","1303","1730","1981","2406"
"Farming, fishing, and forestry occupations","0","91","0","0"
"Construction and extraction occupations","804","816","999","1230"
"Installation, maintenance, and repair occupations","499","823","982","1176"
"Production, transportation, and material moving occupations:","2893","2849","1329","4324"
"Production occupations","905","231","72","595"
"Transportation occupations","1339","1536","989","2842"
"Material moving occupations","649","1082","268","887"
"Female:","13026","18183","19023","19019"
"Management, business, science, and arts occupations:","4426","8941","10316","6838"
"Management, business, and financial occupations:","1644","2512","4083","2461"
"Management occupations","978","1551","2839","1532"
"Business and financial operations occupations","666","961","1244","929"
"Computer, engineering, and science occupations:","133","726","1216","390"
"Computer and mathematical occupations","59","327","650","300"
"Architecture and engineering occupations","74","42","401","26"
"Life, physical, and social science occupations","0","357","165","64"
"Education, legal, community service, arts, and media occupations:","1905","4597","4250","2652"
"Community and social service occupations","813","341","184","338"
"Legal occupations","127","558","668","133"
"Educational instruction, and library occupations","910","1872","2127","1572"
"Arts, design, entertainment, sports, and media occupations","55","1826","1271","609"
"Healthcare practitioners and technical occupations:","744","1106","767","1335"
"Health diagnosing and treating practitioners and other technical occupations","340","419","737","852"
"Health technologists and technicians","404","687","30","483"
"Service occupations:","4654","4377","4962","4847"
"Healthcare support occupations","2210","2305","2092","1700"
"Protective service occupations:","127","96","247","249"
"Firefighting and prevention, and other protective service workers including supervisors","127","96","247","249"
"Law enforcement workers including supervisors","0","0","0","0"
"Food preparation and serving related occupations","661","644","901","1274"
"Building and grounds cleaning and maintenance occupations","606","551","451","1162"
"Personal care and service occupations","1050","781","1271","462"
"Sales and office occupations:","3067","4418","3395","6466"
"Sales and related occupations","1325","1184","868","2932"
"Office and administrative support occupations","1742","3234","2527","3534"
"Natural resources, construction, and maintenance occupations:","82","110","0","77"
"Farming, fishing, and forestry occupations","0","79","0","0"
"Construction and extraction occupations","0","31","0","0"
"Installation, maintenance, and repair occupations","82","0","0","77"
"Production, transportation, and material moving occupations:","797","337","350","791"
"Production occupations","316","337","28","114"
"Transportation occupations","481","0","155","445"
"Material moving occupations","0","0","167","232"
