"Label","Bronx County, New York / Estimate","Kings County, New York / Estimate","New York County, New York / Estimate","Queens County, New York / Estimate","Richmond County, New York / Estimate"
"Total:","133561","568939","570654","440319","163869"
"Male:","69146","301226","294716","238420","88033"
"Management, business, science, and arts occupations:","21648","159330","208776","87471","31670"
"Management, business, and financial occupations:","8696","62572","105708","40178","14763"
"Management occupations","5837","46781","69065","25530","9866"
"Business and financial operations occupations","2859","15791","36643","14648","4897"
"Computer, engineering, and science occupations:","2666","23866","26237","15025","6277"
"Computer and mathematical occupations","1437","16002","15644","10165","3578"
"Architecture and engineering occupations","940","5902","4604","3777","2427"
"Life, physical, and social science occupations","289","1962","5989","1083","272"
"Education, legal, community service, arts, and media occupations:","7737","64942","64618","25279","7971"
"Community and social service occupations","1422","2580","2945","2966","784"
"Legal occupations","679","10185","17652","3340","1676"
"Education, training, and library occupations","3278","16884","15463","9783","3762"
"Arts, design, entertainment, sports, and media occupations","2358","35293","28558","9190","1749"
"Healthcare practitioners and technical occupations:","2549","7950","12213","6989","2659"
"Health diagnosing and treating practitioners and other technical occupations","1657","6289","10470","4394","1860"
"Health technologists and technicians","892","1661","1743","2595","799"
"Service occupations:","14563","35601","21158","43381","16263"
"Healthcare support occupations","742","2597","644","1121","1009"
"Protective service occupations:","2415","4637","2813","8545","8424"
"Fire fighting and prevention, and other protective service workers including supervisors","1515","2352","1908","4595","3477"
"Law enforcement workers including supervisors","900","2285","905","3950","4947"
"Food preparation and serving related occupations","4847","14814","10057","15645","2918"
"Building and grounds cleaning and maintenance occupations","4196","7562","1922","10480","2880"
"Personal care and service occupations","2363","5991","5722","7590","1032"
"Sales and office occupations:","13332","51308","47260","37267","13457"
"Sales and related occupations","5354","29658","32732","19853","6770"
"Office and administrative support occupations","7978","21650","14528","17414","6687"
"Natural resources, construction, and maintenance occupations:","9700","27048","8583","37816","14306"
"Farming, fishing, and forestry occupations","0","360","146","190","9"
"Construction and extraction occupations","6431","19927","4821","26382","10734"
"Installation, maintenance, and repair occupations","3269","6761","3616","11244","3563"
"Production, transportation, and material moving occupations:","9903","27939","8939","32485","12337"
"Production occupations","3200","6875","3489","7335","2724"
"Transportation occupations","3721","17261","4036","17907","6206"
"Material moving occupations","2982","3803","1414","7243","3407"
"Female:","64415","267713","275938","201899","75836"
"Management, business, science, and arts occupations:","24988","157429","189801","93380","37856"
"Management, business, and financial occupations:","8339","52270","77081","32927","10661"
"Management occupations","5113","34188","45248","19668","6642"
"Business and financial operations occupations","3226","18082","31833","13259","4019"
"Computer, engineering, and science occupations:","1615","11926","14522","4368","1282"
"Computer and mathematical occupations","545","5168","6148","2323","751"
"Architecture and engineering occupations","339","2774","2588","859","74"
"Life, physical, and social science occupations","731","3984","5786","1186","457"
"Education, legal, community service, arts, and media occupations:","11562","76558","77244","40994","17622"
"Community and social service occupations","3041","7334","6302","5694","2403"
"Legal occupations","668","7032","14320","4070","1030"
"Education, training, and library occupations","6479","33062","21852","23100","12628"
"Arts, design, entertainment, sports, and media occupations","1374","29130","34770","8130","1561"
"Healthcare practitioners and technical occupations:","3472","16675","20954","15091","8291"
"Health diagnosing and treating practitioners and other technical occupations","2040","12835","19455","11050","5615"
"Health technologists and technicians","1432","3840","1499","4041","2676"
"Service occupations:","18532","42994","27486","46210","12422"
"Healthcare support occupations","5243","13603","3628","8680","3549"
"Protective service occupations:","1726","2380","666","1901","1029"
"Fire fighting and prevention, and other protective service workers including supervisors","1332","1563","374","947","309"
"Law enforcement workers including supervisors","394","817","292","954","720"
"Food preparation and serving related occupations","2878","8590","7738","9268","2508"
"Building and grounds cleaning and maintenance occupations","3566","6075","3222","12586","1840"
"Personal care and service occupations","5119","12346","12232","13775","3496"
"Sales and office occupations:","17147","60087","54569","54234","23870"
"Sales and related occupations","3930","21037","28849","16463","7605"
"Office and administrative support occupations","13217","39050","25720","37771","16265"
"Natural resources, construction, and maintenance occupations:","446","1045","851","920","390"
"Farming, fishing, and forestry occupations","139","147","0","193","0"
"Construction and extraction occupations","250","744","631","435","306"
"Installation, maintenance, and repair occupations","57","154","220","292","84"
"Production, transportation, and material moving occupations:","3302","6158","3231","7155","1298"
"Production occupations","1163","3896","2102","4299","553"
"Transportation occupations","1461","1098","470","1509","575"
"Material moving occupations","678","1164","659","1347","170"
