"Label","Bronx County, New York / Estimate","Kings County, New York / Estimate","New York County, New York / Estimate","Queens County, New York / Estimate","Richmond County, New York / Estimate"
"Total:","58581","435493","494808","297559","132675"
"Male:","29532","227991","250024","160737","70434"
"Management, business, science, and arts occupations:","11058","116456","176844","67910","24451"
"Management, business, and financial occupations:","4237","42882","82759","30261","11368"
"Management occupations","2692","31555","48584","19895","7531"
"Business and financial operations occupations","1545","11327","34175","10366","3837"
"Computer, engineering, and science occupations:","1908","18361","22461","8674","4582"
"Computer and mathematical occupations","780","11936","12330","4709","2419"
"Architecture and engineering occupations","814","4379","5832","2575","1760"
"Life, physical, and social science occupations","314","2046","4299","1390","403"
"Education, legal, community service, arts, and media occupations:","3271","50273","61629","23735","6118"
"Community and social service occupations","369","2682","1904","1312","772"
"Legal occupations","448","7074","16110","3941","1024"
"Education, training, and library occupations","1641","16000","13485","8797","2924"
"Arts, design, entertainment, sports, and media occupations","813","24517","30130","9685","1398"
"Healthcare practitioners and technical occupations:","1642","4940","9995","5240","2383"
"Health diagnosing and treating practitioners and other technical occupations","1394","4049","9039","3710","1791"
"Health technologists and technicians","248","891","956","1530","592"
"Service occupations:","5144","26764","13078","25796","11666"
"Healthcare support occupations","165","2354","531","984","543"
"Protective service occupations:","1257","5376","2237","8353","6857"
"Fire fighting and prevention, and other protective service workers including supervisors","793","3219","1478","4546","3828"
"Law enforcement workers including supervisors","464","2157","759","3807","3029"
"Food preparation and serving related occupations","1685","8989","5588","6909","1685"
"Building and grounds cleaning and maintenance occupations","1190","5338","1381","4939","1702"
"Personal care and service occupations","847","4707","3341","4611","879"
"Sales and office occupations:","4953","44811","50148","28021","13057"
"Sales and related occupations","3099","28356","38942","16002","7234"
"Office and administrative support occupations","1854","16455","11206","12019","5823"
"Natural resources, construction, and maintenance occupations:","4762","21505","4938","22636","12210"
"Farming, fishing, and forestry occupations","0","92","83","87","0"
"Construction and extraction occupations","3547","15470","3389","15869","7251"
"Installation, maintenance, and repair occupations","1215","5943","1466","6680","4959"
"Production, transportation, and material moving occupations:","3615","18455","5016","16374","9050"
"Production occupations","1010","6816","2609","5285","2045"
"Transportation occupations","2058","9102","1816","8281","4395"
"Material moving occupations","547","2537","591","2808","2610"
"Female:","29049","207502","244784","136822","62241"
"Management, business, science, and arts occupations:","14874","114853","178835","64482","29073"
"Management, business, and financial occupations:","4301","34792","72586","20128","7594"
"Management occupations","3146","22988","43115","12663","5106"
"Business and financial operations occupations","1155","11804","29471","7465","2488"
"Computer, engineering, and science occupations:","890","7760","13089","4103","2114"
"Computer and mathematical occupations","355","3877","6385","2050","1339"
"Architecture and engineering occupations","71","1199","1169","904","63"
"Life, physical, and social science occupations","464","2684","5535","1149","712"
"Education, legal, community service, arts, and media occupations:","6964","58927","75657","29496","13378"
"Community and social service occupations","971","6599","5047","3054","598"
"Legal occupations","602","6318","16063","3053","1581"
"Education, training, and library occupations","4321","27366","21313","18478","10495"
"Arts, design, entertainment, sports, and media occupations","1070","18644","33234","4911","704"
"Healthcare practitioners and technical occupations:","2719","13374","17503","10755","5987"
"Health diagnosing and treating practitioners and other technical occupations","2209","10898","15095","8751","4197"
"Health technologists and technicians","510","2476","2408","2004","1790"
"Service occupations:","5167","32390","13744","26116","8788"
"Healthcare support occupations","972","10485","1455","5544","2150"
"Protective service occupations:","258","1334","843","1279","664"
"Fire fighting and prevention, and other protective service workers including supervisors","155","860","705","684","393"
"Law enforcement workers including supervisors","103","474","138","595","271"
"Food preparation and serving related occupations","1224","7450","4450","7647","1513"
"Building and grounds cleaning and maintenance occupations","1125","4149","861","3684","707"
"Personal care and service occupations","1588","8972","6135","7962","3754"
"Sales and office occupations:","8166","55394","49432","42303","22978"
"Sales and related occupations","2242","18392","27734","10791","6291"
"Office and administrative support occupations","5924","37002","21698","31512","16687"
"Natural resources, construction, and maintenance occupations:","112","1102","408","1099","255"
"Farming, fishing, and forestry occupations","0","126","116","0","0"
"Construction and extraction occupations","112","686","169","663","143"
"Installation, maintenance, and repair occupations","0","290","123","436","112"
"Production, transportation, and material moving occupations:","730","3763","2365","2822","1147"
"Production occupations","389","2497","1409","1748","557"
"Transportation occupations","274","811","915","683","540"
"Material moving occupations","67","455","41","391","50"
