"Label","Bronx County, New York / Estimate","Kings County, New York / Estimate","New York County, New York / Estimate","Queens County, New York / Estimate"
"Total:","196823","91734","84898","135033"
"Male:","102933","53185","45997","76186"
"Management, business, science, and arts occupations:","11058","5558","7620","8949"
"Management, business, and financial occupations:","4628","2670","3537","4741"
"Management occupations","3144","1986","2614","2709"
"Business and financial operations occupations","1484","684","923","2032"
"Computer, engineering, and science occupations:","989","688","1347","1104"
"Computer and mathematical occupations","379","364","296","793"
"Architecture and engineering occupations","552","324","254","311"
"Life, physical, and social science occupations","58","0","797","0"
"Education, legal, community service, arts, and media occupations:","4448","1951","2460","2362"
"Community and social service occupations","1051","256","390","803"
"Legal occupations","235","92","227","144"
"Education, training, and library occupations","1548","991","633","318"
"Arts, design, entertainment, sports, and media occupations","1614","612","1210","1097"
"Healthcare practitioners and technical occupations:","993","249","276","742"
"Health diagnosing and treating practitioners and other technical occupations","130","219","137","244"
"Health technologists and technicians","863","30","139","498"
"Service occupations:","33002","17154","17365","25054"
"Healthcare support occupations","151","184","273","525"
"Protective service occupations:","5093","1478","1621","1736"
"Fire fighting and prevention, and other protective service workers including supervisors","3732","1399","1443","1102"
"Law enforcement workers including supervisors","1361","79","178","634"
"Food preparation and serving related occupations","13462","7920","8121","12082"
"Building and grounds cleaning and maintenance occupations","11093","5194","5345","8446"
"Personal care and service occupations","3203","2378","2005","2265"
"Sales and office occupations:","23455","7990","7708","14980"
"Sales and related occupations","11825","4155","3273","7911"
"Office and administrative support occupations","11630","3835","4435","7069"
"Natural resources, construction, and maintenance occupations:","17104","11051","4319","16085"
"Farming, fishing, and forestry occupations","1937","223","0","153"
"Construction and extraction occupations","10033","8420","2963","12079"
"Installation, maintenance, and repair occupations","5134","2408","1356","3853"
"Production, transportation, and material moving occupations:","18314","11432","8985","11118"
"Production occupations","4948","4179","2125","3249"
"Transportation occupations","9168","4314","6027","6089"
"Material moving occupations","4198","2939","833","1780"
"Female:","93890","38549","38901","58847"
"Management, business, science, and arts occupations:","17685","7530","9815","12526"
"Management, business, and financial occupations:","6339","1588","2896","4592"
"Management occupations","3678","818","1168","2960"
"Business and financial operations occupations","2661","770","1728","1632"
"Computer, engineering, and science occupations:","357","326","260","366"
"Computer and mathematical occupations","178","247","223","210"
"Architecture and engineering occupations","102","79","0","156"
"Life, physical, and social science occupations","77","0","37","0"
"Education, legal, community service, arts, and media occupations:","8572","4724","5174","4762"
"Community and social service occupations","1812","1416","405","825"
"Legal occupations","718","458","1293","468"
"Education, training, and library occupations","5545","2360","2837","2961"
"Arts, design, entertainment, sports, and media occupations","497","490","639","508"
"Healthcare practitioners and technical occupations:","2417","892","1485","2806"
"Health diagnosing and treating practitioners and other technical occupations","829","464","1118","1180"
"Health technologists and technicians","1588","428","367","1626"
"Service occupations:","42888","16132","14370","22671"
"Healthcare support occupations","12835","4463","4833","4587"
"Protective service occupations:","2462","916","383","748"
"Fire fighting and prevention, and other protective service workers including supervisors","2185","916","346","510"
"Law enforcement workers including supervisors","277","0","37","238"
"Food preparation and serving related occupations","4002","2613","3045","4368"
"Building and grounds cleaning and maintenance occupations","7360","5022","1271","6961"
"Personal care and service occupations","16229","3118","4838","6007"
"Sales and office occupations:","26695","10962","11763","18684"
"Sales and related occupations","11494","5094","4581","8615"
"Office and administrative support occupations","15201","5868","7182","10069"
"Natural resources, construction, and maintenance occupations:","900","34","425","839"
"Farming, fishing, and forestry occupations","61","34","0","0"
"Construction and extraction occupations","771","0","364","839"
"Installation, maintenance, and repair occupations","68","0","61","0"
"Production, transportation, and material moving occupations:","5722","3891","2528","4127"
"Production occupations","3017","2119","1927","2169"
"Transportation occupations","1362","674","0","420"
"Material moving occupations","1343","1098","601","1538"
