"Label","Bronx County, New York / Estimate","Kings County, New York / Estimate","New York County, New York / Estimate","Queens County, New York / Estimate"
"Total:","211286","105428","86780","176437"
"Male:","103011","59466","43441","100331"
"Management, business, science, and arts occupations:","13563","8197","6767","13933"
"Management, business, and financial occupations:","6468","3229","3001","7676"
"Management occupations","5023","2118","2630","6050"
"Business and financial operations occupations","1445","1111","371","1626"
"Computer, engineering, and science occupations:","1973","950","1169","2346"
"Computer and mathematical occupations","1023","768","1001","1994"
"Architecture and engineering occupations","864","182","168","293"
"Life, physical, and social science occupations","86","0","0","59"
"Education, legal, community service, arts, and media occupations:","4027","3760","2141","2909"
"Community and social service occupations","435","770","522","642"
"Legal occupations","208","340","182","56"
"Education, training, and library occupations","2438","1073","229","1062"
"Arts, design, entertainment, sports, and media occupations","946","1577","1208","1149"
"Healthcare practitioners and technical occupations:","1095","258","456","1002"
"Health diagnosing and treating practitioners and other technical occupations","547","258","377","533"
"Health technologists and technicians","548","0","79","469"
"Service occupations:","34179","13909","13328","27832"
"Healthcare support occupations","756","539","938","703"
"Protective service occupations:","4723","2490","1437","3317"
"Fire fighting and prevention, and other protective service workers including supervisors","3775","1804","1069","2529"
"Law enforcement workers including supervisors","948","686","368","788"
"Food preparation and serving related occupations","11869","6746","7708","13212"
"Building and grounds cleaning and maintenance occupations","13176","2824","2212","7464"
"Personal care and service occupations","3655","1310","1033","3136"
"Sales and office occupations:","19484","11668","7810","14153"
"Sales and related occupations","8345","4414","4088","8041"
"Office and administrative support occupations","11139","7254","3722","6112"
"Natural resources, construction, and maintenance occupations:","15201","14461","6524","26121"
"Farming, fishing, and forestry occupations","0","146","0","99"
"Construction and extraction occupations","11915","13108","4023","21070"
"Installation, maintenance, and repair occupations","3286","1207","2501","4952"
"Production, transportation, and material moving occupations:","20584","11231","9012","18292"
"Production occupations","4165","2961","2535","5820"
"Transportation occupations","12280","5779","4865","9318"
"Material moving occupations","4139","2491","1612","3154"
"Female:","108275","45962","43339","76106"
"Management, business, science, and arts occupations:","17234","11480","10636","15204"
"Management, business, and financial occupations:","5906","4209","4425","4850"
"Management occupations","3528","2622","3298","2750"
"Business and financial operations occupations","2378","1587","1127","2100"
"Computer, engineering, and science occupations:","440","660","943","446"
"Computer and mathematical occupations","96","227","288","122"
"Architecture and engineering occupations","179","290","180","253"
"Life, physical, and social science occupations","165","143","475","71"
"Education, legal, community service, arts, and media occupations:","8410","5652","4383","5575"
"Community and social service occupations","1464","918","1462","1418"
"Legal occupations","354","345","445","184"
"Education, training, and library occupations","5873","3210","1774","3264"
"Arts, design, entertainment, sports, and media occupations","719","1179","702","709"
"Healthcare practitioners and technical occupations:","2478","959","885","4333"
"Health diagnosing and treating practitioners and other technical occupations","768","384","885","2049"
"Health technologists and technicians","1710","575","0","2284"
"Service occupations:","53361","17866","18702","32889"
"Healthcare support occupations","20060","5881","6002","7013"
"Protective service occupations:","2121","737","593","610"
"Fire fighting and prevention, and other protective service workers including supervisors","2043","678","174","345"
"Law enforcement workers including supervisors","78","59","419","265"
"Food preparation and serving related occupations","7552","2182","3606","4778"
"Building and grounds cleaning and maintenance occupations","10243","6302","4766","12393"
"Personal care and service occupations","13385","2764","3735","8095"
"Sales and office occupations:","30856","13548","10927","20923"
"Sales and related occupations","13340","6583","3660","8784"
"Office and administrative support occupations","17516","6965","7267","12139"
"Natural resources, construction, and maintenance occupations:","676","447","265","2134"
"Farming, fishing, and forestry occupations","518","0","0","127"
"Construction and extraction occupations","0","391","0","1850"
"Installation, maintenance, and repair occupations","158","56","265","157"
"Production, transportation, and material moving occupations:","6148","2621","2809","4956"
"Production occupations","2524","1669","2505","2718"
"Transportation occupations","2757","419","0","1284"
"Material moving occupations","867","533","304","954"
