"Label","Kings County, New York / Estimate","New York County, New York / Estimate","Queens County, New York / Estimate"
"Total:","35562","38535","34211"
"Male:","16754","21187","18385"
"Management, business, science, and arts occupations:","7170","9033","6553"
"Management, business, and financial occupations:","2143","3623","2987"
"Management occupations","1607","1690","1738"
"Business and financial operations occupations","536","1933","1249"
"Computer, engineering, and science occupations:","1269","1907","1725"
"Computer and mathematical occupations","843","1165","1324"
"Architecture and engineering occupations","361","349","334"
"Life, physical, and social science occupations","65","393","67"
"Education, legal, community service, arts, and media occupations:","3125","3183","1199"
"Community and social service occupations","154","745","241"
"Legal occupations","339","763","101"
"Education, training, and library occupations","1186","759","355"
"Arts, design, entertainment, sports, and media occupations","1446","916","502"
"Healthcare practitioners and technical occupations:","633","320","642"
"Health diagnosing and treating practitioners and other technical occupations","458","320","280"
"Health technologists and technicians","175","0","362"
"Service occupations:","3432","4704","4097"
"Healthcare support occupations","787","350","217"
"Protective service occupations:","1334","669","629"
"Fire fighting and prevention, and other protective service workers including supervisors","993","398","452"
"Law enforcement workers including supervisors","341","271","177"
"Food preparation and serving related occupations","597","2688","1382"
"Building and grounds cleaning and maintenance occupations","448","762","1363"
"Personal care and service occupations","266","235","506"
"Sales and office occupations:","3236","3980","2625"
"Sales and related occupations","1483","1330","1344"
"Office and administrative support occupations","1753","2650","1281"
"Natural resources, construction, and maintenance occupations:","1657","2167","2620"
"Farming, fishing, and forestry occupations","108","0","61"
"Construction and extraction occupations","447","1443","1233"
"Installation, maintenance, and repair occupations","1102","724","1326"
"Production, transportation, and material moving occupations:","1259","1303","2490"
"Production occupations","156","611","329"
"Transportation occupations","880","692","1792"
"Material moving occupations","223","0","369"
"Female:","18808","17348","15826"
"Management, business, science, and arts occupations:","9413","7034","6203"
"Management, business, and financial occupations:","3434","2842","1923"
"Management occupations","2205","1553","932"
"Business and financial operations occupations","1229","1289","991"
"Computer, engineering, and science occupations:","341","537","184"
"Computer and mathematical occupations","188","0","0"
"Architecture and engineering occupations","64","488","184"
"Life, physical, and social science occupations","89","49","0"
"Education, legal, community service, arts, and media occupations:","4616","3265","2515"
"Community and social service occupations","442","452","555"
"Legal occupations","227","453","299"
"Education, training, and library occupations","1723","1331","1302"
"Arts, design, entertainment, sports, and media occupations","2224","1029","359"
"Healthcare practitioners and technical occupations:","1022","390","1581"
"Health diagnosing and treating practitioners and other technical occupations","891","313","727"
"Health technologists and technicians","131","77","854"
"Service occupations:","4434","4719","3843"
"Healthcare support occupations","2046","2172","799"
"Protective service occupations:","220","179","246"
"Fire fighting and prevention, and other protective service workers including supervisors","220","179","246"
"Law enforcement workers including supervisors","0","0","0"
"Food preparation and serving related occupations","787","345","788"
"Building and grounds cleaning and maintenance occupations","544","958","1028"
"Personal care and service occupations","837","1065","982"
"Sales and office occupations:","4628","5180","5260"
"Sales and related occupations","1560","2480","1318"
"Office and administrative support occupations","3068","2700","3942"
"Natural resources, construction, and maintenance occupations:","57","0","0"
"Farming, fishing, and forestry occupations","0","0","0"
"Construction and extraction occupations","57","0","0"
"Installation, maintenance, and repair occupations","0","0","0"
"Production, transportation, and material moving occupations:","276","415","520"
"Production occupations","105","278","114"
"Transportation occupations","90","137","105"
"Material moving occupations","81","0","301"
