"Label","Bronx County, New York / Estimate","Kings County, New York / Estimate","New York County, New York / Estimate","Queens County, New York / Estimate"
"Total:","179576","84438","75334","136409"
"Male:","96201","48456","42397","77334"
"Management, business, science, and arts occupations:","10280","7535","7667","9230"
"Management, business, and financial occupations:","4551","3150","3707","4517"
"Management occupations","3447","2827","2725","3381"
"Business and financial operations occupations","1104","323","982","1136"
"Computer, engineering, and science occupations:","1576","537","769","1171"
"Computer and mathematical occupations","1162","226","179","521"
"Architecture and engineering occupations","316","163","513","508"
"Life, physical, and social science occupations","98","148","77","142"
"Education, legal, community service, arts, and media occupations:","3697","3336","2540","2392"
"Community and social service occupations","734","442","507","532"
"Legal occupations","0","384","235","0"
"Education, training, and library occupations","1882","783","481","1023"
"Arts, design, entertainment, sports, and media occupations","1081","1727","1317","837"
"Healthcare practitioners and technical occupations:","456","512","651","1150"
"Health diagnosing and treating practitioners and other technical occupations","116","52","341","576"
"Health technologists and technicians","340","460","310","574"
"Service occupations:","30676","13411","14859","22317"
"Healthcare support occupations","796","63","99","127"
"Protective service occupations:","3648","1961","1015","2980"
"Fire fighting and prevention, and other protective service workers including supervisors","2330","1552","611","1529"
"Law enforcement workers including supervisors","1318","409","404","1451"
"Food preparation and serving related occupations","10435","6471","6600","10478"
"Building and grounds cleaning and maintenance occupations","12179","4177","5280","6888"
"Personal care and service occupations","3618","739","1865","1844"
"Sales and office occupations:","16251","8285","7362","12897"
"Sales and related occupations","8491","3835","3891","5937"
"Office and administrative support occupations","7760","4450","3471","6960"
"Natural resources, construction, and maintenance occupations:","16685","9948","3614","18413"
"Farming, fishing, and forestry occupations","231","0","0","0"
"Construction and extraction occupations","12245","7339","3084","13964"
"Installation, maintenance, and repair occupations","4209","2609","530","4449"
"Production, transportation, and material moving occupations:","22309","9277","8895","14477"
"Production occupations","6995","1488","1930","5801"
"Transportation occupations","12034","4090","4193","5966"
"Material moving occupations","3280","3699","2772","2710"
"Female:","83375","35982","32937","59075"
"Management, business, science, and arts occupations:","14763","7405","6518","14253"
"Management, business, and financial occupations:","4326","2547","2643","4270"
"Management occupations","2670","1557","2038","1701"
"Business and financial operations occupations","1656","990","605","2569"
"Computer, engineering, and science occupations:","520","518","275","307"
"Computer and mathematical occupations","78","279","159","96"
"Architecture and engineering occupations","256","176","0","102"
"Life, physical, and social science occupations","186","63","116","109"
"Education, legal, community service, arts, and media occupations:","7528","3555","3176","6564"
"Community and social service occupations","1844","549","421","1743"
"Legal occupations","492","181","251","953"
"Education, training, and library occupations","4529","2136","1478","3068"
"Arts, design, entertainment, sports, and media occupations","663","689","1026","800"
"Healthcare practitioners and technical occupations:","2389","785","424","3112"
"Health diagnosing and treating practitioners and other technical occupations","1464","297","334","1822"
"Health technologists and technicians","925","488","90","1290"
"Service occupations:","36729","14303","13922","22889"
"Healthcare support occupations","13737","5266","4862","4568"
"Protective service occupations:","1343","443","58","920"
"Fire fighting and prevention, and other protective service workers including supervisors","976","155","58","551"
"Law enforcement workers including supervisors","367","288","0","369"
"Food preparation and serving related occupations","4715","1844","2380","3622"
"Building and grounds cleaning and maintenance occupations","6197","3485","2958","8359"
"Personal care and service occupations","10737","3265","3664","5420"
"Sales and office occupations:","26171","10752","9652","15755"
"Sales and related occupations","10732","2777","4366","6313"
"Office and administrative support occupations","15439","7975","5286","9442"
"Natural resources, construction, and maintenance occupations:","620","62","155","182"
"Farming, fishing, and forestry occupations","0","0","0","0"
"Construction and extraction occupations","337","0","0","182"
"Installation, maintenance, and repair occupations","283","62","155","0"
"Production, transportation, and material moving occupations:","5092","3460","2690","5996"
"Production occupations","2049","2136","2035","3346"
"Transportation occupations","1585","269","122","1067"
"Material moving occupations","1458","1055","533","1583"
