"Label","Bronx County, New York / Estimate","Kings County, New York / Estimate","New York County, New York / Estimate","Queens County, New York / Estimate","Richmond County, New York / Estimate"
"Total:","114264","539429","558430","467477","160068"
"Male:","62759","286340","283422","255563","83540"
"Management, business, science, and arts occupations:","18962","139861","197464","83710","27367"
"Management, business, and financial occupations:","8578","57694","100222","36739","12261"
"Management occupations","6081","40312","64085","26926","7453"
"Business and financial operations occupations","2497","17382","36137","9813","4808"
"Computer, engineering, and science occupations:","2390","21921","23485","14461","4630"
"Computer and mathematical occupations","1183","14850","14097","9198","2130"
"Architecture and engineering occupations","799","5198","4819","4117","2015"
"Life, physical, and social science occupations","408","1873","4569","1146","485"
"Education, legal, community service, arts, and media occupations:","6079","52099","62922","27607","6405"
"Community and social service occupations","801","3956","1969","2444","664"
"Legal occupations","970","6004","18737","4852","398"
"Education, training, and library occupations","2414","15047","15742","11098","2658"
"Arts, design, entertainment, sports, and media occupations","1894","27092","26474","9213","2685"
"Healthcare practitioners and technical occupations:","1915","8147","10835","4903","4071"
"Health diagnosing and treating practitioners and other technical occupations","1186","6270","10200","3337","2942"
"Health technologists and technicians","729","1877","635","1566","1129"
"Service occupations:","14679","36897","18743","49671","14833"
"Healthcare support occupations","432","1556","670","1132","418"
"Protective service occupations:","3539","7235","3016","9994","6895"
"Fire fighting and prevention, and other protective service workers including supervisors","2068","4416","2075","4994","3318"
"Law enforcement workers including supervisors","1471","2819","941","5000","3577"
"Food preparation and serving related occupations","5915","15025","6781","19345","3017"
"Building and grounds cleaning and maintenance occupations","3606","7462","3420","12342","3423"
"Personal care and service occupations","1187","5619","4856","6858","1080"
"Sales and office occupations:","10931","54709","52423","42026","15378"
"Sales and related occupations","6306","33611","38549","21499","8679"
"Office and administrative support occupations","4625","21098","13874","20527","6699"
"Natural resources, construction, and maintenance occupations:","8257","28668","7678","40835","15164"
"Farming, fishing, and forestry occupations","0","933","67","154","63"
"Construction and extraction occupations","5904","20971","4258","30718","11028"
"Installation, maintenance, and repair occupations","2353","6764","3353","9963","4073"
"Production, transportation, and material moving occupations:","9930","26205","7114","39321","10798"
"Production occupations","1957","7664","1193","9775","2357"
"Transportation occupations","6681","12338","3564","22595","5983"
"Material moving occupations","1292","6203","2357","6951","2458"
"Female:","51505","253089","275008","211914","76528"
"Management, business, science, and arts occupations:","20736","140453","190829","85224","39287"
"Management, business, and financial occupations:","7160","43249","79844","29303","8950"
"Management occupations","4983","28389","46306","19041","5473"
"Business and financial operations occupations","2177","14860","33538","10262","3477"
"Computer, engineering, and science occupations:","1312","10056","14426","5160","1025"
"Computer and mathematical occupations","911","4623","5606","2697","528"
"Architecture and engineering occupations","155","2820","1867","607","183"
"Life, physical, and social science occupations","246","2613","6953","1856","314"
"Education, legal, community service, arts, and media occupations:","9686","71878","77358","38918","19572"
"Community and social service occupations","1354","6428","5172","3859","2411"
"Legal occupations","1048","6203","14531","3791","1069"
"Education, training, and library occupations","6262","35631","27334","24301","14410"
"Arts, design, entertainment, sports, and media occupations","1022","23616","30321","6967","1682"
"Healthcare practitioners and technical occupations:","2578","15270","19201","11843","9740"
"Health diagnosing and treating practitioners and other technical occupations","1469","12263","17627","8746","7560"
"Health technologists and technicians","1109","3007","1574","3097","2180"
"Service occupations:","11859","43667","22240","49273","12621"
"Healthcare support occupations","2722","13854","2965","7954","3668"
"Protective service occupations:","608","1405","1066","999","1061"
"Fire fighting and prevention, and other protective service workers including supervisors","375","815","397","669","569"
"Law enforcement workers including supervisors","233","590","669","330","492"
"Food preparation and serving related occupations","2133","7859","5471","11384","2549"
"Building and grounds cleaning and maintenance occupations","2985","7411","2913","15875","2099"
"Personal care and service occupations","3411","13138","9825","13061","3244"
"Sales and office occupations:","16313","62472","58663","66135","22666"
"Sales and related occupations","4516","20136","28680","22534","7588"
"Office and administrative support occupations","11797","42336","29983","43601","15078"
"Natural resources, construction, and maintenance occupations:","510","1206","583","1172","198"
"Farming, fishing, and forestry occupations","133","137","0","0","0"
"Construction and extraction occupations","325","687","270","592","178"
"Installation, maintenance, and repair occupations","52","382","313","580","20"
"Production, transportation, and material moving occupations:","2087","5291","2693","10110","1756"
"Production occupations","1433","3984","1685","6551","897"
"Transportation occupations","461","610","537","2864","558"
"Material moving occupations","193","697","471","695","301"
