"Label","Bronx County, New York / Estimate","Kings County, New York / Estimate","New York County, New York / Estimate","Queens County, New York / Estimate"
"Total:","206779","95977","84433","123448"
"Male:","106237","56209","44720","71617"
"Management, business, science, and arts occupations:","14650","5992","7466","8393"
"Management, business, and financial occupations:","6224","2468","2693","5024"
"Management occupations","4291","2112","2393","3849"
"Business and financial operations occupations","1933","356","300","1175"
"Computer, engineering, and science occupations:","1572","434","335","1462"
"Computer and mathematical occupations","922","296","335","1209"
"Architecture and engineering occupations","397","138","0","217"
"Life, physical, and social science occupations","253","0","0","36"
"Education, legal, community service, arts, and media occupations:","5316","2419","3923","1296"
"Community and social service occupations","1613","571","804","291"
"Legal occupations","161","230","377","30"
"Education, training, and library occupations","1874","846","1155","666"
"Arts, design, entertainment, sports, and media occupations","1668","772","1587","309"
"Healthcare practitioners and technical occupations:","1538","671","515","611"
"Health diagnosing and treating practitioners and other technical occupations","787","502","133","209"
"Health technologists and technicians","751","169","382","402"
"Service occupations:","34256","19383","14823","19804"
"Healthcare support occupations","1379","498","300","737"
"Protective service occupations:","3056","1714","1785","1138"
"Fire fighting and prevention, and other protective service workers including supervisors","2261","1217","1616","780"
"Law enforcement workers including supervisors","795","497","169","358"
"Food preparation and serving related occupations","14029","9990","7137","9367"
"Building and grounds cleaning and maintenance occupations","12276","5932","4543","6784"
"Personal care and service occupations","3516","1249","1058","1778"
"Sales and office occupations:","18898","6975","9309","12998"
"Sales and related occupations","8682","2420","5651","6593"
"Office and administrative support occupations","10216","4555","3658","6405"
"Natural resources, construction, and maintenance occupations:","16618","12735","5020","17986"
"Farming, fishing, and forestry occupations","0","0","0","0"
"Construction and extraction occupations","10974","10110","3689","12386"
"Installation, maintenance, and repair occupations","5644","2625","1331","5600"
"Production, transportation, and material moving occupations:","21815","11124","8102","12436"
"Production occupations","4884","3781","1883","3590"
"Transportation occupations","9888","4938","5597","6073"
"Material moving occupations","7043","2405","622","2773"
"Female:","100542","39768","39713","51831"
"Management, business, science, and arts occupations:","17461","8725","10106","11703"
"Management, business, and financial occupations:","4720","3513","2250","5081"
"Management occupations","2802","1919","1343","2719"
"Business and financial operations occupations","1918","1594","907","2362"
"Computer, engineering, and science occupations:","560","278","651","464"
"Computer and mathematical occupations","269","190","430","196"
"Architecture and engineering occupations","138","44","177","69"
"Life, physical, and social science occupations","153","44","44","199"
"Education, legal, community service, arts, and media occupations:","10310","3490","6599","4231"
"Community and social service occupations","2297","875","867","514"
"Legal occupations","456","212","100","421"
"Education, training, and library occupations","7119","1864","4202","2712"
"Arts, design, entertainment, sports, and media occupations","438","539","1430","584"
"Healthcare practitioners and technical occupations:","1871","1444","606","1927"
"Health diagnosing and treating practitioners and other technical occupations","389","815","228","1374"
"Health technologists and technicians","1482","629","378","553"
"Service occupations:","45847","17886","14957","19671"
"Healthcare support occupations","14716","3908","4016","5609"
"Protective service occupations:","1462","631","434","735"
"Fire fighting and prevention, and other protective service workers including supervisors","1177","424","306","130"
"Law enforcement workers including supervisors","285","207","128","605"
"Food preparation and serving related occupations","7295","2327","3387","2531"
"Building and grounds cleaning and maintenance occupations","9255","6182","2712","6553"
"Personal care and service occupations","13119","4838","4408","4243"
"Sales and office occupations:","30090","9774","12321","15874"
"Sales and related occupations","12314","3867","5191","7435"
"Office and administrative support occupations","17776","5907","7130","8439"
"Natural resources, construction, and maintenance occupations:","941","33","388","216"
"Farming, fishing, and forestry occupations","0","0","0","0"
"Construction and extraction occupations","488","0","237","155"
"Installation, maintenance, and repair occupations","453","33","151","61"
"Production, transportation, and material moving occupations:","6203","3350","1941","4367"
"Production occupations","3337","2068","948","3232"
"Transportation occupations","1621","478","416","637"
"Material moving occupations","1245","804","577","498"
