"Label","Bronx County, New York / Estimate","Kings County, New York / Estimate","New York County, New York / Estimate","Queens County, New York / Estimate","Richmond County, New York / Estimate"
"Total:","340237","219375","197602","324310","39694"
"Male:","170628","117823","100968","179357","22253"
"Management, business, science, and arts occupations:","21630","28621","35269","32494","5370"
"Management, business, and financial occupations:","8943","11064","17583","15792","2270"
"Management occupations","7218","7603","12279","11783","1566"
"Business and financial operations occupations","1725","3461","5304","4009","704"
"Computer, engineering, and science occupations:","3271","4301","5240","5353","1155"
"Computer and mathematical occupations","1506","2478","2378","2927","589"
"Architecture and engineering occupations","1561","1553","1287","1823","270"
"Life, physical, and social science occupations","204","270","1575","603","296"
"Education, legal, community service, arts, and media occupations:","7826","11462","10756","9101","1563"
"Community and social service occupations","2857","1017","1039","1189","111"
"Legal occupations","170","1330","2082","382","0"
"Educational instruction, and library occupations","3167","3882","3797","3432","1088"
"Arts, design, entertainment, sports, and media occupations","1632","5233","3838","4098","364"
"Healthcare practitioners and technical occupations:","1590","1794","1690","2248","382"
"Health diagnosing and treating practitioners and other technical occupations","494","970","1528","1067","0"
"Health technologists and technicians","1096","824","162","1181","382"
"Service occupations:","59569","29039","30077","45998","6124"
"Healthcare support occupations","2758","1055","929","2571","106"
"Protective service occupations:","8944","3376","2990","3920","2052"
"Firefighting and prevention, and other protective service workers including supervisors","6534","2451","2197","2731","688"
"Law enforcement workers including supervisors","2410","925","793","1189","1364"
"Food preparation and serving related occupations","22410","12909","13914","24122","1579"
"Building and grounds cleaning and maintenance occupations","20692","7579","8727","11133","1979"
"Personal care and service occupations","4765","4120","3517","4252","408"
"Sales and office occupations:","22752","15598","10956","23196","2756"
"Sales and related occupations","13261","9694","6240","12261","835"
"Office and administrative support occupations","9491","5904","4716","10935","1921"
"Natural resources, construction, and maintenance occupations:","25862","24550","9396","42627","4638"
"Farming, fishing, and forestry occupations","529","34","0","169","0"
"Construction and extraction occupations","18669","20113","6184","35143","3447"
"Installation, maintenance, and repair occupations","6664","4403","3212","7315","1191"
"Production, transportation, and material moving occupations:","40815","20015","15270","35042","3365"
"Production occupations","9324","4859","2043","8284","481"
"Transportation occupations","19678","8266","11032","18512","1838"
"Material moving occupations","11813","6890","2195","8246","1046"
"Female:","169609","101552","96634","144953","17441"
"Management, business, science, and arts occupations:","43194","30756","36535","38567","6909"
"Management, business, and financial occupations:","15816","8778","13037","13905","2367"
"Management occupations","11146","5288","7923","8736","1145"
"Business and financial operations occupations","4670","3490","5114","5169","1222"
"Computer, engineering, and science occupations:","1159","2064","1969","1336","460"
"Computer and mathematical occupations","656","1315","357","710","121"
"Architecture and engineering occupations","386","334","427","539","239"
"Life, physical, and social science occupations","117","415","1185","87","100"
"Education, legal, community service, arts, and media occupations:","20028","15734","17099","19062","3034"
"Community and social service occupations","7098","3926","3300","3381","812"
"Legal occupations","1237","1563","1801","1294","340"
"Educational instruction, and library occupations","10323","6758","8670","12424","1547"
"Arts, design, entertainment, sports, and media occupations","1370","3487","3328","1963","335"
"Healthcare practitioners and technical occupations:","6191","4180","4430","4264","1048"
"Health diagnosing and treating practitioners and other technical occupations","2910","2090","1596","2939","760"
"Health technologists and technicians","3281","2090","2834","1325","288"
"Service occupations:","72364","36964","31413","56012","5751"
"Healthcare support occupations","35192","14467","13272","13934","1793"
"Protective service occupations:","4241","1200","1549","1727","373"
"Firefighting and prevention, and other protective service workers including supervisors","3046","662","1079","1230","0"
"Law enforcement workers including supervisors","1195","538","470","497","373"
"Food preparation and serving related occupations","11087","4576","5633","12078","570"
"Building and grounds cleaning and maintenance occupations","9111","9764","4565","18103","1673"
"Personal care and service occupations","12733","6957","6394","10170","1342"
"Sales and office occupations:","42680","27152","23525","38517","4150"
"Sales and related occupations","15420","10083","10148","15238","2512"
"Office and administrative support occupations","27260","17069","13377","23279","1638"
"Natural resources, construction, and maintenance occupations:","1027","1038","1207","2052","268"
"Farming, fishing, and forestry occupations","518","79","295","272","268"
"Construction and extraction occupations","176","782","645","1361","0"
"Installation, maintenance, and repair occupations","333","177","267","419","0"
"Production, transportation, and material moving occupations:","10344","5642","3954","9805","363"
"Production occupations","4814","2292","1430","5527","181"
"Transportation occupations","2840","1496","754","2075","182"
"Material moving occupations","2690","1854","1770","2203","0"
