"Label","Bronx County, New York / Estimate","Kings County, New York / Estimate","New York County, New York / Estimate","Queens County, New York / Estimate","Richmond County, New York / Estimate"
"Total:","287048","209587","168541","306610","36225"
"Male:","145770","118454","88372","176836","20066"
"Management, business, science, and arts occupations:","19802","19324","24344","25938","2850"
"Management, business, and financial occupations:","9669","7769","10384","12669","1304"
"Management occupations","7327","5461","8679","9694","729"
"Business and financial operations occupations","2342","2308","1705","2975","575"
"Computer, engineering, and science occupations:","2736","2475","3366","3504","534"
"Computer and mathematical occupations","1735","1872","1666","2020","329"
"Architecture and engineering occupations","649","444","743","1178","205"
"Life, physical, and social science occupations","352","159","957","306","0"
"Education, legal, community service, arts, and media occupations:","6552","7650","9191","7747","594"
"Community and social service occupations","1318","1496","1020","503","98"
"Legal occupations","532","839","1640","965","64"
"Education, training, and library occupations","2189","2774","4096","2704","227"
"Arts, design, entertainment, sports, and media occupations","2513","2541","2435","3575","205"
"Healthcare practitioners and technical occupations:","845","1430","1403","2018","418"
"Health diagnosing and treating practitioners and other technical occupations","487","479","1294","735","243"
"Health technologists and technicians","358","951","109","1283","175"
"Service occupations:","47746","34746","25534","51590","5987"
"Healthcare support occupations","1529","1258","509","799","181"
"Protective service occupations:","6032","5153","3035","5880","1552"
"Fire fighting and prevention, and other protective service workers including supervisors","4635","3190","2629","3802","810"
"Law enforcement workers including supervisors","1397","1963","406","2078","742"
"Food preparation and serving related occupations","20270","14693","11580","25267","1930"
"Building and grounds cleaning and maintenance occupations","16742","10399","5923","14173","1887"
"Personal care and service occupations","3173","3243","4487","5471","437"
"Sales and office occupations:","26004","20339","16660","27365","2808"
"Sales and related occupations","11646","10634","8661","13089","1493"
"Office and administrative support occupations","14358","9705","7999","14276","1315"
"Natural resources, construction, and maintenance occupations:","19762","21686","8060","35532","4738"
"Farming, fishing, and forestry occupations","577","0","0","597","0"
"Construction and extraction occupations","13285","16740","5328","28866","3911"
"Installation, maintenance, and repair occupations","5900","4946","2732","6069","827"
"Production, transportation, and material moving occupations:","32456","22359","13774","36411","3683"
"Production occupations","8017","7541","4075","10692","904"
"Transportation occupations","16947","10682","7229","18960","1901"
"Material moving occupations","7492","4136","2470","6759","878"
"Female:","141278","91133","80169","129774","16159"
"Management, business, science, and arts occupations:","29622","23054","25476","29236","5927"
"Management, business, and financial occupations:","9217","6858","7408","10128","1193"
"Management occupations","5871","4362","4628","6099","811"
"Business and financial operations occupations","3346","2496","2780","4029","382"
"Computer, engineering, and science occupations:","928","1006","1209","1326","326"
"Computer and mathematical occupations","470","273","861","627","211"
"Architecture and engineering occupations","26","316","0","500","115"
"Life, physical, and social science occupations","432","417","348","199","0"
"Education, legal, community service, arts, and media occupations:","16511","12417","12727","11794","3822"
"Community and social service occupations","3907","2859","1174","2837","1054"
"Legal occupations","362","1077","2206","826","290"
"Education, training, and library occupations","10436","6255","6586","6960","2394"
"Arts, design, entertainment, sports, and media occupations","1806","2226","2761","1171","84"
"Healthcare practitioners and technical occupations:","2966","2773","4132","5988","586"
"Health diagnosing and treating practitioners and other technical occupations","1589","2125","2803","3894","164"
"Health technologists and technicians","1377","648","1329","2094","422"
"Service occupations:","58158","35208","28133","48916","5361"
"Healthcare support occupations","16867","10989","10812","8977","1557"
"Protective service occupations:","3784","2100","1272","1343","511"
"Fire fighting and prevention, and other protective service workers including supervisors","2307","1430","738","581","70"
"Law enforcement workers including supervisors","1477","670","534","762","441"
"Food preparation and serving related occupations","8179","4106","4630","8058","845"
"Building and grounds cleaning and maintenance occupations","10417","10138","3845","18994","849"
"Personal care and service occupations","18911","7875","7574","11544","1599"
"Sales and office occupations:","43702","26012","21154","41073","4503"
"Sales and related occupations","18275","10117","8954","14064","2036"
"Office and administrative support occupations","25427","15895","12200","27009","2467"
"Natural resources, construction, and maintenance occupations:","737","369","176","795","151"
"Farming, fishing, and forestry occupations","68","0","132","0","0"
"Construction and extraction occupations","57","237","44","455","110"
"Installation, maintenance, and repair occupations","612","132","0","340","41"
"Production, transportation, and material moving occupations:","9059","6490","5230","9754","217"
"Production occupations","5041","3797","3506","5825","156"
"Transportation occupations","1899","880","854","1455","33"
"Material moving occupations","2119","1813","870","2474","28"
