"Label","Bronx County, New York / Estimate","Kings County, New York / Estimate","New York County, New York / Estimate","Queens County, New York / Estimate","Richmond County, New York / Estimate"
"Total:","272862","198296","165478","298260","31890"
"Male:","140811","109180","86537","172995","17006"
"Management, business, science, and arts occupations:","16722","16553","21667","23523","3476"
"Management, business, and financial occupations:","7407","7107","10337","10973","2027"
"Management occupations","5541","5681","6763","7414","1715"
"Business and financial operations occupations","1866","1426","3574","3559","312"
"Computer, engineering, and science occupations:","2161","1676","2603","3950","734"
"Computer and mathematical occupations","1545","748","1137","2376","522"
"Architecture and engineering occupations","420","590","991","1454","212"
"Life, physical, and social science occupations","196","338","475","120","0"
"Education, legal, community service, arts, and media occupations:","5914","6612","6689","6192","468"
"Community and social service occupations","1619","1307","1249","1006","0"
"Legal occupations","249","532","567","383","75"
"Education, training, and library occupations","2548","1678","2170","2559","68"
"Arts, design, entertainment, sports, and media occupations","1498","3095","2703","2244","325"
"Healthcare practitioners and technical occupations:","1240","1158","2038","2408","247"
"Health diagnosing and treating practitioners and other technical occupations","464","330","1576","1026","166"
"Health technologists and technicians","776","828","462","1382","81"
"Service occupations:","44552","32002","26099","49742","4219"
"Healthcare support occupations","982","406","194","488","487"
"Protective service occupations:","6553","4705","2884","5776","1165"
"Fire fighting and prevention, and other protective service workers including supervisors","4786","3415","2178","3019","729"
"Law enforcement workers including supervisors","1767","1290","706","2757","436"
"Food preparation and serving related occupations","14132","13577","11097","24163","994"
"Building and grounds cleaning and maintenance occupations","17356","10683","8295","14744","919"
"Personal care and service occupations","5529","2631","3629","4571","654"
"Sales and office occupations:","25688","20014","16924","27284","3201"
"Sales and related occupations","13067","9829","8052","12569","2085"
"Office and administrative support occupations","12621","10185","8872","14715","1116"
"Natural resources, construction, and maintenance occupations:","22346","19392","7235","39597","3636"
"Farming, fishing, and forestry occupations","481","0","91","0","0"
"Construction and extraction occupations","15785","14849","5140","31189","2943"
"Installation, maintenance, and repair occupations","6080","4543","2004","8408","693"
"Production, transportation, and material moving occupations:","31503","21219","14612","32849","2474"
"Production occupations","9953","6499","3403","11619","983"
"Transportation occupations","16687","8102","7332","15920","1017"
"Material moving occupations","4863","6618","3877","5310","474"
"Female:","132051","89116","78941","125265","14884"
"Management, business, science, and arts occupations:","28390","22170","24452","29906","5869"
"Management, business, and financial occupations:","8023","7291","10088","11650","2372"
"Management occupations","5529","4083","6660","6472","1380"
"Business and financial operations occupations","2494","3208","3428","5178","992"
"Computer, engineering, and science occupations:","1210","1150","1330","794","0"
"Computer and mathematical occupations","364","602","416","318","0"
"Architecture and engineering occupations","306","439","346","297","0"
"Life, physical, and social science occupations","540","109","568","179","0"
"Education, legal, community service, arts, and media occupations:","14770","11275","10799","12838","2309"
"Community and social service occupations","4568","1733","1408","2536","295"
"Legal occupations","1426","838","975","1785","268"
"Education, training, and library occupations","8013","6968","5756","7236","1485"
"Arts, design, entertainment, sports, and media occupations","763","1736","2660","1281","261"
"Healthcare practitioners and technical occupations:","4387","2454","2235","4624","1188"
"Health diagnosing and treating practitioners and other technical occupations","2421","1259","1428","2974","821"
"Health technologists and technicians","1966","1195","807","1650","367"
"Service occupations:","55025","33478","28449","46329","3590"
"Healthcare support occupations","19441","12040","8905","9112","669"
"Protective service occupations:","2076","1420","396","1858","488"
"Fire fighting and prevention, and other protective service workers including supervisors","1568","662","296","1120","81"
"Law enforcement workers including supervisors","508","758","100","738","407"
"Food preparation and serving related occupations","7721","3316","5032","6848","370"
"Building and grounds cleaning and maintenance occupations","9960","8241","5822","17261","1156"
"Personal care and service occupations","15827","8461","8294","11250","907"
"Sales and office occupations:","40359","26988","21476","36607","5143"
"Sales and related occupations","15400","8272","9911","14049","1681"
"Office and administrative support occupations","24959","18716","11565","22558","3462"
"Natural resources, construction, and maintenance occupations:","746","676","155","756","0"
"Farming, fishing, and forestry occupations","0","0","0","55","0"
"Construction and extraction occupations","390","158","0","479","0"
"Installation, maintenance, and repair occupations","356","518","155","222","0"
"Production, transportation, and material moving occupations:","7531","5804","4409","11667","282"
"Production occupations","3559","3719","2953","6236","228"
"Transportation occupations","2272","492","352","1629","54"
"Material moving occupations","1700","1593","1104","3802","0"
