"Label","Bronx County, New York / Estimate","Kings County, New York / Estimate","New York County, New York / Estimate","Queens County, New York / Estimate","Richmond County, New York / Estimate"
"Total:","309548","218066","181045","314031","35011"
"Male:","158321","120678","95499","178756","18758"
"Management, business, science, and arts occupations:","20826","22859","27744","28381","3335"
"Management, business, and financial occupations:","10167","9213","12146","14048","1239"
"Management occupations","7463","7058","8425","11193","773"
"Business and financial operations occupations","2704","2155","3721","2855","466"
"Computer, engineering, and science occupations:","2840","3043","3440","4415","459"
"Computer and mathematical occupations","1928","1758","1478","2488","360"
"Architecture and engineering occupations","549","843","1121","1363","99"
"Life, physical, and social science occupations","363","442","841","564","0"
"Education, legal, community service, arts, and media occupations:","5900","8890","10350","8476","1031"
"Community and social service occupations","1508","1538","912","1062","371"
"Legal occupations","588","825","786","1265","0"
"Education, training, and library occupations","2040","2466","2744","3134","399"
"Arts, design, entertainment, sports, and media occupations","1764","4061","5908","3015","261"
"Healthcare practitioners and technical occupations:","1919","1713","1808","1442","606"
"Health diagnosing and treating practitioners and other technical occupations","466","677","1028","271","182"
"Health technologists and technicians","1453","1036","780","1171","424"
"Service occupations:","51253","32925","25986","52945","4634"
"Healthcare support occupations","1100","659","572","654","85"
"Protective service occupations:","7457","5549","2665","6027","1634"
"Fire fighting and prevention, and other protective service workers including supervisors","5350","3642","1958","3258","595"
"Law enforcement workers including supervisors","2107","1907","707","2769","1039"
"Food preparation and serving related occupations","22733","14046","10726","27141","1030"
"Building and grounds cleaning and maintenance occupations","15167","9655","8925","13852","1743"
"Personal care and service occupations","4796","3016","3098","5271","142"
"Sales and office occupations:","22954","19847","17197","28402","2396"
"Sales and related occupations","10163","10319","10248","12462","1151"
"Office and administrative support occupations","12791","9528","6949","15940","1245"
"Natural resources, construction, and maintenance occupations:","28743","23744","11489","34635","5108"
"Farming, fishing, and forestry occupations","0","581","178","0","0"
"Construction and extraction occupations","20657","18753","8778","26449","4348"
"Installation, maintenance, and repair occupations","8086","4410","2533","8186","760"
"Production, transportation, and material moving occupations:","34545","21303","13083","34393","3285"
"Production occupations","8205","5915","3463","8467","715"
"Transportation occupations","22635","9543","6571","20749","1566"
"Material moving occupations","3705","5845","3049","5177","1004"
"Female:","151227","97388","85546","135275","16253"
"Management, business, science, and arts occupations:","35438","27831","27740","30536","6210"
"Management, business, and financial occupations:","10530","8955","10058","10648","1668"
"Management occupations","7975","6095","5722","6582","1047"
"Business and financial operations occupations","2555","2860","4336","4066","621"
"Computer, engineering, and science occupations:","1033","1464","1667","1601","0"
"Computer and mathematical occupations","526","732","348","943","0"
"Architecture and engineering occupations","63","493","183","185","0"
"Life, physical, and social science occupations","444","239","1136","473","0"
"Education, legal, community service, arts, and media occupations:","19111","14465","12582","13984","2933"
"Community and social service occupations","4396","3301","2015","2995","646"
"Legal occupations","1582","765","1144","1091","41"
"Education, training, and library occupations","11965","7396","6772","7784","1769"
"Arts, design, entertainment, sports, and media occupations","1168","3003","2651","2114","477"
"Healthcare practitioners and technical occupations:","4764","2947","3433","4303","1609"
"Health diagnosing and treating practitioners and other technical occupations","1378","1823","2273","2204","926"
"Health technologists and technicians","3386","1124","1160","2099","683"
"Service occupations:","64653","35911","34082","51697","4610"
"Healthcare support occupations","20622","9254","9916","10334","1039"
"Protective service occupations:","2380","1439","832","735","695"
"Fire fighting and prevention, and other protective service workers including supervisors","1594","907","832","323","451"
"Law enforcement workers including supervisors","786","532","0","412","244"
"Food preparation and serving related occupations","11118","6060","6774","9997","754"
"Building and grounds cleaning and maintenance occupations","12515","11491","8041","18469","1618"
"Personal care and service occupations","18018","7667","8519","12162","504"
"Sales and office occupations:","42328","26314","20336","41154","4966"
"Sales and related occupations","17720","11004","6636","16321","1696"
"Office and administrative support occupations","24608","15310","13700","24833","3270"
"Natural resources, construction, and maintenance occupations:","549","996","157","1376","0"
"Farming, fishing, and forestry occupations","0","253","0","57","0"
"Construction and extraction occupations","444","421","157","908","0"
"Installation, maintenance, and repair occupations","105","322","0","411","0"
"Production, transportation, and material moving occupations:","8259","6336","3231","10512","467"
"Production occupations","4683","4212","1991","7051","205"
"Transportation occupations","2417","931","606","2291","124"
"Material moving occupations","1159","1193","634","1170","138"
