"Label","Bronx County, New York / Estimate","Kings County, New York / Estimate","New York County, New York / Estimate","Queens County, New York / Estimate","Richmond County, New York / Estimate"
"Total:","280050","200578","165771","296277","34212"
"Male:","142539","111787","87758","174292","19354"
"Management, business, science, and arts occupations:","17038","16805","20846","22648","3815"
"Management, business, and financial occupations:","7684","6522","9480","11355","1452"
"Management occupations","5425","4710","6996","7406","510"
"Business and financial operations occupations","2259","1812","2484","3949","942"
"Computer, engineering, and science occupations:","1564","3349","2435","2673","667"
"Computer and mathematical occupations","901","1761","631","1695","339"
"Architecture and engineering occupations","572","1358","731","978","328"
"Life, physical, and social science occupations","91","230","1073","0","0"
"Education, legal, community service, arts, and media occupations:","6276","5972","7837","6783","1220"
"Community and social service occupations","1468","784","1305","1532","249"
"Legal occupations","183","539","1501","508","108"
"Education, training, and library occupations","2774","1633","1841","2007","388"
"Arts, design, entertainment, sports, and media occupations","1851","3016","3190","2736","475"
"Healthcare practitioners and technical occupations:","1514","962","1094","1837","476"
"Health diagnosing and treating practitioners and other technical occupations","250","643","540","737","98"
"Health technologists and technicians","1264","319","554","1100","378"
"Service occupations:","45392","32264","28876","56755","6305"
"Healthcare support occupations","574","997","785","511","376"
"Protective service occupations:","8364","3230","3357","4842","2224"
"Fire fighting and prevention, and other protective service workers including supervisors","6379","2410","2960","3065","719"
"Law enforcement workers including supervisors","1985","820","397","1777","1505"
"Food preparation and serving related occupations","17702","14721","12356","30597","2137"
"Building and grounds cleaning and maintenance occupations","14880","10180","9577","16549","1246"
"Personal care and service occupations","3872","3136","2801","4256","322"
"Sales and office occupations:","33449","18555","15813","30757","2629"
"Sales and related occupations","16925","8819","6951","15901","950"
"Office and administrative support occupations","16524","9736","8862","14856","1679"
"Natural resources, construction, and maintenance occupations:","22624","20934","8001","37171","3371"
"Farming, fishing, and forestry occupations","2352","362","85","432","0"
"Construction and extraction occupations","12963","15935","5054","30079","2501"
"Installation, maintenance, and repair occupations","7309","4637","2862","6660","870"
"Production, transportation, and material moving occupations:","24036","23229","14222","26961","3234"
"Production occupations","6323","9055","3442","9086","1538"
"Transportation occupations","12212","9795","8537","12903","955"
"Material moving occupations","5501","4379","2243","4972","741"
"Female:","137511","88791","78013","121985","14858"
"Management, business, science, and arts occupations:","29486","21485","24513","27503","5629"
"Management, business, and financial occupations:","9087","6041","8551","8731","1017"
"Management occupations","5975","4621","5466","5777","489"
"Business and financial operations occupations","3112","1420","3085","2954","528"
"Computer, engineering, and science occupations:","511","1255","974","1143","702"
"Computer and mathematical occupations","256","443","47","698","243"
"Architecture and engineering occupations","145","199","113","275","171"
"Life, physical, and social science occupations","110","613","814","170","288"
"Education, legal, community service, arts, and media occupations:","16228","11360","12740","12457","2575"
"Community and social service occupations","4004","2467","1197","2116","321"
"Legal occupations","980","1159","2114","1145","172"
"Education, training, and library occupations","10036","5237","5372","7104","2017"
"Arts, design, entertainment, sports, and media occupations","1208","2497","4057","2092","65"
"Healthcare practitioners and technical occupations:","3660","2829","2248","5172","1335"
"Health diagnosing and treating practitioners and other technical occupations","1664","1637","1433","2718","1031"
"Health technologists and technicians","1996","1192","815","2454","304"
"Service occupations:","59842","32269","24969","46329","4045"
"Healthcare support occupations","18242","9587","7586","9969","1515"
"Protective service occupations:","3472","2244","440","1665","562"
"Fire fighting and prevention, and other protective service workers including supervisors","2941","1612","403","1022","141"
"Law enforcement workers including supervisors","531","632","37","643","421"
"Food preparation and serving related occupations","6047","4354","4213","7335","532"
"Building and grounds cleaning and maintenance occupations","10392","9470","4564","15809","1147"
"Personal care and service occupations","21689","6614","8166","11551","289"
"Sales and office occupations:","39892","27083","22792","36977","4559"
"Sales and related occupations","15775","10045","9513","16340","1577"
"Office and administrative support occupations","24117","17038","13279","20637","2982"
"Natural resources, construction, and maintenance occupations:","1130","581","657","1460","0"
"Farming, fishing, and forestry occupations","99","34","0","50","0"
"Construction and extraction occupations","771","107","453","1297","0"
"Installation, maintenance, and repair occupations","260","440","204","113","0"
"Production, transportation, and material moving occupations:","7161","7373","5082","9716","625"
"Production occupations","4080","4207","3337","6094","20"
"Transportation occupations","1608","1372","689","1453","605"
"Material moving occupations","1473","1794","1056","2169","0"
